OnsetDate,CaseNum,CaseSum,UncaseNum,UncaseSum
2020-05-28,28471,28471,28471,28471
2020-05-29,361,28832,361,28832
2020-05-30,380,29212,380,29212
2020-05-31,406,29618,406,29618
2020-06-01,416,30034,416,30034
2020-06-02,428,30462,428,30462
2020-06-03,458,30920,458,30920
2020-06-04,481,31401,481,31401
2020-06-05,487,31888,487,31888
2020-06-06,522,32410,522,32410
2020-06-07,593,33003,593,33003
2020-06-08,623,33626,623,33626
2020-06-09,653,34279,653,34279
2020-06-10,700,34979,700,34979
2020-06-11,727,35706,727,35706
2020-06-12,775,36481,775,36481
2020-06-13,817,37298,817,37298
2020-06-14,886,38184,886,38184
2020-06-15,950,39134,950,39134
2020-06-16,973,40107,973,40107
2020-06-17,1018,41125,1018,41125
2020-06-18,1098,42223,1098,42223
2020-06-19,1146,43369,1146,43369
2020-06-20,1261,44630,1261,44630
2020-06-21,1395,46025,1395,46025
2020-06-22,1580,47605,1580,47605
2020-06-23,1654,49259,1654,49259
2020-06-24,1770,51029,1770,51029
2020-06-25,1824,52853,1824,52853
2020-06-26,2002,54855,2002,54855
2020-06-27,2156,57011,2156,57011
