"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",999209,156,106,16,91,23,400,8,35
"2",999144,167,114,17,97,25,438,9,37
"3",999075,179,122,18,103,27,478,9,40
"4",999001,191,130,19,110,29,520,10,43
"5",998922,204,140,20,118,31,566,11,46
"6",998837,218,149,21,126,33,614,12,49
"7",998746,234,160,23,135,36,667,12,53
"8",998649,250,171,25,145,38,722,13,56
"9",998546,268,183,26,155,41,782,14,60
"10",998435,286,196,28,165,44,846,15,64
"11",998316,306,209,30,177,47,914,16,69
"12",998189,328,224,32,189,51,987,17,74
"13",998053,350,240,35,203,54,1065,19,79
"14",997908,375,256,37,217,58,1149,20,84
"15",997753,401,274,39,232,62,1238,21,90
"16",997586,429,293,42,248,67,1334,23,96
"17",997409,459,313,45,266,72,1436,24,103
"18",997218,491,336,48,284,77,1546,26,110
"19",997015,525,359,52,304,82,1663,28,118
"20",996797,562,384,55,325,88,1788,30,126
"21",996564,601,411,59,348,94,1923,32,135
"22",996315,643,439,63,372,101,2066,34,144
"23",996049,688,470,68,398,108,2220,37,154
"24",995764,735,503,72,426,116,2384,39,165
"25",995460,786,538,77,455,124,2560,42,176
"26",995134,841,575,83,487,133,2747,45,189
"27",994786,899,615,89,521,142,2948,48,202
"28",994413,961,658,95,558,152,3163,52,216
"29",994015,1028,703,101,596,163,3393,55,231
"30",993590,1100,751,108,638,174,3639,59,247
"31",993135,1175,804,116,682,187,3902,63,264
"32",992648,1256,859,124,729,200,4183,67,282
"33",992129,1343,919,133,779,214,4484,72,302
"34",991573,1435,982,142,833,229,4806,77,323
"35",990980,1534,1050,151,891,245,5149,82,345
"36",990346,1639,1123,162,952,262,5517,88,369
"37",989668,1751,1200,173,1018,280,5910,94,394
"38",988945,1871,1282,185,1088,300,6330,100,421
"39",988172,1998,1370,198,1163,320,6779,107,450
"40",987347,2134,1464,211,1243,343,7259,114,481
"41",986466,2279,1564,226,1328,366,7772,122,514
"42",985525,2434,1670,241,1419,392,8319,131,549
"43",984522,2598,1783,258,1516,419,8905,140,586
"44",983450,2773,1904,275,1619,448,9530,149,626
"45",982308,2960,2032,294,1729,479,10198,159,669
"46",981088,3158,2169,314,1846,512,10912,170,714
"47",979790,3368,2315,335,1971,547,11674,181,762
"48",978404,3592,2470,357,2104,585,12487,194,813
"49",976929,3829,2635,381,2246,625,13355,207,867
"50",975356,4081,2810,407,2397,667,14282,221,925
"51",973681,4349,2996,434,2557,713,15271,235,987
"52",971897,4633,3193,463,2727,761,16326,251,1052
"53",969999,4933,3403,493,2908,813,17451,267,1121
"54",967981,5250,3624,526,3099,868,18651,285,1194
"55",965834,5587,3859,560,3304,927,19930,303,1273
"56",963553,5941,4108,596,3519,989,21293,323,1355
"57",961130,6315,4371,635,3748,1056,22745,344,1443
"58",958556,6711,4648,676,3990,1127,24292,366,1535
"59",955826,7127,4941,719,4247,1202,25938,389,1632
"60",952929,7566,5250,765,4517,1281,27691,413,1735
"61",949860,8026,5577,813,4803,1366,29555,439,1844
"62",946609,8510,5919,864,5105,1456,31537,467,1958
"63",943168,9017,6280,917,5423,1551,33643,495,2078
"64",939529,9547,6659,974,5758,1653,35881,526,2205
"65",935684,10100,7056,1032,6111,1760,38257,557,2338
"66",931624,10677,7471,1095,6481,1873,40780,590,2477
"67",927343,11277,7905,1160,6868,1993,43455,625,2623
"68",922829,11902,8356,1228,7276,2120,46289,661,2776
"69",918078,12550,8826,1299,7701,2254,49292,699,2934
"70",913082,13219,9316,1373,8144,2396,52471,739,3099
"71",907831,13910,9824,1450,8606,2545,55833,779,3271
"72",902323,14622,10349,1531,9088,2702,59385,822,3450
"73",896550,15354,10891,1613,9588,2866,63137,865,3633
"74",890508,16101,11451,1699,10106,3040,67095,911,3824
"75",884192,16864,12025,1788,10643,3222,71267,958,4021
"76",877600,17641,12612,1879,11196,3412,75660,1006,4222
"77",870731,18427,13211,1974,11763,3612,80283,1056,4428
"78",863583,19220,13821,2069,12346,3820,85140,1105,4639
"79",856157,20019,14440,2168,12941,4037,90239,1156,4853
"80",848456,20818,15065,2267,13548,4264,95583,1208,5070
"81",840483,21612,15693,2367,14166,4500,101178,1260,5290
"82",832242,22400,16322,2469,14792,4744,107030,1313,5510
"83",823743,23175,16950,2571,15423,4998,113140,1365,5732
"84",814993,23933,17572,2673,16056,5260,119513,1417,5952
"85",806002,24671,18186,2777,16688,5530,126146,1471,6169
"86",796783,25383,18785,2878,17319,5808,133043,1522,6385
"87",787348,26064,19371,2978,17942,6094,140201,1572,6596
"88",777716,26709,19937,3076,18557,6388,147618,1621,6802
"89",767901,27314,20478,3171,19158,6687,155291,1668,7000
"90",757925,27871,20993,3263,19743,6993,163213,1714,7190
"91",747805,28380,21476,3349,20308,7303,171378,1756,7372
"92",737564,28834,21925,3433,20847,7618,179778,1797,7541
"93",727227,29229,22334,3511,21357,7937,188405,1834,7700
"94",716813,29565,22700,3584,21835,8257,197245,1869,7843
"95",706350,29835,23024,3650,22277,8579,206285,1899,7971
"96",695861,30036,23301,3709,22680,8901,215511,1926,8085
"97",685370,30170,23528,3761,23042,9222,224907,1949,8182
"98",674904,30232,23702,3806,23356,9542,234459,1968,8261
"99",664486,30226,23822,3842,23623,9858,244143,1983,8321
"100",654139,30151,23888,3870,23842,10170,253941,1993,8364
"101",643887,30005,23899,3889,24008,10475,263837,1999,8387
"102",633755,29789,23854,3899,24121,10774,273807,1999,8393
"103",623764,29508,23754,3900,24181,11065,283827,1996,8377
"104",613933,29164,23600,3892,24185,11346,293879,1987,8342
"105",604280,28761,23395,3876,24133,11617,303939,1975,8287
"106",594824,28301,23139,3850,24025,11876,313985,1957,8215
"107",585580,27785,22839,3817,23866,12122,323992,1936,8124
"108",576564,27220,22489,3775,23657,12354,333941,1910,8020
"109",567785,26612,22098,3726,23395,12571,343813,1882,7897
"110",559256,25964,21666,3669,23088,12773,353583,1848,7760
"111",550985,25283,21199,3604,22734,12959,363236,1812,7608
"112",542978,24571,20701,3534,22338,13128,372751,1773,7444
"113",535242,23835,20172,3458,21905,13279,382109,1731,7269
"114",527780,23078,19621,3377,21435,13413,391296,1688,7083
"115",520596,22305,19047,3291,20934,13529,400297,1642,6889
"116",513691,21519,18457,3202,20404,13626,409101,1594,6688
"117",507060,20729,17853,3109,19849,13706,417695,1544,6481
"118",500706,19935,17238,3012,19274,13767,426068,1493,6269
"119",494625,19141,16618,2913,18680,13810,434212,1441,6053
"120",488815,18351,15993,2813,18074,13835,442118,1390,5835
