X,date,county,state,fips,cases,deaths,uncases
1,1,synthetic,synthetic,00000,0,0,0
2,2,synthetic,synthetic,00000,2,0,12
3,3,synthetic,synthetic,00000,5,0,26
4,4,synthetic,synthetic,00000,8,0,42
5,5,synthetic,synthetic,00000,12,0,55
6,6,synthetic,synthetic,00000,16,0,70
7,7,synthetic,synthetic,00000,19,0,84
8,8,synthetic,synthetic,00000,23,0,100
9,9,synthetic,synthetic,00000,27,0,117
10,10,synthetic,synthetic,00000,30,0,136
11,11,synthetic,synthetic,00000,35,0,154
12,12,synthetic,synthetic,00000,40,0,174
13,13,synthetic,synthetic,00000,45,0,195
14,14,synthetic,synthetic,00000,50,0,218
15,15,synthetic,synthetic,00000,55,0,243
16,16,synthetic,synthetic,00000,60,0,267
17,17,synthetic,synthetic,00000,67,0,293
18,18,synthetic,synthetic,00000,74,0,322
19,19,synthetic,synthetic,00000,82,0,354
20,20,synthetic,synthetic,00000,89,0,386
21,21,synthetic,synthetic,00000,98,0,423
22,22,synthetic,synthetic,00000,107,0,459
23,23,synthetic,synthetic,00000,117,0,498
24,24,synthetic,synthetic,00000,127,0,539
25,25,synthetic,synthetic,00000,138,0,584
26,26,synthetic,synthetic,00000,150,0,632
27,27,synthetic,synthetic,00000,163,0,682
28,28,synthetic,synthetic,00000,175,0,738
29,29,synthetic,synthetic,00000,189,0,796
30,30,synthetic,synthetic,00000,204,0,859
31,31,synthetic,synthetic,00000,220,0,922
32,32,synthetic,synthetic,00000,237,0,989
33,33,synthetic,synthetic,00000,255,0,1059
34,34,synthetic,synthetic,00000,273,0,1132
35,35,synthetic,synthetic,00000,292,0,1218
36,36,synthetic,synthetic,00000,313,0,1302
37,37,synthetic,synthetic,00000,337,0,1395
38,38,synthetic,synthetic,00000,360,0,1491
39,39,synthetic,synthetic,00000,387,0,1597
40,40,synthetic,synthetic,00000,414,0,1693
41,41,synthetic,synthetic,00000,442,0,1807
42,42,synthetic,synthetic,00000,474,0,1933
43,43,synthetic,synthetic,00000,502,0,2061
44,44,synthetic,synthetic,00000,538,0,2195
45,45,synthetic,synthetic,00000,574,0,2347
46,46,synthetic,synthetic,00000,611,0,2508
47,47,synthetic,synthetic,00000,651,0,2676
48,48,synthetic,synthetic,00000,696,0,2843
49,49,synthetic,synthetic,00000,743,0,3031
50,50,synthetic,synthetic,00000,794,0,3235
51,51,synthetic,synthetic,00000,844,0,3435
52,52,synthetic,synthetic,00000,899,0,3648
53,53,synthetic,synthetic,00000,955,0,3871
54,54,synthetic,synthetic,00000,1017,0,4139
55,55,synthetic,synthetic,00000,1078,0,4397
56,56,synthetic,synthetic,00000,1145,0,4689
57,57,synthetic,synthetic,00000,1226,0,4988
58,58,synthetic,synthetic,00000,1308,0,5298
59,59,synthetic,synthetic,00000,1386,0,5637
60,60,synthetic,synthetic,00000,1478,0,5992
61,61,synthetic,synthetic,00000,1573,0,6364
62,62,synthetic,synthetic,00000,1671,0,6725
63,63,synthetic,synthetic,00000,1767,0,7126
64,64,synthetic,synthetic,00000,1878,0,7578
65,65,synthetic,synthetic,00000,2001,0,8065
66,66,synthetic,synthetic,00000,2126,0,8617
67,67,synthetic,synthetic,00000,2261,0,9163
68,68,synthetic,synthetic,00000,2407,0,9706
69,69,synthetic,synthetic,00000,2555,0,10295
70,70,synthetic,synthetic,00000,2712,0,10964
71,71,synthetic,synthetic,00000,2875,0,11652
72,72,synthetic,synthetic,00000,3052,0,12356
73,73,synthetic,synthetic,00000,3227,0,13073
74,74,synthetic,synthetic,00000,3414,0,13940
75,75,synthetic,synthetic,00000,3616,0,14750
76,76,synthetic,synthetic,00000,3855,0,15640
77,77,synthetic,synthetic,00000,4094,0,16624
78,78,synthetic,synthetic,00000,4355,0,17551
79,79,synthetic,synthetic,00000,4610,0,18498
80,80,synthetic,synthetic,00000,4900,0,19465
81,81,synthetic,synthetic,00000,5188,0,20713
82,82,synthetic,synthetic,00000,5473,0,21970
83,83,synthetic,synthetic,00000,5811,0,23448
84,84,synthetic,synthetic,00000,6146,0,24831
85,85,synthetic,synthetic,00000,6498,0,26309
86,86,synthetic,synthetic,00000,6909,0,27639
87,87,synthetic,synthetic,00000,7303,0,29302
88,88,synthetic,synthetic,00000,7753,0,30884
89,89,synthetic,synthetic,00000,8175,0,32797
90,90,synthetic,synthetic,00000,8648,0,34818
91,91,synthetic,synthetic,00000,9149,0,36918
92,92,synthetic,synthetic,00000,9706,0,39150
93,93,synthetic,synthetic,00000,10235,0,41383
94,94,synthetic,synthetic,00000,10791,0,43749
95,95,synthetic,synthetic,00000,11408,0,46252
96,96,synthetic,synthetic,00000,12023,0,48786
97,97,synthetic,synthetic,00000,12656,0,51373
98,98,synthetic,synthetic,00000,13395,0,54347
99,99,synthetic,synthetic,00000,14150,0,57221
100,100,synthetic,synthetic,00000,14864,0,60389
101,101,synthetic,synthetic,00000,15668,0,63539
102,102,synthetic,synthetic,00000,16601,0,66836
103,103,synthetic,synthetic,00000,17460,0,70436
104,104,synthetic,synthetic,00000,18420,0,73645
105,105,synthetic,synthetic,00000,19372,0,77164
106,106,synthetic,synthetic,00000,20480,0,81212
107,107,synthetic,synthetic,00000,21496,0,85409
108,108,synthetic,synthetic,00000,22574,0,89585
109,109,synthetic,synthetic,00000,23740,0,93691
110,110,synthetic,synthetic,00000,24893,0,98596
111,111,synthetic,synthetic,00000,26170,0,103456
112,112,synthetic,synthetic,00000,27388,0,107921
113,113,synthetic,synthetic,00000,28597,0,112936
114,114,synthetic,synthetic,00000,29847,0,118042
115,115,synthetic,synthetic,00000,31051,0,123137
116,116,synthetic,synthetic,00000,32409,0,128697
117,117,synthetic,synthetic,00000,33689,0,134048
118,118,synthetic,synthetic,00000,35080,0,139759
119,119,synthetic,synthetic,00000,36704,0,145360
120,120,synthetic,synthetic,00000,38273,0,151739
