b1	r1
0.458	0.227
0.458	0.227
0.458	0.227
0.458	0.227
0.458	0.227
0.422	0.323
0.408	0.32
0.491	0.227
0.477	0.243
0.477	0.243
0.477	0.243
0.404	0.27
0.419	0.305
0.441	0.238
0.441	0.238
0.441	0.238
0.441	0.238
0.441	0.238
0.441	0.238
0.441	0.238
0.413	0.318
0.413	0.318
0.413	0.318
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.345	0.33
0.464	0.264
0.464	0.264
0.464	0.264
0.464	0.264
0.464	0.264
0.482	0.235
0.482	0.235
0.482	0.235
0.467	0.241
0.467	0.241
0.447	0.236
0.437	0.286
0.437	0.286
0.437	0.286
0.454	0.274
0.456	0.22
0.453	0.257
0.459	0.261
0.514	0.193
0.514	0.193
0.443	0.235
0.443	0.235
0.443	0.235
0.443	0.235
0.443	0.235
0.43	0.309
0.43	0.309
0.515	0.175
0.515	0.175
0.515	0.175
0.515	0.175
0.515	0.175
0.515	0.175
0.515	0.175
0.437	0.229
0.437	0.229
0.437	0.229
0.437	0.229
0.432	0.257
0.397	0.277
0.397	0.277
0.397	0.277
0.397	0.277
0.397	0.277
0.397	0.277
0.405	0.281
0.405	0.281
0.45	0.26
0.462	0.251
0.462	0.251
0.462	0.251
0.462	0.251
0.462	0.251
0.462	0.251
0.462	0.251
0.476	0.232
0.476	0.232
0.476	0.232
0.416	0.224
0.411	0.296
0.411	0.296
0.411	0.296
0.495	0.212
0.495	0.212
0.435	0.243
0.435	0.243
0.435	0.243
0.435	0.243
0.435	0.243
0.435	0.243
0.435	0.243
0.395	0.303
0.395	0.303
0.426	0.26
0.426	0.26
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.491	0.223
0.48	0.202
0.48	0.202
0.48	0.202
0.481	0.193
0.481	0.193
0.416	0.273
0.416	0.273
0.416	0.273
0.416	0.273
0.416	0.273
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.5	0.181
0.471	0.231
0.49	0.209
0.42	0.243
0.42	0.243
0.42	0.243
0.42	0.243
0.42	0.243
0.42	0.243
0.42	0.243
0.42	0.243
0.42	0.243
0.543	0.172
0.424	0.283
0.49	0.235
0.493	0.216
0.493	0.216
0.493	0.216
0.493	0.216
0.434	0.262
0.472	0.244
0.473	0.233
0.474	0.205
0.47	0.243
0.47	0.243
0.47	0.243
0.47	0.243
0.47	0.243
0.47	0.243
0.47	0.243
0.47	0.243
0.427	0.257
0.445	0.26
0.487	0.211
0.487	0.211
0.417	0.26
0.488	0.231
0.488	0.231
0.488	0.231
0.405	0.297
0.405	0.297
0.405	0.297
0.405	0.297
0.383	0.299
0.383	0.299
0.383	0.299
0.383	0.299
0.493	0.2
0.493	0.2
0.493	0.2
0.493	0.2
0.493	0.2
0.487	0.199
0.396	0.264
0.396	0.264
0.396	0.264
0.473	0.22
0.473	0.22
0.473	0.22
0.391	0.293
0.368	0.321
0.368	0.321
0.368	0.321
0.498	0.25
0.398	0.3
0.398	0.3
0.511	0.22
0.526	0.226
0.526	0.226
0.526	0.226
0.526	0.226
0.526	0.226
0.526	0.226
0.472	0.235
0.455	0.29
0.455	0.29
0.418	0.253
0.436	0.26
0.421	0.273
0.421	0.273
0.421	0.273
0.421	0.273
0.421	0.273
0.421	0.273
0.421	0.273
0.421	0.273
0.415	0.23
0.509	0.204
0.509	0.204
0.509	0.204
0.509	0.204
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.439	0.293
0.433	0.249
0.433	0.249
0.433	0.249
0.433	0.249
0.433	0.249
0.433	0.249
0.433	0.249
0.433	0.249
0.433	0.249
0.514	0.193
0.514	0.193
0.514	0.193
0.514	0.193
0.533	0.18
0.533	0.18
0.533	0.18
0.533	0.18
0.485	0.184
0.454	0.254
0.454	0.254
0.454	0.254
0.454	0.254
0.454	0.254
0.454	0.254
0.43	0.233
0.43	0.233
0.43	0.233
0.395	0.304
0.395	0.304
0.395	0.304
0.395	0.304
0.395	0.304
0.395	0.304
0.433	0.288
0.433	0.288
0.433	0.288
0.406	0.213
0.406	0.213
0.495	0.204
0.495	0.204
0.495	0.204
0.495	0.204
0.495	0.204
0.495	0.204
0.495	0.204
0.495	0.204
0.495	0.218
0.449	0.271
0.449	0.271
0.446	0.257
0.446	0.257
0.446	0.257
0.446	0.257
0.468	0.214
0.531	0.189
0.531	0.189
0.531	0.189
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.492	0.251
0.461	0.253
0.461	0.253
0.461	0.253
0.461	0.253
0.461	0.253
0.45	0.279
0.466	0.269
