"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",999217,147,106,18,88,23,400,11,33
"2",999160,153,111,20,93,25,438,11,35
"3",999100,161,116,22,97,28,477,12,36
"4",999037,168,121,23,101,30,519,12,38
"5",998971,176,126,24,106,33,563,13,40
"6",998901,185,132,25,111,36,609,13,41
"7",998829,194,138,26,116,39,657,14,43
"8",998753,203,145,28,121,42,708,15,45
"9",998673,213,152,29,127,45,761,15,48
"10",998589,223,159,30,133,49,816,16,50
"11",998501,234,167,32,140,52,874,17,52
"12",998410,245,175,33,147,56,935,18,55
"13",998313,257,184,35,154,59,999,18,58
"14",998212,270,193,36,161,63,1065,19,60
"15",998105,283,202,38,169,67,1136,20,63
"16",997994,297,212,40,177,71,1209,21,67
"17",997876,312,222,42,186,75,1287,22,70
"18",997753,327,233,43,195,80,1368,23,73
"19",997624,344,245,46,205,84,1453,24,77
"20",997489,361,257,48,215,89,1542,25,81
"21",997346,379,270,50,226,94,1636,27,85
"22",997197,398,283,52,237,99,1734,28,89
"23",997039,418,297,55,249,105,1837,29,94
"24",996874,439,312,58,262,110,1945,31,99
"25",996700,461,328,60,275,116,2059,32,104
"26",996518,485,344,63,289,123,2178,34,109
"27",996326,510,362,66,304,129,2304,35,114
"28",996124,535,380,70,319,136,2436,37,120
"29",995912,563,399,73,335,143,2574,39,126
"30",995689,592,420,77,352,150,2720,41,133
"31",995455,622,441,80,370,158,2873,43,140
"32",995208,654,464,84,390,166,3033,45,147
"33",994948,688,488,88,410,175,3202,47,154
"34",994675,724,513,93,431,184,3380,50,163
"35",994388,762,540,97,453,193,3567,52,171
"36",994086,801,568,102,477,203,3763,55,180
"37",993768,843,598,108,502,213,3969,58,189
"38",993433,887,629,113,528,224,4187,60,199
"39",993080,934,661,119,556,235,4415,63,210
"40",992709,983,696,125,585,247,4655,67,221
"41",992319,1034,732,131,616,260,4908,70,233
"42",991907,1089,771,138,648,273,5175,74,245
"43",991474,1147,811,144,682,287,5455,77,258
"44",991019,1207,854,152,718,301,5749,81,271
"45",990539,1270,899,160,756,317,6059,85,286
"46",990034,1337,946,168,797,333,6386,90,301
"47",989503,1407,996,176,839,349,6729,94,317
"48",988943,1482,1048,185,884,367,7091,99,334
"49",988353,1561,1103,195,930,386,7472,104,352
"50",987733,1642,1162,204,980,405,7873,109,370
"51",987080,1729,1223,215,1032,426,8294,115,390
"52",986393,1819,1288,226,1087,448,8739,121,411
"53",985670,1915,1355,238,1145,470,9206,127,433
"54",984909,2016,1427,249,1206,494,9699,133,456
"55",984108,2122,1501,262,1270,519,10217,140,480
"56",983267,2232,1580,276,1337,546,10763,148,505
"57",982382,2347,1663,290,1408,574,11337,155,532
"58",981451,2469,1749,305,1482,603,11942,163,560
