"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6293271,18825,12917,547,8343,353,11088,306,4100
"2",6286715,18890,13792,657,10693,433,14165,389,5227
"3",6279158,19934,14309,736,12586,528,18094,416,5581
"4",6270859,21358,14962,792,14036,633,22705,432,5789
"5",6261923,22929,15823,838,15249,744,27839,451,6053
"6",6252366,24579,16851,887,16393,859,33411,477,6402
"7",6242160,26308,18001,941,17558,978,39399,508,6818
"8",6231266,28131,19244,1003,18789,1102,45810,543,7285
"9",6219635,30061,20578,1070,20096,1233,52672,580,7787
"10",6207219,32112,21996,1143,21494,1370,60011,620,8326
"11",6193969,34289,23505,1222,22982,1515,67863,663,8900
"12",6179837,36599,25109,1306,24568,1668,76259,709,9511
"13",6164768,39047,26812,1395,26256,1830,85237,757,10160
"14",6148710,41642,28620,1489,28050,2001,94833,808,10848
"15",6131605,44387,30535,1590,29960,2183,105085,863,11582
"16",6113394,47292,32565,1698,31984,2375,116037,921,12355
"17",6094021,50357,34714,1811,34134,2579,127730,982,13178
"18",6073421,53591,36986,1931,36409,2794,140213,1046,14047
"19",6051533,56998,39386,2058,38821,3023,153526,1115,14966
"20",6028295,60583,41915,2192,41373,3265,167722,1187,15938
"21",6003639,64347,44583,2335,44065,3522,182853,1264,16959
"22",5977503,68294,47388,2484,46911,3794,198971,1344,18041
"23",5949822,72426,50333,2642,49910,4081,216130,1428,19176
"24",5920529,76745,53424,2807,53068,4385,234388,1516,20367
"25",5889565,81245,56660,2981,56387,4707,253801,1610,21619
"26",5856868,85925,60041,3163,59873,5047,274428,1707,22928
"27",5822375,90789,63565,3354,63524,5405,296333,1809,24297
"28",5786029,95829,67235,3554,67340,5784,319574,1915,25721
"29",5747788,101024,71047,3762,71329,6184,344213,2026,27208
"30",5707598,106374,74995,3978,75484,6605,370312,2140,28751
"31",5665418,111873,79069,4202,79802,7048,397933,2259,30348
"32",5621217,117498,83267,4434,84281,7513,427135,2381,31997
"33",5574968,123231,87579,4674,88915,8002,457976,2508,33695
"34",5526651,129054,91993,4921,93696,8514,490516,2638,35442
"35",5476267,134937,96498,5174,98615,9050,524803,2770,37225
"36",5423805,140865,101077,5435,103657,9611,560895,2906,39049
"37",5369292,146801,105708,5698,108812,10197,598837,3044,40902
"38",5312756,152717,110366,5967,114068,10806,638664,3184,42778
"39",5254234,158580,115038,6239,119399,11440,680415,3324,44663
"40",5193786,164345,119707,6512,124776,12099,724121,3464,46550
"41",5131482,169980,124331,6786,130190,12781,769795,3605,48440
"42",5067404,175442,128889,7060,135608,13487,817455,3744,50312
"43",5001664,180684,133349,7331,141001,14214,867103,3882,52157
"44",4934373,185671,137677,7597,146340,14962,918725,4016,53960
"45",4865657,190362,141844,7856,151592,15730,972303,4146,55711
"46",4795662,194717,145814,8109,156716,16514,1027812,4271,57399
"47",4724552,198681,149561,8353,161683,17315,1085200,4391,59008
"48",4652493,202228,153047,8584,166451,18131,1144412,4504,60523
"49",4579665,205324,156236,8802,170985,18958,1205376,4609,61934
"50",4506257,207932,159106,9007,175248,19793,1268002,4706,63223
"51",4432466,210024,161627,9191,179206,20634,1332197,4792,64387
"52",4358486,211580,163776,9358,182817,21478,1397849,4868,65406
"53",4284523,212584,165527,9505,186054,22322,1464831,4933,66276
"54",4210779,213024,166863,9628,188880,23163,1533009,4985,66983
"55",4137455,212892,167770,9731,191268,23995,1602234,5027,67522
"56",4064750,212184,168243,9809,193199,24817,1672344,5054,67886
"57",3992848,210917,168259,9862,194661,25624,1743174,5070,68082
"58",3921931,209106,167834,9887,195622,26413,1814553,5069,68084
"59",3852172,206760,166968,9886,196077,27180,1886301,5057,67913
"60",3783730,203906,165671,9860,196027,27922,1958229,5032,67562
"61",3716749,200575,163953,9808,195472,28635,2030153,4991,67039
"62",3651366,196796,161830,9733,194413,29315,2101893,4942,66344
"63",3587686,192615,159331,9632,192854,29960,2173266,4878,65481
"64",3525820,188062,156475,9509,190824,30567,2244088,4803,64472
"65",3465859,183174,153293,9362,188336,31133,2314188,4717,63314
"66",3407868,178003,149805,9194,185422,31656,2383397,4621,62028
"67",3351907,172586,146051,9008,182100,32133,2451560,4517,60616
"68",3298010,166971,142064,8805,178403,32564,2518530,4404,59096
"69",3246210,161193,137876,8585,174367,32946,2584168,4285,57480
"70",3196518,155304,133513,8352,170028,33279,2648352,4158,55787
"71",3148937,149329,129018,8107,165423,33562,2710970,4027,54024
"72",3103452,143318,124419,7851,160586,33794,2771925,3891,52204
"73",3060049,137301,119746,7589,155549,33975,2831136,3753,50339
"74",3018694,131311,115027,7319,150365,34108,2888522,3612,48453
"75",2979352,125373,110295,7047,145054,34191,2944033,3472,46539
"76",2941979,119514,105569,6770,139668,34227,2997617,3328,44629
"77",2906524,113756,100884,6493,134221,34214,3049252,3186,42713
"78",2872933,108120,96249,6217,128758,34156,3098913,3045,40818
"79",2841147,102624,91683,5942,123303,34053,3146593,2905,38943
"80",2811101,97283,87208,5670,117877,33909,3192298,2768,37094
"81",2782734,92103,82840,5402,112514,33724,3236029,2633,35283
"82",2755975,87103,78582,5140,107232,33500,3277814,2501,33516
"83",2730762,82281,74450,4883,102050,33239,3317679,2372,31794
"84",2707020,77649,70453,4633,96985,32945,3355660,2248,30123
"85",2684689,73203,66599,4390,92044,32619,3391801,2127,28504
"86",2663701,68950,62884,4156,87252,32262,3426140,2011,26944
"87",2643989,64885,59321,3930,82606,31880,3458735,1900,25441
"88",2625486,61013,55903,3712,78123,31472,3489635,1792,24000
"89",2608131,57330,52636,3502,73801,31041,3518903,1689,22616
"90",2591862,53831,49521,3301,69646,30590,3546594,1590,21294
"91",2576621,50510,46552,3109,65664,30120,3572769,1496,20034
"92",2562350,47363,43731,2925,61854,29634,3597488,1406,18833
"93",2548994,44386,41050,2750,58217,29134,3620814,1321,17693
"94",2536499,41575,38508,2584,54748,28621,3642809,1241,16607
"95",2524818,38920,36100,2427,51448,28098,3663534,1164,15580
"96",2513901,36417,33824,2276,48312,27566,3683048,1091,14605
"97",2503699,34062,31675,2135,45337,27026,3701411,1023,13683
"98",2494171,31844,29649,2001,42517,26481,3718681,958,12813
"99",2485278,29757,27740,1874,39851,25932,3734914,896,11994
"100",2476975,27798,25943,1754,37331,25380,3750166,838,11222
"101",2469227,25958,24252,1641,34952,24826,3764490,784,10494
"102",2462001,24233,22659,1535,32710,24271,3777936,733,9811
"103",2455260,22617,21164,1436,30597,23718,3790553,685,9166
"104",2448975,21103,19762,1341,28606,23167,3802390,640,8561
"105",2443116,19685,18447,1253,26737,22618,3813490,598,7995
"106",2437655,18358,17214,1170,24980,22073,3823895,558,7463
"107",2432566,17116,16060,1092,23332,21533,3833647,521,6965
