"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",5981068,72204,58939,1164,59893,1512,170564,599,23339
"2",5960411,67963,58210,1210,64228,1656,191667,641,24986
"3",5939198,65741,56338,1224,66754,1802,214287,633,24674
"4",5917946,64323,54511,1211,67619,1946,237788,613,23883
"5",5896932,63157,52990,1185,67409,2083,261588,594,23107
"6",5876292,62021,51728,1155,66626,2211,285311,576,22462
"7",5856074,60853,50621,1127,65580,2330,308759,563,21930
"8",5836296,59647,49596,1101,64422,2440,331841,551,21458
"9",5816956,58419,48603,1078,63230,2542,354516,540,21023
"10",5798048,57183,47614,1056,62028,2637,376778,529,20603
"11",5779572,55941,46632,1034,60821,2725,398620,518,20182
"12",5761523,54701,45647,1012,59616,2806,420039,507,19768
"13",5743898,53463,44663,991,58409,2882,441039,496,19350
"14",5726690,52233,43681,970,57201,2951,461618,486,18933
"15",5709898,51014,42700,949,55992,3014,481777,475,18517
"16",5693517,49804,41727,928,54785,3071,501512,464,18101
"17",5677542,48604,40759,907,53582,3123,520826,454,17688
"18",5661972,47414,39798,886,52384,3171,539720,443,17278
"19",5646799,46235,38844,866,51193,3213,558194,433,16871
"20",5632019,45073,37898,846,50005,3250,576253,423,16467
"21",5617625,43923,36965,825,48828,3282,593895,412,16065
"22",5603614,42790,36037,805,47660,3310,611128,402,15671
"23",5589978,41672,35124,785,46501,3334,627950,392,15276
"24",5576713,40568,34223,765,45355,3354,644365,382,14888
"25",5563811,39481,33332,746,44223,3370,660381,372,14508
"26",5551265,38412,32455,727,43101,3382,676002,362,14129
"27",5539070,37362,31589,708,41997,3391,691228,353,13758
"28",5527220,36331,30737,689,40906,3395,706066,343,13391
"29",5515707,35315,29901,671,39831,3397,720523,334,13031
"30",5504523,34321,29078,652,38771,3396,734603,325,12675
"31",5493664,33345,28271,635,37727,3391,748311,316,12326
"32",5483122,32391,27477,617,36701,3384,761653,307,11985
"33",5472891,31451,26700,600,35694,3374,774634,299,11648
"34",5462962,30534,25938,583,34705,3361,787261,290,11318
"35",5453330,29638,25189,567,33734,3347,799540,282,10996
"36",5443987,28760,24458,551,32781,3329,811479,274,10678
"37",5434927,27903,23741,535,31845,3310,823083,266,10369
"38",5426141,27067,23040,519,30929,3289,834358,258,10064
"39",5417627,26246,22357,504,30031,3266,845312,250,9767
"40",5409375,25448,21688,490,29153,3241,855950,243,9477
"41",5401377,24671,21034,475,28293,3214,866280,236,9194
"42",5393629,23911,20396,460,27454,3186,876307,229,8916
"43",5386124,23170,19775,447,26632,3157,886039,222,8646
"44",5378856,22447,19169,433,25830,3126,895483,215,8382
"45",5371818,21745,18575,420,25051,3093,904642,208,8126
"46",5365002,21062,17999,407,24286,3060,913528,202,7874
"47",5358405,20395,17438,394,23541,3026,922144,196,7629
"48",5352020,19747,16889,382,22816,2991,930499,189,7392
"49",5345841,19117,16356,370,22109,2955,938597,183,7160
"50",5339860,18505,15837,358,21419,2918,946446,178,6934
"51",5334075,17909,15333,347,20747,2881,954053,172,6713
"52",5328478,17329,14842,336,20093,2843,961422,167,6501
