day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,857751
1,2,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,841329
1,3,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,827317
1,4,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,843634
1,5,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,843185
1,6,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,850318
1,7,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,847192
1,8,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,827185
1,9,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,848640
1,10,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,854887
1,11,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,845919
1,12,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,860940
1,13,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,851453
1,14,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,868555
1,15,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,840473
1,16,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,853824
1,17,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,842171
1,18,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,861381
1,19,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,856791
1,20,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,842382
1,21,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,832794
1,22,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,848590
1,23,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,853924
1,24,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,822523
1,25,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,859920
1,26,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,851327
1,27,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,866431
1,28,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,842166
1,29,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,826696
1,30,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,851798
1,31,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,839540
1,32,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,845936
1,33,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,848670
1,34,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,838807
1,35,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,832328
1,36,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,850021
1,37,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,829839
1,38,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,836411
1,39,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,851864
1,40,3838447,3308,130,1347,250,3517,5244,0,0,0,0,0,0,366,261,105,10061,96,0,0,0,0,0,0,850734
