"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6508973,25094,20194,1883,22502,6047,172510,860,7916
"2",6500613,24800,20067,1779,22664,6159,181119,860,7921
"3",6492294,24568,19895,1724,22718,6251,189754,855,7870
"4",6484023,24367,19716,1689,22687,6330,198390,847,7803
"5",6475812,24175,19548,1665,22596,6401,207007,839,7732
"6",6467668,23982,19385,1645,22471,6465,215586,832,7667
"7",6459590,23791,19226,1629,22326,6523,224117,826,7603
"8",6451581,23597,19071,1614,22167,6577,232597,818,7540
"9",6443645,23396,18917,1601,22001,6627,241017,812,7479
"10",6435779,23195,18759,1587,21834,6673,249376,805,7420
"11",6427986,22990,18600,1574,21663,6715,257675,799,7358
"12",6420265,22783,18441,1561,21487,6754,265912,792,7294
"13",6412619,22573,18279,1548,21311,6789,274085,786,7233
"14",6405045,22362,18115,1535,21132,6821,282193,778,7170
"15",6397545,22153,17950,1520,20949,6849,290237,771,7104
"16",6390122,21937,17784,1507,20765,6874,298214,764,7040
"17",6382775,21719,17617,1493,20578,6897,306124,757,6974
"18",6375500,21504,17448,1480,20391,6916,313965,750,6910
"19",6368302,21286,17278,1466,20203,6932,321737,743,6843
"20",6361179,21069,17105,1452,20014,6945,329438,736,6777
"21",6354132,20851,16933,1437,19822,6955,337072,727,6709
"22",6347164,20630,16761,1422,19630,6963,344634,720,6641
"23",6340272,20408,16586,1408,19436,6968,352125,713,6575
"24",6333457,20186,16413,1394,19239,6970,359544,706,6505
"25",6326720,19962,16239,1379,19041,6970,366891,699,6437
"26",6320059,19739,16062,1365,18844,6968,374165,691,6368
"27",6313476,19516,15886,1351,18645,6963,381367,684,6299
"28",6306971,19291,15710,1336,18446,6956,388493,676,6230
"29",6300542,19067,15532,1321,18247,6946,395547,668,6162
"30",6294192,18843,15354,1306,18047,6935,402527,661,6092
"31",6287918,18619,15175,1292,17846,6922,409431,654,6022
"32",6281722,18395,14999,1276,17643,6906,416261,646,5951
"33",6275602,18171,14821,1262,17442,6889,423016,638,5882
"34",6269559,17948,14644,1247,17240,6870,429695,631,5813
"35",6263593,17725,14467,1232,17040,6848,436299,623,5744
"36",6257703,17505,14287,1218,16837,6825,442828,616,5674
"37",6251889,17282,14112,1203,16636,6801,449281,608,5604
"38",6246153,17058,13936,1188,16435,6775,455658,600,5535
