"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6317386,11719,9061,1194,4538,157,1290,809,2603
"2",6313610,11454,9163,1518,5978,351,3272,935,3004
"3",6309327,11788,9130,1686,6955,593,5868,945,3038
"4",6304747,12302,9225,1765,7584,854,8868,941,3028
"5",6299964,12844,9456,1814,8029,1120,12120,951,3060
"6",6295003,13377,9773,1861,8397,1385,15551,975,3136
"7",6289860,13907,10137,1917,8742,1648,19135,1008,3241
"8",6284528,14443,10525,1982,9090,1913,22865,1046,3363
"9",6278997,14994,10928,2054,9447,2180,26747,1085,3491
"10",6273258,15562,11348,2130,9814,2449,30785,1127,3625
"11",6267305,16148,11780,2211,10194,2723,34985,1170,3764
"12",6261131,16754,12226,2294,10586,3000,39354,1214,3907
"13",6254727,17381,12687,2381,10992,3283,43895,1260,4056
"14",6248087,18027,13166,2471,11411,3570,48615,1308,4208
"15",6241203,18695,13657,2565,11843,3863,53520,1357,4367
"16",6234068,19382,14167,2661,12289,4162,58616,1408,4530
"17",6226673,20093,14693,2760,12750,4467,63911,1460,4699
"18",6219010,20827,15233,2864,13225,4778,69409,1515,4873
"19",6211074,21581,15792,2969,13718,5096,75116,1570,5053
"20",6202855,22358,16368,3079,14226,5420,81039,1628,5238
"21",6194345,23158,16961,3191,14750,5753,87188,1687,5430
"22",6185534,23983,17572,3307,15291,6093,93566,1748,5627
"23",6176420,24827,18201,3427,15848,6441,100182,1811,5829
"24",6166988,25699,18848,3551,16420,6797,107043,1876,6037
"25",6157234,26591,19515,3678,17010,7163,114155,1943,6252
"26",6147149,27508,20200,3808,17617,7537,121527,2011,6473
"27",6136721,28449,20903,3942,18244,7920,129166,2082,6701
"28",6125948,29413,21625,4081,18886,8313,137081,2155,6933
"29",6114817,30401,22365,4222,19545,8717,145278,2229,7173
"30",6103323,31412,23125,4368,20224,9129,153764,2306,7418
"31",6091455,32449,23903,4518,20920,9553,162550,2383,7670
"32",6079208,33507,24699,4671,21636,9987,171639,2464,7928
"33",6066574,34587,25515,4827,22368,10433,181043,2546,8193
"34",6053545,35689,26348,4988,23119,10889,190768,2630,8464
"35",6040111,36817,27199,5152,23886,11358,200823,2715,8739
"36",6026268,37965,28069,5320,24672,11837,211214,2803,9022
"37",6012011,39132,28955,5493,25477,12329,221950,2894,9311
"38",5997329,40321,29860,5668,26295,12834,233040,2985,9604
"39",5982220,41526,30781,5847,27133,13350,244490,3078,9904
"40",5966675,42751,31718,6029,27986,13880,256307,3173,10210
"41",5950691,43992,32669,6214,28858,14422,268500,3269,10522
"42",5934262,45253,33634,6403,29742,14977,281075,3367,10836
"43",5917386,46523,34618,6595,30641,15544,294039,3467,11155
"44",5900058,47809,35610,6790,31556,16125,307398,3568,11482
"45",5882273,49109,36613,6988,32486,16720,321157,3671,11811
"46",5864033,50416,37627,7188,33429,17327,335326,3774,12145
"47",5845332,51732,38652,7390,34383,17947,349910,3878,12481
"48",5826169,53055,39686,7593,35351,18581,364910,3983,12822
"49",5806546,54382,40726,7801,36326,19228,380337,4091,13165
"50",5786463,55714,41769,8009,37311,19887,396194,4198,13511
"51",5765920,57043,42822,8218,38300,20558,412484,4306,13855
"52",5744924,58369,43874,8427,39299,21243,429209,4412,14205
"53",5723474,59693,44926,8638,40301,21940,446374,4521,14553
"54",5701577,61007,45975,8851,41308,22648,463981,4631,14903
"55",5679233,62313,47027,9061,42312,23369,482033,4737,15249
"56",5656453,63605,48066,9274,43324,24100,500524,4847,15601
"57",5633244,64881,49100,9485,44330,24843,519464,4955,15945
"58",5609610,66142,50123,9694,45332,25595,538850,5061,16288
"59",5585565,67380,51137,9901,46330,26357,558676,5165,16628
"60",5561119,68590,52140,10107,47317,27129,578944,5270,16963
"61",5536280,69777,53122,10310,48298,27909,599650,5373,17297
"62",5511063,70934,54084,10513,49265,28697,620790,5476,17622
"63",5485483,72053,55029,10711,50219,29492,642359,5574,17941
"64",5459551,73139,55950,10904,51156,30294,664352,5672,18253
"65",5433285,74183,56845,11093,52079,31102,686760,5766,18562
"66",5406698,75192,57708,11278,52976,31914,709580,5859,18856
"67",5379813,76147,58548,11456,53849,32729,732804,5947,19143
"68",5352646,77057,59351,11631,54700,33547,756414,6034,19420
"69",5325218,77913,60116,11798,55528,34367,780405,6116,19690
"70",5297547,78718,60845,11959,56322,35188,804768,6195,19943
"71",5269655,79465,61535,12113,57084,36008,829486,6271,20184
"72",5241566,80152,62182,12258,57813,36827,854548,6342,20413
"73",5213299,80782,62782,12396,58506,37642,879938,6408,20628
"74",5184880,81345,63343,12526,59159,38454,905639,6470,20825
"75",5156332,81842,63853,12647,59772,39259,931640,6528,21013
"76",5127682,82270,64313,12760,60343,40059,957919,6581,21180
"77",5098948,82636,64718,12864,60866,40851,984463,6630,21333
"78",5070160,82928,65077,12953,61345,41633,1011250,6670,21468
"79",5041342,83149,65377,13035,61781,42405,1038257,6707,21589
"80",5012522,83298,65623,13106,62164,43164,1065469,6738,21687
"81",4983720,83374,65819,13166,62495,43910,1092864,6763,21767
"82",4954964,83382,65950,13214,62778,44639,1120418,6782,21835
"83",4926282,83313,66027,13251,63008,45353,1148111,6796,21878
"84",4897697,83171,66048,13279,63182,46051,1175919,6806,21900
"85",4869232,82955,66010,13295,63304,46729,1203821,6809,21910
"86",4840909,82673,65917,13298,63367,47387,1231795,6803,21895
"87",4812756,82317,65764,13292,63382,48023,1259811,6795,21866
"88",4784794,81895,65556,13271,63340,48639,1287851,6778,21814
"89",4757049,81400,65293,13240,63246,49229,1315889,6757,21747
"90",4729539,80843,64974,13198,63093,49795,1343906,6730,21657
"91",4702284,80223,64600,13143,62890,50335,1371872,6697,21552
"92",4675306,79537,64175,13080,62633,50848,1399768,6659,21429
"93",4648627,78789,63700,13005,62321,51332,1427571,6615,21286
"94",4622261,77986,63172,12920,61962,51788,1455258,6566,21132
"95",4596227,77127,62597,12824,61550,52215,1482806,6512,20955
"96",4570544,76213,61978,12717,61090,52611,1510192,6452,20764
"97",4545226,75252,61310,12601,60583,52977,1537397,6389,20559
"98",4520282,74246,60602,12477,60030,53311,1564399,6321,20338
"99",4495732,73193,59857,12342,59429,53613,1591180,6247,20101
"100",4471587,72097,59073,12200,58789,53884,1617717,6171,19853
"101",4447856,70965,58251,12049,58112,54121,1643991,6090,19595
"102",4424552,69799,57393,11891,57396,54325,1669989,6006,19322
"103",4401681,68602,56509,11725,56641,54496,1695693,5916,19037
"104",4379250,67376,55598,11553,55853,54633,1721083,5825,18742
"105",4357271,66122,54658,11375,55037,54738,1746145,5731,18443
"106",4335744,64848,53694,11192,54187,54809,1770871,5635,18129
"107",4314676,63554,52711,11002,53311,54847,1795244,5536,17810
"108",4294068,62248,51706,10810,52409,54853,1819252,5435,17484
"109",4273927,60924,50690,10612,51488,54827,1842879,5331,17151
"110",4254252,59590,49660,10410,50547,54768,1866119,5226,16812
"111",4235047,58245,48618,10206,49589,54677,1888963,5121,16471
"112",4216305,56902,47565,9997,48616,54555,1911404,5012,16126
"113",4198033,55552,46507,9789,47628,54403,1933433,4904,15776
"114",4180223,54207,45443,9577,46632,54221,1955044,4795,15425
"115",4162877,52860,44377,9364,45624,54010,1976233,4686,15072
"116",4145992,51517,43310,9150,44612,53771,1996994,4576,14720
"117",4129562,50182,42245,8936,43591,53504,2017325,4466,14364
"118",4113584,48856,41182,8722,42570,53210,2037222,4357,14011
"119",4098054,47539,40123,8509,41548,52890,2056683,4248,13658
"120",4082967,46235,39070,8293,40529,52544,2075709,4137,13308
