"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3857105,185,115,4,34,26,9,3,19
"2",3857061,165,129,9,65,26,23,7,43
"3",3857002,168,130,13,90,27,50,8,48
"4",3856933,179,131,14,108,28,86,8,48
"5",3856858,193,136,15,119,29,129,8,49
"6",3856777,207,143,16,129,31,176,9,51
"7",3856692,221,152,17,138,32,227,9,53
"8",3856601,236,162,18,147,34,282,10,57
"9",3856504,251,173,19,157,36,340,10,60
"10",3856400,268,184,20,167,38,401,11,64
"11",3856290,286,197,21,178,40,467,12,69
"12",3856172,305,210,23,190,42,537,12,73
"13",3856047,325,224,24,203,45,612,13,78
"14",3855913,347,239,26,216,47,692,14,83
"15",3855771,370,254,27,230,50,776,15,89
"16",3855619,394,271,29,246,53,867,16,95
"17",3855457,420,289,31,262,56,964,17,101
"18",3855284,449,308,33,280,59,1066,18,108
"19",3855099,479,329,35,298,63,1176,19,115
"20",3854902,510,351,38,318,66,1293,20,123
"21",3854692,544,374,40,339,71,1418,22,131
"22",3854469,580,399,43,362,75,1552,23,140
"23",3854230,619,426,46,386,79,1693,25,149
"24",3853975,660,454,49,412,84,1845,26,159
"25",3853704,704,484,52,439,90,2006,28,169
"26",3853414,751,517,55,468,95,2179,30,180
"27",3853106,801,551,59,499,101,2362,32,193
"28",3852776,854,587,63,533,108,2558,34,205
"29",3852425,911,627,67,568,115,2767,36,219
"30",3852050,971,668,71,606,122,2990,39,234
"31",3851650,1036,713,76,646,130,3227,41,249
"32",3851224,1105,760,81,690,138,3481,44,266
"33",3850769,1179,811,86,736,147,3751,47,284
"34",3850284,1258,865,92,785,157,4040,50,303
"35",3849767,1341,923,98,836,167,4347,53,323
"36",3849215,1430,984,105,892,178,4675,57,344
"37",3848627,1525,1049,112,952,189,5025,61,367
"38",3847999,1627,1119,119,1015,201,5398,65,392
"39",3847329,1735,1194,127,1083,215,5796,69,418
"40",3846615,1851,1273,135,1156,229,6220,73,446
"41",3845854,1974,1358,144,1233,244,6673,78,475
"42",3845042,2105,1448,154,1315,259,7156,83,507
"43",3844175,2246,1544,164,1403,276,7670,89,541
"44",3843252,2395,1647,175,1496,294,8220,95,577
"45",3842267,2554,1757,186,1595,314,8806,101,615
"46",3841217,2724,1874,199,1701,334,9430,108,656
"47",3840097,2905,1999,212,1814,356,10097,115,700
"48",3838903,3097,2132,226,1935,380,10807,122,747
"49",3837629,3303,2273,240,2064,405,11565,130,796
"50",3836272,3520,2424,256,2202,431,12373,139,850
"51",3834825,3754,2584,273,2349,460,13235,148,906
"52",3833282,4003,2755,291,2504,490,14154,158,966
"53",3831638,4267,2937,310,2671,522,15134,168,1030
"54",3829885,4548,3131,331,2848,556,16179,179,1098
"55",3828017,4848,3338,352,3036,593,17294,191,1170
"56",3826026,5167,3558,375,3237,632,18482,203,1248
"57",3823906,5506,3793,400,3451,674,19749,217,1331
"58",3821646,5867,4042,426,3680,718,21100,231,1418
"59",3819240,6251,4307,454,3923,765,22539,246,1512
"60",3816676,6659,4591,483,4181,815,24074,262,1611
"61",3813944,7095,4890,515,4457,869,25709,279,1717
"62",3811035,7556,5211,549,4749,925,27453,297,1829
"63",3807939,8047,5551,584,5061,986,29311,316,1949
"64",3804643,8568,5913,622,5393,1050,31290,337,2076
"65",3801134,9123,6296,663,5745,1119,33399,358,2212
"66",3797400,9710,6705,705,6120,1192,35646,382,2356
"67",3793427,10335,7138,751,6518,1270,38039,406,2509
"68",3789202,10996,7599,799,6942,1353,40588,432,2671
"69",3784709,11696,8088,851,7392,1441,43302,460,2844
"70",3779930,12441,8605,904,7870,1535,46193,489,3027
"71",3774853,13228,9154,962,8378,1635,49269,520,3221
"72",3769457,14062,9736,1023,8917,1741,52544,553,3427
"73",3763724,14945,10353,1088,9486,1853,56030,588,3644
"74",3757638,15878,11005,1156,10090,1973,59739,625,3876
"75",3751178,16864,11694,1229,10732,2100,63682,664,4121
"76",3744321,17906,12425,1306,11410,2235,67877,706,4379
"77",3737050,19001,13198,1387,12129,2378,72335,750,4653
"78",3729341,20158,14011,1474,12890,2530,77076,796,4943
"79",3721172,21377,14869,1565,13692,2691,82113,845,5247
"80",3712519,22658,15777,1660,14538,2862,87464,896,5568
"81",3703358,24006,16729,1762,15435,3043,93145,951,5910
"82",3693666,25421,17733,1868,16379,3236,99177,1007,6266
"83",3683416,26905,18789,1980,17374,3439,105577,1068,6643
"84",3672584,28458,19898,2099,18420,3655,112365,1131,7037
"85",3661144,30086,21059,2223,19523,3882,119561,1198,7454
"86",3649070,31784,22279,2353,20680,4123,127189,1267,7889
"87",3636340,33554,23553,2489,21896,4378,135268,1340,8347
"88",3622923,35402,24882,2633,23169,4647,143823,1417,8824
"89",3608797,37320,26271,2783,24502,4931,152875,1497,9322
"90",3593937,39311,27718,2939,25896,5231,162448,1580,9842
"91",3578320,41371,29223,3103,27351,5546,172565,1667,10385
"92",3561921,43506,30782,3273,28868,5878,183251,1757,10948
"93",3544722,45705,32400,3450,30444,6228,194530,1851,11531
"94",3526698,47968,34074,3634,32084,6595,206426,1948,12139
"95",3507834,50290,35800,3825,33785,6981,218964,2050,12766
"96",3488113,52671,37577,4022,35547,7385,232165,2153,13411
"97",3467521,55099,39402,4226,37367,7809,246055,2261,14077
"98",3446045,57575,41270,4435,39243,8254,260657,2371,14761
"99",3423680,60087,43180,4650,41170,8718,275995,2484,15461
"100",3400418,62629,45125,4870,43148,9202,292086,2599,16175
"101",3376260,65191,47101,5097,45171,9707,308952,2717,16904
"102",3351209,67762,49103,5328,47235,10233,326611,2838,17640
"103",3325268,70337,51119,5562,49337,10779,345077,2959,18390
"104",3298446,72907,53147,5799,51467,11346,364367,3082,19143
"105",3270761,75451,55180,6038,53620,11935,384494,3206,19902
"106",3242232,77962,57208,6280,55790,12544,405463,3330,20660
"107",3212884,80428,59218,6521,57970,13172,427286,3454,21419
"108",3182741,82837,61204,6764,60150,13820,449963,3578,22170
"109",3151840,85172,63161,7006,62318,14487,473495,3701,22907
"110",3120218,87423,65068,7245,64469,15171,497885,3823,23641
"111",3087921,89574,66923,7480,66589,15872,523119,3941,24351
"112",3054991,91618,68713,7711,68668,16590,549189,4056,25040
"113",3021483,93532,70430,7936,70695,17322,576080,4169,25707
"114",2987448,95315,72059,8153,72663,18067,603773,4277,26347
"115",2952951,96947,73595,8364,74555,18824,632243,4381,26948
"116",2918048,98417,75031,8564,76366,19590,661462,4479,27518
"117",2882804,99725,76347,8755,78083,20365,691400,4570,28050
"118",2847286,100855,77542,8933,79696,21145,722022,4657,28537
"119",2811564,101799,78605,9100,81193,21929,753290,4735,28979
"120",2775705,102557,79533,9250,82565,22714,785155,4805,29368
