b1	r1
0.401	0.249
0.402	0.248
0.402	0.248
0.4	0.252
0.398	0.254
0.398	0.254
0.402	0.246
0.401	0.244
0.401	0.244
0.401	0.244
0.401	0.244
0.401	0.244
0.397	0.251
0.397	0.251
0.398	0.251
0.398	0.251
0.403	0.247
0.397	0.261
0.404	0.244
0.404	0.244
0.404	0.244
0.4	0.248
0.4	0.248
0.4	0.248
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.398	0.25
0.402	0.248
0.402	0.248
0.402	0.248
0.402	0.248
0.4	0.246
0.4	0.246
0.399	0.254
0.399	0.254
0.399	0.254
0.404	0.238
0.404	0.238
0.404	0.238
0.404	0.238
0.404	0.238
0.404	0.238
0.404	0.238
0.405	0.243
0.405	0.243
0.398	0.249
0.397	0.251
0.397	0.251
0.397	0.251
0.397	0.251
0.405	0.238
0.405	0.238
0.4	0.247
0.4	0.247
0.4	0.247
0.4	0.247
0.401	0.244
0.402	0.246
0.402	0.246
0.395	0.257
0.395	0.257
0.4	0.248
0.4	0.248
0.4	0.248
0.401	0.246
0.4	0.251
0.402	0.247
0.403	0.247
0.403	0.247
0.403	0.243
0.403	0.243
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.401	0.248
0.398	0.254
0.395	0.256
0.395	0.256
0.395	0.256
0.406	0.241
0.399	0.251
0.399	0.251
0.399	0.251
0.399	0.251
0.403	0.24
0.402	0.246
0.402	0.246
0.402	0.246
0.406	0.244
0.406	0.244
0.406	0.244
0.401	0.25
0.401	0.25
0.401	0.25
0.401	0.25
0.401	0.25
0.401	0.25
0.401	0.25
0.401	0.25
0.399	0.253
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.401	0.254
0.397	0.253
0.397	0.253
0.397	0.253
0.397	0.253
0.398	0.252
0.398	0.252
0.398	0.252
0.403	0.244
0.403	0.244
0.403	0.244
0.404	0.238
0.402	0.248
0.402	0.248
