day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,4916862,5177,4814,387,83,481,5765,0,0,0,0,0,0,417,332,85,1726616,7617,0,0,0,0,0,0,0,78927
1,2,4917790,4978,4782,366,115,462,5725,0,0,0,0,0,0,428,347,81,1725750,7783,0,0,0,0,0,0,0,75501
1,3,4917606,5081,4864,352,99,492,5807,0,0,0,0,0,0,402,303,99,1725924,7634,0,0,0,0,0,0,0,80936
1,4,4917830,4918,4942,404,95,438,5879,0,0,0,0,0,0,415,316,99,1725827,7585,0,0,0,0,0,0,0,76432
1,5,4917384,5010,4706,405,112,450,5673,0,0,0,0,0,0,447,369,78,1726385,7555,0,0,0,0,0,0,0,78523
1,6,4916839,5002,4781,356,92,469,5698,0,0,0,0,0,0,476,366,110,1726673,7766,0,0,0,0,0,0,0,79171
1,7,4917696,4961,4836,404,97,484,5821,0,0,0,0,0,0,453,353,100,1725805,7718,0,0,0,0,0,0,0,78973
1,8,4919909,4955,4844,366,96,472,5778,0,0,0,0,0,0,393,307,86,1723873,7546,0,0,0,0,0,0,0,77671
1,9,4916613,5150,4947,362,110,488,5907,0,0,0,0,0,0,419,323,96,1726655,7710,0,0,0,0,0,0,0,79227
1,10,4920734,5028,4758,379,88,491,5716,0,0,0,0,0,0,417,315,102,1723014,7545,0,0,0,0,0,0,0,76803
1,11,4916124,5072,4844,353,101,470,5768,0,0,0,0,0,0,434,344,90,1727304,7752,0,0,0,0,0,0,0,74845
1,12,4919923,5157,4832,368,107,487,5794,0,0,0,0,0,0,427,329,98,1723502,7651,0,0,0,0,0,0,0,75236
1,13,4917874,4968,4905,382,83,475,5845,0,0,0,0,0,0,418,317,101,1725766,7583,0,0,0,0,0,0,0,78659
1,14,4919028,5117,4719,383,94,518,5714,0,0,0,0,0,0,421,326,95,1724631,7543,0,0,0,0,0,0,0,78090
1,15,4916781,5027,4860,375,99,497,5831,0,0,0,0,0,0,426,331,95,1726678,7711,0,0,0,0,0,0,0,76210
1,16,4920044,5036,4826,405,99,484,5814,0,0,0,0,0,0,447,348,99,1723446,7667,0,0,0,0,0,0,0,77242
1,17,4918550,4970,4848,332,100,465,5745,0,0,0,0,0,0,425,330,95,1725051,7713,0,0,0,0,0,0,0,76694
1,18,4917971,4998,4977,373,95,511,5956,0,0,0,0,0,0,447,346,101,1725465,7617,0,0,0,0,0,0,0,77537
1,19,4916662,5030,4861,382,100,462,5805,0,0,0,0,0,0,441,351,90,1726881,7635,0,0,0,0,0,0,0,78122
1,20,4914410,5056,4773,367,101,496,5737,0,0,0,0,0,0,463,356,107,1728953,7835,0,0,0,0,0,0,0,77019
1,21,4918214,4921,4833,366,100,484,5783,0,0,0,0,0,0,408,320,88,1725508,7620,0,0,0,0,0,0,0,76725
1,22,4917818,4907,4826,383,105,495,5809,0,0,0,0,0,0,391,320,71,1725944,7585,0,0,0,0,0,0,0,75948
1,23,4919449,5062,4713,381,105,475,5674,0,0,0,0,0,0,412,311,101,1724249,7608,0,0,0,0,0,0,0,75754
1,24,4918276,5069,4708,353,101,467,5629,0,0,0,0,0,0,431,335,96,1725488,7561,0,0,0,0,0,0,0,78617
1,25,4918394,5029,4779,369,100,470,5718,0,0,0,0,0,0,443,337,106,1725213,7657,0,0,0,0,0,0,0,74995
1,26,4920199,5034,4806,358,108,466,5738,0,0,0,0,0,0,428,338,90,1723439,7616,0,0,0,0,0,0,0,76607
1,27,4919597,4877,4847,371,86,483,5787,0,0,0,0,0,0,401,305,96,1724154,7638,0,0,0,0,0,0,0,74529
1,28,4915537,5006,4843,354,81,494,5772,0,0,0,0,0,0,449,359,90,1728167,7523,0,0,0,0,0,0,0,80184
1,29,4918528,4995,4719,378,93,480,5670,0,0,0,0,0,0,411,301,110,1725105,7745,0,0,0,0,0,0,0,73928
1,30,4918676,4898,4785,353,101,474,5713,0,0,0,0,0,0,420,332,88,1725069,7678,0,0,0,0,0,0,0,75158
1,31,4917123,5053,4780,344,111,472,5707,0,0,0,0,0,0,403,333,70,1726325,7843,0,0,0,0,0,0,0,76823
1,32,4916509,5045,4767,348,95,505,5715,0,0,0,0,0,0,445,351,94,1726991,7749,0,0,0,0,0,0,0,74204
1,33,4919891,5134,4770,357,103,494,5724,0,0,0,0,0,0,454,343,111,1723567,7684,0,0,0,0,0,0,0,76829
1,34,4918645,5083,4779,361,103,465,5708,0,0,0,0,0,0,439,332,107,1724943,7636,0,0,0,0,0,0,0,76410
1,35,4915292,5032,4767,367,88,526,5748,0,0,0,0,0,0,437,350,87,1728174,7771,0,0,0,0,0,0,0,77176
1,36,4916898,5068,4749,362,101,489,5701,0,0,0,0,0,0,442,334,108,1726680,7665,0,0,0,0,0,0,0,76891
1,37,4919475,5094,4766,370,115,466,5717,0,0,0,0,0,0,439,336,103,1724099,7630,0,0,0,0,0,0,0,75627
1,38,4918153,5100,4845,375,93,458,5771,0,0,0,0,0,0,461,357,104,1725344,7625,0,0,0,0,0,0,0,76924
1,39,4917813,5014,4850,351,103,477,5781,0,0,0,0,0,0,435,337,98,1725799,7612,0,0,0,0,0,0,0,74514
1,40,4919778,5028,4710,388,83,485,5666,0,0,0,0,0,0,483,389,94,1723717,7782,0,0,0,0,0,0,0,77589
1,41,4917238,5008,4913,426,89,479,5907,0,0,0,0,0,0,411,343,68,1726208,7682,0,0,0,0,0,0,0,78280
1,42,4919520,5087,4774,372,90,439,5675,0,0,0,0,0,0,461,366,95,1724012,7699,0,0,0,0,0,0,0,76665
1,43,4919330,5056,4860,367,106,518,5851,0,0,0,0,0,0,428,333,95,1724072,7717,0,0,0,0,0,0,0,74907
1,44,4917471,5097,4870,380,107,471,5828,0,0,0,0,0,0,447,355,92,1725886,7725,0,0,0,0,0,0,0,75537
1,45,4917104,5060,4803,376,100,467,5746,0,0,0,0,0,0,431,348,83,1726362,7751,0,0,0,0,0,0,0,73224
1,46,4918206,4962,4751,355,100,559,5765,0,0,0,0,0,0,403,298,105,1725658,7460,0,0,0,0,0,0,0,74897
1,47,4919563,5025,4715,357,109,489,5670,0,0,0,0,0,0,427,321,106,1724095,7674,0,0,0,0,0,0,0,79493
1,48,4916947,4963,4806,353,102,467,5728,0,0,0,0,0,0,449,350,99,1726644,7723,0,0,0,0,0,0,0,75664
1,49,4917212,5036,4706,376,82,457,5621,0,0,0,0,0,0,431,337,94,1726546,7608,0,0,0,0,0,0,0,77535
1,50,4916290,5100,4894,340,88,433,5755,0,0,0,0,0,0,441,342,99,1727162,7706,0,0,0,0,0,0,0,76233
1,51,4916070,5027,4910,390,111,483,5894,0,0,0,0,0,0,423,335,88,1727340,7700,0,0,0,0,0,0,0,78885
1,52,4916737,5132,4787,347,92,500,5726,0,0,0,0,0,0,397,330,67,1726873,7589,0,0,0,0,0,0,0,76288
1,53,4917125,4996,4718,380,102,498,5698,0,0,0,0,0,0,439,343,96,1726620,7576,0,0,0,0,0,0,0,74640
