"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6653934,3529,2753,378,1384,71,404,247,795
"2",6652827,3420,2773,468,1820,132,1014,284,913
"3",6651577,3490,2747,514,2113,205,1807,286,920
"4",6650247,3617,2755,535,2296,284,2720,283,911
"5",6648865,3752,2804,545,2418,364,3705,284,914
"6",6647440,3883,2879,555,2515,443,4739,289,930
"7",6645971,4013,2966,568,2602,521,5813,296,955
"8",6644457,4143,3061,583,2689,598,6923,305,984
"9",6642897,4275,3159,600,2777,675,8071,315,1015
"10",6641286,4411,3260,618,2868,753,9259,325,1048
"11",6639624,4552,3363,638,2960,830,10486,336,1082
"12",6637911,4696,3471,658,3055,909,11754,346,1116
"13",6636142,4846,3581,679,3153,989,13065,358,1151
"14",6634317,5000,3694,701,3254,1069,14419,369,1188
"15",6632434,5159,3812,723,3358,1150,15819,380,1226
"16",6630492,5321,3934,746,3465,1232,17264,393,1265
"17",6628489,5489,4059,770,3576,1315,18756,405,1305
"18",6626423,5662,4187,794,3690,1400,20299,418,1347
"19",6624292,5841,4320,819,3806,1485,21891,431,1389
"20",6622094,6025,4456,845,3927,1572,23535,445,1433
"21",6619828,6213,4595,872,4052,1661,25233,459,1479
"22",6617491,6409,4739,899,4179,1750,26987,473,1525
"23",6615081,6609,4889,928,4310,1842,28796,488,1572
"24",6612595,6815,5042,957,4446,1935,30664,503,1622
"25",6610032,7028,5200,986,4586,2030,32591,519,1673
"26",6607390,7246,5363,1017,4729,2127,34581,536,1725
"27",6604667,7470,5530,1049,4878,2225,36634,552,1780
"28",6601860,7702,5701,1082,5031,2326,38752,569,1835
"29",6598966,7940,5879,1116,5188,2429,40937,587,1891
"30",6595984,8183,6061,1151,5349,2534,43192,605,1950
"31",6592910,8435,6248,1186,5516,2641,45517,624,2012
"32",6589743,8693,6441,1223,5687,2750,47917,644,2072
"33",6586479,8960,6638,1261,5863,2862,50391,663,2137
"34",6583117,9232,6842,1299,6044,2977,52943,684,2202
"35",6579652,9514,7051,1339,6230,3094,55574,704,2270
"36",6576084,9802,7265,1380,6421,3214,58287,726,2340
"37",6572408,10096,7487,1423,6618,3337,61084,749,2410
"38",6568623,10401,7713,1466,6820,3463,63968,771,2484
"39",6564723,10714,7946,1511,7027,3592,66941,794,2559
"40",6560709,11034,8186,1556,7241,3724,70005,818,2636
"41",6556576,11363,8431,1603,7460,3859,73163,843,2716
"42",6552320,11701,8683,1651,7686,3998,76416,868,2798
"43",6547939,12047,8942,1700,7918,4139,79769,894,2882
"44",6543430,12402,9207,1751,8155,4285,83223,920,2968
"45",6538791,12764,9480,1803,8398,4434,86782,948,3056
"46",6534016,13137,9761,1857,8647,4587,90448,976,3146
"47",6529104,13519,10047,1912,8904,4744,94223,1005,3239
"48",6524049,13912,10340,1968,9169,4904,98111,1034,3335
"49",6518851,14313,10641,2026,9440,5069,102114,1065,3431
"50",6513504,14725,10950,2085,9716,5238,106236,1096,3531
"51",6508006,15146,11265,2146,9999,5410,110481,1127,3634
"52",6502353,15576,11591,2208,10290,5588,114849,1160,3738
"53",6496541,16016,11922,2272,10588,5770,119345,1193,3847
"54",6490567,16469,12261,2337,10893,5956,123971,1227,3956
"55",6484427,16930,12608,2402,11206,6147,128733,1261,4069
"56",6478120,17399,12965,2472,11526,6343,133630,1298,4184
"57",6471640,17879,13328,2542,11854,6543,138667,1335,4302
"58",6464982,18372,13698,2614,12190,6749,143850,1372,4424
"59",6458145,18873,14078,2687,12532,6959,149179,1410,4545
"60",6451124,19385,14464,2762,12885,7175,154659,1449,4673
"61",6443917,19908,14858,2838,13242,7396,160294,1489,4800
"62",6436521,20438,15264,2917,13607,7622,166085,1530,4931
"63",6428931,20981,15675,2997,13979,7854,172037,1571,5065
"64",6421142,21535,16094,3077,14361,8092,178152,1614,5202
"65",6413152,22099,16523,3160,14751,8335,184434,1656,5341
"66",6404959,22672,16960,3244,15145,8584,190889,1701,5482
"67",6396558,23256,17403,3331,15551,8839,197516,1746,5628
"68",6387947,23848,17855,3419,15964,9099,204322,1791,5776
"69",6379121,24451,18314,3508,16385,9366,211309,1838,5926
"70",6370078,25063,18783,3599,16812,9638,218481,1885,6077
"71",6360814,25684,19260,3692,17246,9916,225841,1934,6232
"72",6351327,26315,19742,3786,17691,10201,233392,1982,6392
"73",6341612,26957,20232,3881,18143,10491,241138,2032,6552
"74",6331669,27605,20730,3979,18601,10789,249081,2082,6714
"75",6321493,28262,21236,4077,19067,11092,257226,2133,6879
"76",6311082,28927,21750,4177,19540,11402,265577,2186,7047
"77",6300435,29599,22270,4278,20019,11718,274135,2238,7217
"78",6289549,30278,22795,4382,20506,12040,282904,2292,7390
"79",6278421,30963,23326,4487,20999,12369,291888,2346,7565
"80",6267049,31659,23859,4593,21498,12705,301091,2401,7742
"81",6255432,32360,24402,4699,22003,13047,310511,2455,7918
"82",6243570,33063,24953,4806,22514,13395,320154,2510,8098
"83",6231459,33772,25504,4917,23031,13749,330021,2569,8281
"84",6219100,34486,26060,5027,23555,14110,340116,2625,8465
"85",6206490,35204,26622,5138,24081,14478,350442,2682,8649
"86",6193629,35925,27186,5249,24612,14851,361001,2740,8835
"87",6180519,36646,27755,5363,25147,15231,371792,2798,9022
"88",6167158,37370,28324,5476,25686,15617,382822,2857,9210
"89",6153545,38098,28895,5591,26227,16010,394088,2916,9399
"90",6139684,38822,29470,5705,26772,16409,405592,2974,9588
"91",6125570,39549,30044,5820,27319,16812,417339,3033,9780
"92",6111210,40272,30620,5936,27869,17222,429325,3093,9970
"93",6096600,40995,31193,6052,28420,17638,441556,3151,10161
"94",6081744,41713,31770,6167,28971,18059,454030,3210,10351
"95",6066647,42428,32340,6283,29524,18485,466748,3270,10543
"96",6051305,43140,32908,6397,30077,18915,479710,3328,10733
"97",6035725,43844,33476,6512,30628,19351,492918,3387,10922
"98",6019910,44540,34040,6626,31176,19790,506371,3445,11110
"99",6003862,45228,34600,6741,31721,20235,520066,3504,11295
"100",5987586,45910,35152,6854,32265,20684,534003,3561,11482
"101",5971085,46580,35700,6965,32805,21137,548182,3617,11666
"102",5954364,47239,36240,7077,33341,21593,562600,3674,11847
"103",5937427,47886,36773,7187,33871,22054,577257,3730,12027
"104",5920278,48523,37296,7295,34396,22516,592149,3784,12205
"105",5902925,49145,37812,7402,34912,22982,607276,3838,12376
"106",5885377,49748,38317,7507,35422,23450,622633,3891,12549
"107",5867632,50338,38813,7610,35923,23919,638218,3944,12715
"108",5849704,50908,39297,7713,36415,24390,654028,3995,12880
"109",5831598,51461,39762,7813,36899,24862,670058,4045,13042
"110",5813320,51993,40220,7909,37372,25336,686304,4092,13196
"111",5794876,52508,40664,8002,37834,25809,702762,4138,13348
"112",5776277,53000,41092,8092,38284,26282,719427,4184,13496
"113",5757529,53472,41501,8183,38720,26754,736295,4230,13636
"114",5738642,53920,41897,8269,39140,27227,753360,4271,13772
"115",5719625,54343,42275,8352,39547,27697,770615,4313,13902
"116",5700487,54741,42635,8431,39939,28165,788056,4351,14030
"117",5681238,55116,42970,8508,40317,28631,805673,4389,14149
"118",5661887,55462,43293,8578,40674,29095,823466,4422,14261
"119",5642442,55781,43593,8647,41017,29555,841419,4456,14368
"120",5622917,56069,43876,8710,41339,30011,859531,4486,14467
