"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6658947,570,448,277,70,431,1713,143,38
"2",6658771,549,450,289,87,462,1847,154,41
"3",6658587,544,443,295,99,495,1992,154,41
"4",6658401,542,438,296,105,528,2145,152,41
"5",6658214,542,435,295,109,560,2301,150,40
"6",6658028,541,433,293,112,590,2459,149,40
"7",6657842,541,431,292,113,619,2618,148,40
"8",6657656,540,430,290,114,647,2778,148,40
"9",6657471,539,430,289,114,674,2939,147,40
"10",6657287,538,428,289,114,700,3101,147,40
"11",6657102,537,427,288,114,725,3263,147,39
"12",6656918,536,427,287,114,748,3426,146,39
"13",6656735,535,426,287,114,771,3589,146,39
"14",6656551,534,425,286,114,793,3753,146,39
"15",6656368,533,424,285,114,815,3917,146,39
"16",6656186,531,424,285,114,835,4082,145,39
"17",6656003,531,423,284,114,854,4247,145,39
"18",6655821,530,422,284,113,873,4413,145,39
"19",6655640,529,421,283,113,892,4579,144,39
"20",6655458,528,420,282,113,909,4745,144,39
"21",6655278,527,420,282,113,926,4912,144,39
"22",6655097,525,419,281,113,942,5079,144,39
"23",6654917,525,418,281,112,957,5246,143,39
"24",6654737,524,417,280,112,972,5414,143,39
"25",6654557,523,416,279,112,987,5581,143,39
"26",6654378,522,416,279,112,1000,5749,142,39
"27",6654199,521,415,279,112,1013,5917,142,38
"28",6654021,520,414,278,112,1026,6086,142,38
"29",6653842,519,413,278,111,1038,6255,142,38
"30",6653664,518,413,277,111,1050,6423,141,38
"31",6653487,517,412,276,111,1061,6592,141,38
"32",6653309,516,411,276,111,1072,6761,141,38
"33",6653133,515,410,275,111,1082,6930,141,38
"34",6652956,514,409,275,111,1092,7099,140,38
"35",6652780,513,408,274,110,1101,7269,140,38
"36",6652604,512,408,274,110,1110,7438,140,38
"37",6652428,511,407,273,110,1119,7607,139,38
"38",6652253,510,406,273,110,1127,7777,139,38
"39",6652078,509,405,272,110,1135,7946,139,38
"40",6651903,508,405,272,109,1143,8116,139,38
"41",6651729,507,404,271,109,1150,8285,138,38
"42",6651555,506,404,271,109,1157,8455,138,38
"43",6651381,506,403,270,109,1163,8624,138,38
"44",6651208,505,402,270,109,1169,8794,138,37
"45",6651034,504,401,269,109,1175,8963,137,37
"46",6650861,503,401,269,109,1181,9133,137,37
"47",6650689,502,400,268,108,1187,9302,137,37
"48",6650516,501,399,268,108,1192,9471,137,37
"49",6650344,500,399,267,108,1197,9641,136,37
"50",6650173,499,398,267,108,1201,9810,136,37
"51",6650001,499,397,266,108,1206,9979,136,37
"52",6649830,498,396,266,108,1210,10148,136,37
"53",6649660,497,396,265,107,1214,10317,135,37
"54",6649489,496,395,265,107,1218,10486,135,37
"55",6649319,495,394,264,107,1221,10655,135,37
"56",6649149,494,394,264,107,1225,10824,135,37
"57",6648979,493,393,263,107,1228,10993,134,37
"58",6648810,493,393,263,107,1231,11161,134,37
"59",6648640,492,392,262,106,1233,11329,134,37
"60",6648472,491,391,262,106,1236,11498,134,37
"61",6648303,490,390,262,106,1239,11666,133,37
"62",6648135,490,390,261,106,1241,11834,133,36
"63",6647967,489,389,261,106,1243,12002,133,36
"64",6647799,488,389,260,106,1245,12169,133,36
"65",6647631,487,388,260,106,1247,12337,133,36
"66",6647464,487,388,259,106,1249,12505,132,36
"67",6647297,486,387,259,105,1250,12672,132,36
"68",6647130,485,386,258,105,1252,12840,132,36
"69",6646964,484,386,258,105,1253,13007,132,36
"70",6646798,483,385,258,105,1254,13173,132,36
"71",6646632,483,384,257,105,1256,13340,131,36
"72",6646466,482,383,257,105,1257,13507,131,36
"73",6646301,481,383,256,105,1258,13673,131,36
"74",6646136,480,382,256,104,1258,13839,131,36
"75",6645971,480,382,255,104,1259,14005,130,36
