,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
1503,27003,smoothed_wcli,2020-09-10,2020-11-19,70,0.8507822,0.5239606,258.1721,county,fb-survey
1504,27037,smoothed_wcli,2020-09-10,2020-11-19,70,0.5430802,0.3117943,372.1278,county,fb-survey
1505,27053,smoothed_wcli,2020-09-10,2020-11-19,70,0.6095877,0.3045475,922.1036,county,fb-survey
1506,27123,smoothed_wcli,2020-09-10,2020-11-19,70,0.3909927,0.2909057,589.6542,county,fb-survey
1507,27145,smoothed_wcli,2020-09-10,2020-11-19,70,3.3194798,1.5169212,148.7322,county,fb-survey
1508,27163,smoothed_wcli,2020-09-10,2020-11-19,70,0.3778029,0.3106656,256.9507,county,fb-survey
1509,27003,smoothed_wcli,2020-09-11,2020-11-19,69,0.9011716,0.5155616,263.6856,county,fb-survey
1510,27037,smoothed_wcli,2020-09-11,2020-11-19,69,0.5982913,0.3206244,354.89,county,fb-survey
1511,27053,smoothed_wcli,2020-09-11,2020-11-19,69,0.5330238,0.2951915,916.8929,county,fb-survey
1512,27123,smoothed_wcli,2020-09-11,2020-11-19,69,0.5373164,0.3237419,604.4204,county,fb-survey
1513,27145,smoothed_wcli,2020-09-11,2020-11-19,69,3.1327127,1.4242074,152.9922,county,fb-survey
1514,27163,smoothed_wcli,2020-09-11,2020-11-19,69,1.047792,0.490461,259.5476,county,fb-survey
1515,27003,smoothed_wcli,2020-09-12,2020-11-19,68,1.0308722,0.5334105,255.6041,county,fb-survey
1516,27037,smoothed_wcli,2020-09-12,2020-11-19,68,0.5449177,0.3024419,351.3656,county,fb-survey
1517,27053,smoothed_wcli,2020-09-12,2020-11-19,68,0.5860223,0.3357283,916.7023,county,fb-survey
1518,27123,smoothed_wcli,2020-09-12,2020-11-19,68,0.5433915,0.3280448,603.7273,county,fb-survey
1519,27145,smoothed_wcli,2020-09-12,2020-11-19,68,2.3865399,1.2358501,153.4158,county,fb-survey
1520,27163,smoothed_wcli,2020-09-12,2020-11-19,68,1.0028056,0.470128,273.7512,county,fb-survey
1521,27003,smoothed_wcli,2020-09-13,2020-11-19,67,1.0725214,0.5474475,248.7133,county,fb-survey
1522,27037,smoothed_wcli,2020-09-13,2020-11-19,67,0.7275649,0.3954124,342.1236,county,fb-survey
1523,27053,smoothed_wcli,2020-09-13,2020-11-19,67,0.6217318,0.3475138,879.8886,county,fb-survey
1524,27123,smoothed_wcli,2020-09-13,2020-11-19,67,0.5302209,0.3203666,606.2494,county,fb-survey
1525,27145,smoothed_wcli,2020-09-13,2020-11-19,67,2.1913118,1.215012,156.6628,county,fb-survey
1526,27163,smoothed_wcli,2020-09-13,2020-11-19,67,1.0309552,0.4823261,268.1491,county,fb-survey
1527,27003,smoothed_wcli,2020-09-14,2020-11-19,66,0.6005069,0.3070885,244.1419,county,fb-survey
