b1	r1
0.501	0.169
0.501	0.169
0.54	0.116
0.54	0.116
0.54	0.116
0.54	0.116
0.52	0.139
0.539	0.118
0.539	0.118
0.521	0.145
0.521	0.145
0.521	0.145
0.521	0.145
0.495	0.16
0.495	0.16
0.495	0.16
0.532	0.128
0.532	0.128
0.532	0.128
0.494	0.164
0.494	0.164
0.516	0.144
0.516	0.144
0.498	0.176
0.53	0.132
0.53	0.132
0.53	0.132
0.53	0.132
0.53	0.132
0.53	0.132
0.499	0.157
0.515	0.141
0.515	0.141
0.515	0.141
0.515	0.141
0.515	0.141
0.518	0.139
0.514	0.164
0.514	0.164
0.512	0.145
0.518	0.135
0.518	0.135
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.528	0.138
0.546	0.115
0.546	0.115
0.546	0.115
0.546	0.115
0.546	0.115
0.521	0.138
0.521	0.138
0.521	0.138
0.521	0.138
0.51	0.141
0.51	0.141
0.535	0.131
0.535	0.131
0.535	0.131
0.535	0.131
0.531	0.125
0.531	0.125
0.531	0.125
0.531	0.125
0.528	0.127
0.502	0.164
0.493	0.169
0.493	0.169
0.524	0.13
0.499	0.167
0.513	0.154
0.513	0.154
0.513	0.154
0.513	0.154
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.499	0.174
0.506	0.152
0.506	0.152
0.544	0.117
0.504	0.17
0.504	0.17
0.504	0.17
0.51	0.149
0.51	0.149
0.51	0.149
0.52	0.13
0.552	0.107
0.552	0.107
0.552	0.107
0.552	0.107
0.487	0.171
0.487	0.171
0.487	0.171
0.509	0.16
0.509	0.16
0.509	0.16
0.509	0.16
0.509	0.16
0.509	0.16
0.509	0.16
0.488	0.184
0.521	0.148
0.52	0.137
0.52	0.137
0.52	0.137
0.52	0.137
0.52	0.137
0.52	0.137
0.52	0.137
0.52	0.137
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.499	0.166
0.515	0.152
0.515	0.152
0.515	0.152
0.482	0.19
0.482	0.19
0.505	0.151
0.505	0.151
0.505	0.151
0.505	0.151
0.505	0.151
0.519	0.138
0.519	0.138
0.525	0.144
0.5	0.158
0.5	0.158
0.528	0.126
0.528	0.126
0.528	0.126
0.513	0.148
0.513	0.148
0.513	0.148
0.53	0.137
0.53	0.137
0.506	0.15
0.506	0.15
0.506	0.15
0.505	0.156
0.498	0.172
0.53	0.128
0.53	0.126
0.53	0.126
0.53	0.126
0.53	0.126
0.53	0.126
0.53	0.126
0.536	0.115
0.536	0.115
0.536	0.122
0.536	0.122
0.519	0.137
0.519	0.137
0.519	0.137
0.519	0.137
0.52	0.143
0.512	0.147
0.512	0.147
0.512	0.147
0.501	0.161
0.516	0.139
0.516	0.139
0.516	0.139
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.16
0.501	0.165
0.501	0.165
0.501	0.165
0.501	0.165
0.514	0.136
0.494	0.169
0.494	0.169
0.494	0.169
0.494	0.169
0.494	0.169
0.489	0.172
0.489	0.172
0.497	0.161
0.497	0.161
0.497	0.161
0.499	0.169
0.499	0.169
0.499	0.169
0.499	0.169
0.499	0.169
0.512	0.144
0.524	0.133
0.516	0.141
0.516	0.141
0.516	0.141
0.516	0.141
0.516	0.141
0.516	0.141
0.516	0.141
0.516	0.141
0.516	0.141
0.493	0.17
0.498	0.164
0.498	0.164
0.498	0.164
0.5	0.16
0.502	0.165
0.495	0.169
0.495	0.169
0.495	0.169
0.495	0.169
0.495	0.169
0.495	0.169
0.548	0.109
0.548	0.109
0.548	0.109
0.548	0.109
0.548	0.109
0.513	0.149
0.513	0.149
0.513	0.149
0.513	0.149
0.513	0.149
0.528	0.13
0.528	0.13
0.518	0.15
0.518	0.15
0.518	0.15
0.518	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.522	0.15
0.523	0.138
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.515	0.142
0.549	0.109
0.523	0.138
0.523	0.138
0.523	0.138
0.507	0.142
0.507	0.142
0.507	0.142
0.525	0.144
