"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3857251,109,66,2,20,26,6,1,12
"2",3857220,103,75,3,39,26,14,2,26
"3",3857177,110,78,4,56,25,30,3,30
"4",3857127,123,82,5,68,25,51,3,31
"5",3857070,137,89,5,77,25,77,3,33
"6",3857008,152,97,6,86,25,106,3,35
"7",3856939,169,107,6,95,25,139,3,39
"8",3856862,187,119,7,105,26,174,4,43
"9",3856778,207,132,8,116,26,214,4,47
"10",3856685,229,146,8,129,26,257,5,53
"11",3856581,253,161,9,142,27,306,5,58
"12",3856467,280,179,10,158,27,359,6,64
"13",3856340,310,198,11,174,28,418,6,71
"14",3856200,343,219,13,193,29,483,7,79
"15",3856045,380,242,14,214,30,554,8,87
"16",3855873,421,268,15,237,32,634,9,97
"17",3855683,465,297,17,262,33,722,10,107
"18",3855473,515,328,19,290,35,820,11,118
"19",3855241,570,363,21,321,37,927,12,131
"20",3854983,631,402,23,355,39,1046,13,145
"21",3854698,698,445,26,393,42,1178,14,160
"22",3854383,773,492,29,435,45,1324,16,177
"23",3854034,855,545,32,481,48,1485,18,196
"24",3853648,947,603,35,533,52,1663,20,217
"25",3853220,1048,667,39,589,56,1861,22,240
"26",3852748,1159,738,43,653,60,2079,24,267
"27",3852224,1283,817,47,722,65,2321,26,295
"28",3851646,1419,904,53,799,71,2589,29,326
"29",3851005,1571,1001,58,884,78,2885,32,361
"30",3850296,1738,1107,64,978,85,3212,36,399
"31",3849511,1923,1225,71,1083,93,3574,40,442
"32",3848644,2127,1356,79,1198,101,3975,44,489
"33",3847685,2353,1500,87,1326,111,4419,49,541
"34",3846623,2603,1659,96,1467,122,4910,54,599
"35",3845449,2880,1836,106,1623,134,5453,59,661
"36",3844150,3185,2030,118,1796,147,6054,66,733
"37",3842714,3523,2246,130,1987,162,6718,73,810
"38",3841125,3897,2484,144,2198,178,7454,80,896
"39",3839369,4310,2747,159,2431,196,8267,89,991
"40",3837427,4766,3039,176,2689,216,9167,98,1096
"41",3835280,5270,3361,195,2974,238,10162,109,1212
"42",3832906,5826,3718,216,3290,263,11263,120,1341
"43",3830283,6440,4110,238,3638,290,12480,133,1483
"44",3827385,7118,4543,264,4024,320,13827,147,1640
"45",3824182,7867,5022,291,4448,353,15316,163,1812
"46",3820644,8692,5552,322,4918,390,16963,180,2003
"47",3816737,9602,6134,356,5437,431,18782,199,2215
"48",3812423,10607,6777,393,6010,476,20794,220,2448
"49",3807662,11710,7488,435,6642,525,23018,243,2704
"50",3802407,12927,8271,480,7339,580,25476,268,2987
"51",3796609,14267,9132,531,8109,641,28191,296,3300
"52",3790216,15740,10080,586,8957,708,31192,327,3644
"53",3783170,17359,11126,647,9891,782,34506,361,4022
"54",3775405,19138,12273,714,10919,864,38165,398,4439
"55",3766855,21090,13536,788,12051,955,42205,439,4897
"56",3757443,23231,14922,869,13297,1054,46664,484,5401
"57",3747089,25574,16443,959,14667,1164,51584,534,5955
"58",3735706,28138,18113,1057,16170,1285,57011,589,6560
"59",3723198,30944,19940,1164,17821,1418,62994,648,7227
"60",3709467,34005,21941,1282,19632,1565,69587,714,7956
"61",3694408,37338,24126,1411,21620,1726,76850,785,8756
"62",3677907,40965,26512,1552,23791,1904,84849,863,9626
"63",3659843,44902,29112,1707,26165,2099,93652,949,10578
"64",3640090,49171,31938,1876,28757,2314,103334,1042,11615
"65",3618518,53787,35008,2059,31584,2549,113974,1143,12744
"66",3594992,58765,38335,2258,34661,2807,125661,1252,13968
"67",3569375,64119,41929,2475,38007,3090,138485,1372,15297
"68",3541522,69864,45806,2709,41632,3400,152546,1500,16730
"69",3511297,75998,49981,2962,45555,3738,167949,1639,18279
"70",3478556,82534,54455,3235,49788,4107,184805,1788,19943
"71",3443169,89462,59239,3528,54348,4509,203225,1948,21728
"72",3405002,96781,64330,3843,59244,4947,223332,2119,23637
