,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
1940,42011,smoothed_wcli,2020-09-15,2020-11-19,65,1.024697,0.4498139,396.7281,county,fb-survey
1941,42017,smoothed_wcli,2020-09-15,2020-11-19,65,0.071293,0.1500756,410.3835,county,fb-survey
1942,42029,smoothed_wcli,2020-09-15,2020-11-19,65,0.5348746,0.3801089,417.3945,county,fb-survey
1943,42041,smoothed_wcli,2020-09-15,2020-11-19,65,0.316898,0.2528189,341.0527,county,fb-survey
1944,42043,smoothed_wcli,2020-09-15,2020-11-19,65,0.3295741,0.3589256,292.3925,county,fb-survey
1945,42045,smoothed_wcli,2020-09-15,2020-11-19,65,0.2716457,0.2695979,311.978,county,fb-survey
1946,42071,smoothed_wcli,2020-09-15,2020-11-19,65,0.4644591,0.254517,481.1332,county,fb-survey
1947,42077,smoothed_wcli,2020-09-15,2020-11-19,65,0.5465951,0.3286621,362.3912,county,fb-survey
1948,42091,smoothed_wcli,2020-09-15,2020-11-19,65,0.1859745,0.1700773,582.2387,county,fb-survey
1949,42095,smoothed_wcli,2020-09-15,2020-11-19,65,0.8293607,0.6096663,294.7941,county,fb-survey
1950,42101,smoothed_wcli,2020-09-15,2020-11-19,65,0.0750529,0.1168341,682.9098,county,fb-survey
1951,42133,smoothed_wcli,2020-09-15,2020-11-19,65,0.9195242,0.5525395,442.2122,county,fb-survey
1952,42011,smoothed_wcli,2020-09-16,2020-11-19,64,1.0480556,0.4586104,385.5685,county,fb-survey
1953,42017,smoothed_wcli,2020-09-16,2020-11-19,64,0.0702546,0.1379406,410.6914,county,fb-survey
1954,42029,smoothed_wcli,2020-09-16,2020-11-19,64,0.4711925,0.3773336,408.8635,county,fb-survey
1955,42041,smoothed_wcli,2020-09-16,2020-11-19,64,0.2580267,0.2456159,338.5811,county,fb-survey
1956,42043,smoothed_wcli,2020-09-16,2020-11-19,64,0.3410002,0.3716233,274.896,county,fb-survey
1957,42045,smoothed_wcli,2020-09-16,2020-11-19,64,0.3046237,0.2805683,290.7342,county,fb-survey
1958,42071,smoothed_wcli,2020-09-16,2020-11-19,64,0.593217,0.2860854,460.6523,county,fb-survey
1959,42077,smoothed_wcli,2020-09-16,2020-11-19,64,0.5602157,0.3351537,348.204,county,fb-survey
1960,42091,smoothed_wcli,2020-09-16,2020-11-19,64,0.205733,0.165829,589.0529,county,fb-survey
1961,42095,smoothed_wcli,2020-09-16,2020-11-19,64,0.8751818,0.6425118,290.4615,county,fb-survey
1962,42101,smoothed_wcli,2020-09-16,2020-11-19,64,0.0631686,0.1140275,687.9016,county,fb-survey
1963,42133,smoothed_wcli,2020-09-16,2020-11-19,64,0.9363974,0.5462728,414.7931,county,fb-survey
1964,42011,smoothed_wcli,2020-09-17,2020-11-19,63,1.052618,0.4567151,373.8914,county,fb-survey
1965,42017,smoothed_wcli,2020-09-17,2020-11-19,63,0.0438789,0.1233411,423.2003,county,fb-survey
1966,42029,smoothed_wcli,2020-09-17,2020-11-19,63,0.4751653,0.3710788,385.7464,county,fb-survey
1967,42041,smoothed_wcli,2020-09-17,2020-11-19,63,0.2067552,0.2525859,328.5204,county,fb-survey
1968,42043,smoothed_wcli,2020-09-17,2020-11-19,63,0.3523096,0.3841472,254.2739,county,fb-survey
1969,42045,smoothed_wcli,2020-09-17,2020-11-19,63,0.3754909,0.3103373,292.8201,county,fb-survey
1970,42071,smoothed_wcli,2020-09-17,2020-11-19,63,0.6918482,0.3043729,446.3812,county,fb-survey
1971,42077,smoothed_wcli,2020-09-17,2020-11-19,63,0.5668638,0.3448487,336.6319,county,fb-survey
1972,42091,smoothed_wcli,2020-09-17,2020-11-19,63,0.2190121,0.1769201,546.6435,county,fb-survey
1973,42095,smoothed_wcli,2020-09-17,2020-11-19,63,0.8892098,0.6537164,276.872,county,fb-survey
1974,42101,smoothed_wcli,2020-09-17,2020-11-19,63,0.0969066,0.130909,669.918,county,fb-survey
1975,42133,smoothed_wcli,2020-09-17,2020-11-19,63,0.9079143,0.5420279,409.6512,county,fb-survey
1976,42011,smoothed_wcli,2020-09-18,2020-11-19,62,0.7671058,0.407613,356.259,county,fb-survey
1977,42017,smoothed_wcli,2020-09-18,2020-11-19,62,0.0,0.1198472,406.1556,county,fb-survey
1978,42029,smoothed_wcli,2020-09-18,2020-11-19,62,0.4860076,0.3790453,376.9501,county,fb-survey
1979,42041,smoothed_wcli,2020-09-18,2020-11-19,62,0.2162648,0.2637956,313.1808,county,fb-survey
1980,42043,smoothed_wcli,2020-09-18,2020-11-19,62,0.3936786,0.429923,260.6153,county,fb-survey
1981,42045,smoothed_wcli,2020-09-18,2020-11-19,62,0.1361633,0.2003239,275.4203,county,fb-survey
1982,42071,smoothed_wcli,2020-09-18,2020-11-19,62,0.5337733,0.2821048,425.2595,county,fb-survey
1983,42077,smoothed_wcli,2020-09-18,2020-11-19,62,0.4867118,0.3363057,337.4746,county,fb-survey
1984,42091,smoothed_wcli,2020-09-18,2020-11-19,62,0.0980111,0.1315929,542.676,county,fb-survey
1985,42095,smoothed_wcli,2020-09-18,2020-11-19,62,1.006132,0.6651939,276.8665,county,fb-survey
1986,42101,smoothed_wcli,2020-09-18,2020-11-19,62,0.1406142,0.1392692,658.9262,county,fb-survey
1987,42133,smoothed_wcli,2020-09-18,2020-11-19,62,0.8671945,0.4653764,397.2294,county,fb-survey
1988,42011,smoothed_wcli,2020-09-19,2020-11-19,61,1.1547019,0.4733118,341.1408,county,fb-survey
1989,42017,smoothed_wcli,2020-09-19,2020-11-19,61,0.0,0.1241268,387.3792,county,fb-survey
1990,42029,smoothed_wcli,2020-09-19,2020-11-19,61,0.0,0.1262897,374.1989,county,fb-survey
1991,42041,smoothed_wcli,2020-09-19,2020-11-19,61,0.4884757,0.3799925,310.6851,county,fb-survey
1992,42043,smoothed_wcli,2020-09-19,2020-11-19,61,0.2687977,0.3176762,264.4425,county,fb-survey
1993,42045,smoothed_wcli,2020-09-19,2020-11-19,61,0.3266525,0.3554062,292.1875,county,fb-survey
1994,42071,smoothed_wcli,2020-09-19,2020-11-19,61,0.5179715,0.2803959,419.7459,county,fb-survey
1995,42077,smoothed_wcli,2020-09-19,2020-11-19,61,0.2488019,0.2276743,312.5602,county,fb-survey
1996,42091,smoothed_wcli,2020-09-19,2020-11-19,61,0.1761654,0.1525558,543.9548,county,fb-survey
1997,42095,smoothed_wcli,2020-09-19,2020-11-19,61,1.0129795,0.6715788,264.2419,county,fb-survey
1998,42101,smoothed_wcli,2020-09-19,2020-11-19,61,0.2800567,0.2555261,645.9262,county,fb-survey
1999,42133,smoothed_wcli,2020-09-19,2020-11-19,61,0.3737941,0.2513973,380.8111,county,fb-survey
2000,42011,smoothed_wcli,2020-09-20,2020-11-19,60,0.8530999,0.4267827,331.9559,county,fb-survey
2001,42017,smoothed_wcli,2020-09-20,2020-11-19,60,0.1122696,0.1732683,378.9374,county,fb-survey
2002,42029,smoothed_wcli,2020-09-20,2020-11-19,60,0.0,0.1311553,363.7704,county,fb-survey
2003,42041,smoothed_wcli,2020-09-20,2020-11-19,60,1.0295431,0.657139,302.6736,county,fb-survey
2004,42043,smoothed_wcli,2020-09-20,2020-11-19,60,0.2654556,0.3155734,272.479,county,fb-survey
2005,42045,smoothed_wcli,2020-09-20,2020-11-19,60,0.3426179,0.3734748,271.4388,county,fb-survey
2006,42071,smoothed_wcli,2020-09-20,2020-11-19,60,0.3940723,0.2385629,409.593,county,fb-survey
2007,42077,smoothed_wcli,2020-09-20,2020-11-19,60,0.9605253,0.6476273,304.67,county,fb-survey
2008,42091,smoothed_wcli,2020-09-20,2020-11-19,60,0.1817352,0.1586534,514.9192,county,fb-survey
2009,42095,smoothed_wcli,2020-09-20,2020-11-19,60,1.0096068,0.6695409,260.013,county,fb-survey
2010,42101,smoothed_wcli,2020-09-20,2020-11-19,60,0.2859306,0.2612243,599.9426,county,fb-survey
2011,42133,smoothed_wcli,2020-09-20,2020-11-19,60,0.5000103,0.2591599,383.857,county,fb-survey
2012,42011,smoothed_wcli,2020-09-21,2020-11-19,59,0.5611589,0.3200027,342.5212,county,fb-survey
2013,42017,smoothed_wcli,2020-09-21,2020-11-19,59,0.1095177,0.1716934,382.973,county,fb-survey
2014,42029,smoothed_wcli,2020-09-21,2020-11-19,59,0.0,0.1384937,343.3349,county,fb-survey
2015,42041,smoothed_wcli,2020-09-21,2020-11-19,59,1.350592,0.7129236,298.0389,county,fb-survey
2016,42043,smoothed_wcli,2020-09-21,2020-11-19,59,0.4001768,0.3401676,280.6375,county,fb-survey
2017,42045,smoothed_wcli,2020-09-21,2020-11-19,59,0.3468405,0.3781173,268.1986,county,fb-survey
2018,42071,smoothed_wcli,2020-09-21,2020-11-19,59,0.3884725,0.2355548,417.0012,county,fb-survey
2019,42077,smoothed_wcli,2020-09-21,2020-11-19,59,1.0155061,0.8377172,299.0251,county,fb-survey
2020,42091,smoothed_wcli,2020-09-21,2020-11-19,59,0.1171863,0.1287174,494.7508,county,fb-survey
2021,42095,smoothed_wcli,2020-09-21,2020-11-19,59,0.1148871,0.223736,250.616,county,fb-survey
2022,42101,smoothed_wcli,2020-09-21,2020-11-19,59,0.4011549,0.2841703,604.9344,county,fb-survey
2023,42133,smoothed_wcli,2020-09-21,2020-11-19,59,0.5689247,0.2790654,373.9591,county,fb-survey
2024,42011,smoothed_wcli,2020-09-22,2020-11-19,58,0.379029,0.261024,328.3082,county,fb-survey
2025,42017,smoothed_wcli,2020-09-22,2020-11-19,58,0.3481812,0.2948596,387.0348,county,fb-survey
2026,42029,smoothed_wcli,2020-09-22,2020-11-19,58,0.0,0.140285,340.2482,county,fb-survey
2027,42041,smoothed_wcli,2020-09-22,2020-11-19,58,1.289572,0.6548567,296.3206,county,fb-survey
