"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6413515,6317,4969,646,5891,5554,320310,334,1894
"2",6411204,6450,4987,640,5696,5477,322749,324,1836
"3",6408930,6499,5043,638,5575,5401,325115,325,1843
"4",6406671,6518,5091,641,5517,5327,327438,329,1864
"5",6404413,6529,5125,645,5496,5256,329738,332,1882
"6",6402152,6539,5148,649,5495,5189,332031,334,1894
"7",6399885,6550,5165,653,5502,5124,334323,335,1902
"8",6397614,6562,5178,656,5514,5062,336616,337,1909
"9",6395338,6576,5189,658,5526,5002,338912,338,1914
"10",6393057,6588,5202,660,5538,4945,341212,338,1918
"11",6390772,6601,5211,661,5552,4890,343514,339,1923
"12",6388484,6614,5221,663,5563,4838,345819,340,1926
"13",6386191,6626,5232,664,5575,4787,348128,340,1930
"14",6383893,6639,5241,666,5586,4738,350438,341,1934
"15",6381593,6651,5252,667,5596,4691,352752,342,1937
"16",6379288,6662,5262,668,5608,4646,355069,342,1942
"17",6376980,6672,5272,669,5618,4603,357388,343,1944
"18",6374668,6684,5280,671,5629,4561,359709,344,1948
"19",6372352,6695,5288,672,5640,4521,362034,344,1952
"20",6370034,6704,5298,673,5650,4482,364361,345,1954
"21",6367714,6713,5306,675,5660,4445,366690,346,1958
"22",6365389,6723,5313,675,5669,4409,369023,346,1961
"23",6363062,6732,5321,676,5679,4374,371358,347,1964
"24",6360731,6740,5329,677,5687,4341,373695,347,1966
"25",6358398,6749,5337,678,5696,4309,376035,347,1970
"26",6356063,6757,5343,679,5705,4279,378376,348,1973
"27",6353724,6766,5350,680,5712,4249,380720,348,1974
"28",6351384,6772,5357,681,5720,4221,383066,349,1977
"29",6349042,6779,5363,682,5728,4194,385413,349,1980
"30",6346697,6787,5370,683,5735,4168,387763,350,1982
"31",6344350,6793,5376,684,5741,4143,390115,350,1984
"32",6342001,6799,5381,684,5748,4119,392469,350,1987
"33",6339651,6806,5386,685,5754,4095,394825,351,1989
"34",6337299,6810,5391,686,5761,4073,397183,351,1991
"35",6334946,6815,5395,686,5767,4051,399541,351,1993
"36",6332591,6820,5399,687,5773,4031,401902,351,1994
"37",6330235,6824,5404,687,5777,4011,404264,352,1995
"38",6327879,6828,5407,688,5782,3992,406627,352,1997
"39",6325519,6833,5410,688,5786,3973,408992,352,1999
"40",6323161,6834,5414,689,5791,3955,411357,352,2000
"41",6320801,6838,5417,689,5796,3938,413723,353,2001
"42",6318441,6840,5420,690,5799,3922,416090,353,2002
"43",6316080,6842,5422,690,5802,3907,418459,353,2003
"44",6313720,6843,5425,690,5805,3891,420828,353,2004
"45",6311359,6845,5425,691,5809,3876,423197,354,2005
"46",6308997,6846,5426,691,5811,3862,425568,354,2005
"47",6306636,6847,5428,691,5813,3849,427939,354,2006
"48",6304275,6847,5428,691,5815,3836,430310,354,2006
"49",6301914,6847,5429,691,5816,3823,432681,354,2007
"50",6299554,6846,5430,692,5817,3811,435053,354,2007
"51",6297194,6845,5430,691,5818,3799,437424,354,2007
"52",6294835,6843,5430,691,5820,3788,439795,354,2007
"53",6292477,6842,5429,692,5820,3777,442166,354,2007
"54",6290119,6841,5427,692,5820,3766,444538,354,2007
"55",6287761,6840,5425,692,5819,3756,446909,354,2006
"56",6285407,6836,5425,691,5817,3746,449280,353,2006
"57",6283053,6832,5423,691,5817,3737,451649,354,2005
"58",6280700,6829,5421,691,5816,3728,454018,353,2005
"59",6278349,6825,5419,691,5814,3718,456385,353,2004
"60",6276000,6821,5416,690,5813,3710,458752,353,2003
"61",6273651,6817,5414,690,5811,3701,461118,353,2002
"62",6271305,6813,5410,690,5808,3693,463483,353,2001
"63",6268961,6807,5408,689,5805,3685,465847,352,2000
"64",6266620,6801,5404,689,5802,3677,468210,352,1999
"65",6264281,6794,5399,689,5799,3669,470571,352,1998
"66",6261944,6789,5395,688,5795,3661,472931,352,1996
"67",6259610,6782,5390,687,5791,3654,475289,351,1994
"68",6257278,6775,5385,687,5786,3647,477644,351,1992
"69",6254949,6768,5380,686,5781,3640,479997,351,1990
"70",6252624,6760,5375,686,5777,3633,482349,351,1988
"71",6250301,6751,5369,685,5772,3626,484698,350,1987
"72",6247982,6742,5363,684,5766,3619,487045,349,1985
"73",6245665,6734,5357,683,5760,3612,489391,349,1982
"74",6243351,6726,5349,683,5754,3606,491734,349,1981
"75",6241042,6716,5343,682,5746,3600,494074,348,1977
"76",6238736,6706,5337,681,5739,3593,496411,348,1975
"77",6236434,6695,5328,680,5733,3587,498744,348,1973
"78",6234136,6685,5320,679,5726,3581,501075,347,1970
"79",6231841,6675,5312,678,5719,3575,503403,346,1967
"80",6229551,6663,5304,677,5710,3569,505728,346,1963
"81",6227265,6652,5295,676,5702,3563,508049,345,1960
"82",6224984,6639,5286,675,5693,3557,510367,345,1957
"83",6222707,6627,5278,674,5685,3551,512681,344,1954
"84",6220435,6613,5268,673,5676,3545,514992,344,1952
"85",6218168,6600,5258,672,5666,3539,517300,343,1947
"86",6215905,6587,5248,670,5656,3533,519603,342,1944
"87",6213647,6574,5238,669,5646,3527,521902,342,1940
"88",6211394,6560,5227,668,5635,3521,524197,341,1936
"89",6209146,6546,5217,667,5624,3515,526487,340,1932
"90",6206903,6531,5206,665,5613,3509,528774,340,1928
"91",6204666,6516,5195,664,5602,3503,531056,339,1924
"92",6202434,6501,5183,663,5591,3497,533334,338,1921
"93",6200207,6485,5171,661,5580,3490,535607,337,1916
"94",6197987,6470,5159,660,5568,3485,537875,337,1912
"95",6195772,6453,5147,658,5554,3478,540139,336,1907
"96",6193563,6437,5135,657,5542,3472,542396,335,1903
"97",6191359,6422,5122,655,5529,3466,544650,334,1898
"98",6189161,6405,5109,653,5516,3459,546898,333,1893
"99",6186969,6388,5096,652,5503,3453,549140,333,1889
"100",6184784,6370,5084,650,5489,3447,551378,332,1884
"101",6182605,6352,5070,649,5476,3440,553610,331,1879
"102",6180433,6334,5056,647,5462,3433,555837,330,1875
"103",6178267,6316,5042,645,5447,3427,558058,329,1869
"104",6176107,6297,5028,644,5433,3420,560273,328,1864
"105",6173954,6279,5013,642,5419,3413,562482,327,1859
"106",6171807,6260,4999,640,5403,3406,564686,326,1854
"107",6169667,6241,4985,638,5389,3399,566883,326,1848
"108",6167535,6221,4969,636,5373,3392,569075,325,1843
"109",6165409,6202,4954,634,5357,3385,571260,323,1837
"110",6163291,6181,4938,632,5342,3378,573439,322,1832
"111",6161180,6162,4922,630,5325,3371,575612,321,1826
"112",6159076,6141,4906,628,5308,3364,577778,320,1820
"113",6156980,6120,4891,626,5292,3357,579937,319,1813
"114",6154891,6099,4875,624,5275,3349,582089,318,1808
"115",6152809,6077,4858,622,5257,3342,584235,318,1802
"116",6150736,6055,4842,620,5240,3334,586374,316,1796
"117",6148670,6033,4824,618,5223,3327,588507,315,1790
"118",6146611,6011,4807,616,5205,3319,590632,314,1783
"119",6144561,5989,4790,614,5188,3311,592750,313,1777
"120",6142518,5966,4773,612,5169,3303,594861,312,1771
