day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,393424
1,2,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,391116
1,3,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,396504
1,4,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,385893
1,5,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,388994
1,6,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,391767
1,7,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,403196
1,8,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,396666
1,9,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,395273
1,10,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,402812
1,11,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,397138
1,12,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,382940
1,13,6600363,2977,1527,1010,248,3544,6329,0,0,0,0,0,0,712,527,185,51400,625,0,0,0,0,0,0,0,403334
