day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1699603
1,2,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1681480
1,3,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1683275
1,4,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1620803
1,5,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1680861
1,6,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1647522
1,7,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1680247
1,8,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1624126
1,9,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1666814
1,10,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1680870
1,11,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1664398
1,12,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1678890
1,13,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1683814
1,14,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1672907
1,15,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1669686
1,16,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1690442
1,17,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1651771
1,18,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1671994
1,19,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1672337
1,20,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1631267
1,21,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1709972
1,22,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1715551
1,23,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1714814
1,24,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1659202
1,25,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1684840
1,26,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1712790
1,27,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1679972
1,28,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1690452
1,29,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1651989
1,30,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1657145
1,31,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1645383
1,32,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1655753
1,33,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1624336
1,34,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1695502
1,35,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1656553
1,36,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1663875
1,37,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1679557
1,38,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1713003
1,39,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1679897
1,40,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1682366
1,41,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1694688
1,42,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1662462
1,43,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1671578
1,44,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1641213
1,45,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1670621
1,46,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1714027
1,47,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1646884
1,48,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1663316
1,49,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1662018
1,50,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1644053
1,51,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1677312
1,52,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1648913
1,53,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1705911
1,54,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1723078
1,55,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1663914
1,56,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1722560
1,57,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1646236
1,58,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1670909
1,59,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1673141
1,60,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1648545
1,61,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1706809
1,62,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1650581
1,63,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1691842
1,64,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1682295
1,65,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1659583
1,66,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1692280
1,67,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1676883
1,68,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1690759
1,69,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1684864
1,70,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1678292
1,71,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1692051
1,72,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1671674
1,73,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1662495
1,74,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1674162
1,75,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1668048
1,76,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1650126
1,77,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1660321
1,78,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1655315
1,79,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1707458
1,80,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1711768
1,81,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1657830
1,82,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1674071
1,83,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1679768
1,84,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1694344
1,85,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1647392
1,86,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1646113
1,87,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1633633
1,88,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1691114
1,89,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1652739
1,90,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1699469
1,91,6655474,2520,211,807,104,1479,2601,0,0,0,0,0,0,77,56,21,1740,9,0,0,0,0,0,0,1648107
