b1	r1
0.404	0.262
0.41	0.25
0.41	0.25
0.413	0.245
0.409	0.252
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.414	0.24
0.414	0.24
0.414	0.24
0.414	0.24
0.404	0.257
0.409	0.246
0.414	0.243
0.416	0.242
0.412	0.249
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.404	0.253
0.404	0.253
0.404	0.253
0.41	0.249
0.41	0.249
0.41	0.249
0.41	0.249
0.405	0.257
0.405	0.257
0.417	0.243
0.417	0.243
0.417	0.243
0.414	0.247
0.414	0.247
0.414	0.247
0.414	0.247
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.412	0.247
0.412	0.247
0.412	0.247
0.412	0.247
0.41	0.247
0.41	0.247
0.414	0.241
0.419	0.241
0.419	0.241
0.408	0.245
0.405	0.258
0.405	0.258
0.415	0.241
0.415	0.241
0.411	0.248
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.41	0.253
0.411	0.243
0.411	0.243
0.407	0.252
0.407	0.252
0.417	0.242
0.411	0.242
0.411	0.242
0.411	0.242
0.411	0.242
0.406	0.253
0.409	0.249
0.409	0.249
0.409	0.249
0.414	0.24
0.409	0.253
0.416	0.241
0.421	0.239
0.411	0.249
0.411	0.249
0.41	0.251
0.41	0.251
0.405	0.261
0.405	0.261
0.405	0.261
0.405	0.261
0.405	0.261
0.404	0.249
0.414	0.235
0.398	0.264
0.398	0.264
0.4	0.26
0.4	0.26
0.4	0.26
0.412	0.244
0.412	0.244
0.412	0.244
0.409	0.251
0.416	0.238
0.416	0.238
0.412	0.244
0.412	0.244
0.412	0.244
0.414	0.244
0.414	0.244
0.414	0.244
0.414	0.244
0.414	0.244
0.413	0.239
0.403	0.26
0.403	0.26
0.403	0.26
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.409	0.252
0.407	0.256
0.407	0.25
0.404	0.262
0.404	0.262
0.404	0.262
0.404	0.262
0.412	0.246
0.412	0.246
0.412	0.246
0.412	0.246
0.412	0.246
0.412	0.246
0.412	0.246
0.406	0.257
0.404	0.261
0.404	0.261
0.408	0.249
0.408	0.249
0.408	0.249
0.407	0.255
0.419	0.239
0.407	0.254
0.411	0.244
0.405	0.256
0.405	0.256
0.405	0.256
0.405	0.256
0.405	0.256
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.255
0.408	0.252
0.408	0.252
0.408	0.252
0.408	0.252
0.408	0.252
0.408	0.252
0.408	0.252
0.401	0.256
0.405	0.249
0.413	0.239
0.413	0.239
0.403	0.254
0.401	0.267
0.401	0.267
0.41	0.247
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.407	0.248
0.407	0.248
0.418	0.235
0.423	0.228
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.416	0.238
0.411	0.25
0.406	0.256
0.402	0.258
0.402	0.258
0.402	0.258
0.402	0.258
0.402	0.258
0.407	0.251
0.419	0.235
0.4	0.258
0.411	0.242
0.411	0.242
0.414	0.243
0.412	0.247
0.412	0.247
0.412	0.247
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.416	0.237
0.41	0.246
0.407	0.249
0.406	0.252
0.406	0.252
0.403	0.257
0.404	0.257
0.41	0.247
0.41	0.247
0.41	0.247
0.41	0.247
0.41	0.247
0.41	0.247
0.41	0.247
0.416	0.237
0.416	0.237
0.416	0.237
0.411	0.253
0.411	0.253
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.417	0.235
0.415	0.245
0.415	0.245
0.406	0.252
0.406	0.252
0.406	0.252
0.414	0.246
0.405	0.259
0.405	0.259
0.412	0.237
0.412	0.237
0.412	0.237
0.412	0.237
0.406	0.253
0.406	0.253
0.406	0.253
0.406	0.253
0.403	0.254
0.414	0.244
0.414	0.244
0.414	0.244
0.417	0.236
0.407	0.253
0.405	0.254
0.405	0.254
0.41	0.252
0.42	0.237
0.42	0.237
0.42	0.237
0.42	0.237
0.42	0.237
0.42	0.237
0.403	0.269
0.403	0.269
0.403	0.269
0.41	0.242
0.41	0.242
0.41	0.242
0.41	0.242
0.403	0.257
0.403	0.257
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.414	0.238
0.417	0.242
0.417	0.242
0.413	0.245
0.413	0.245
0.406	0.258
0.406	0.258
0.406	0.258
0.406	0.258
0.405	0.264
0.412	0.247
0.412	0.247
0.412	0.247
0.412	0.247
0.412	0.247
0.407	0.256
0.401	0.259
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.416	0.24
0.416	0.24
0.416	0.24
0.416	0.24
0.416	0.24
0.416	0.24
0.401	0.269
0.401	0.269
0.401	0.269
0.401	0.269
0.401	0.269
0.401	0.269
0.416	0.242
0.416	0.242
0.416	0.242
0.407	0.25
0.421	0.234
0.421	0.234
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
0.418	0.236
