b1	r1
0.417	0.243
0.423	0.237
0.419	0.232
0.419	0.232
0.419	0.232
0.419	0.232
0.419	0.232
0.417	0.231
0.417	0.231
0.417	0.231
0.417	0.231
0.421	0.236
0.421	0.236
0.424	0.224
0.416	0.241
0.417	0.243
0.417	0.243
0.42	0.235
0.42	0.235
0.42	0.235
0.418	0.232
0.418	0.232
0.418	0.232
0.418	0.232
0.419	0.238
0.419	0.238
0.419	0.238
0.42	0.238
0.42	0.238
0.424	0.229
0.424	0.229
0.424	0.229
0.424	0.229
0.424	0.229
0.424	0.229
0.424	0.229
0.424	0.229
0.424	0.229
0.42	0.233
0.42	0.233
0.42	0.233
0.42	0.233
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.244
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.415	0.243
0.416	0.239
0.416	0.239
0.418	0.232
0.418	0.232
0.418	0.232
0.418	0.232
0.418	0.232
0.418	0.232
0.418	0.232
0.417	0.235
0.417	0.235
0.417	0.235
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.234
0.414	0.24
0.414	0.24
0.417	0.233
0.417	0.233
0.417	0.233
0.418	0.238
0.418	0.238
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.239
0.419	0.24
0.419	0.24
0.419	0.231
0.419	0.231
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.414	0.242
0.425	0.227
0.425	0.227
0.425	0.227
0.414	0.237
0.424	0.227
0.424	0.227
0.424	0.227
0.423	0.23
0.423	0.23
0.421	0.23
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.418	0.241
0.417	0.237
0.414	0.241
0.414	0.241
0.414	0.241
0.414	0.241
0.417	0.24
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.233
0.421	0.233
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.419	0.236
0.419	0.236
0.419	0.236
0.416	0.238
0.414	0.242
0.414	0.242
0.414	0.239
0.414	0.239
0.414	0.239
0.414	0.239
0.424	0.233
0.424	0.233
0.418	0.24
0.421	0.238
0.421	0.238
0.417	0.237
0.422	0.232
0.416	0.239
0.416	0.239
0.416	0.239
0.423	0.23
0.423	0.23
0.416	0.234
0.416	0.234
0.416	0.234
0.416	0.234
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.418	0.239
0.416	0.237
0.416	0.237
0.416	0.237
0.419	0.244
0.416	0.241
0.416	0.241
0.416	0.241
0.416	0.238
0.416	0.238
0.416	0.238
0.418	0.231
0.418	0.231
0.417	0.236
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.24
