,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,06001,smoothed_wcli,2020-04-06,2020-09-03,150,0.0,0.3588751,132.079,county,fb-survey
1,06013,smoothed_wcli,2020-04-06,2020-09-03,150,0.7848876,0.8732545,102.9102,county,fb-survey
2,06085,smoothed_wcli,2020-04-06,2020-09-03,150,0.2969428,0.4194517,149.1273,county,fb-survey
3,06001,smoothed_wcli,2020-04-07,2020-09-03,149,0.6273233,0.3377076,416.0963,county,fb-survey
4,06013,smoothed_wcli,2020-04-07,2020-09-03,149,0.6037226,0.3573632,317.9007,county,fb-survey
5,06075,smoothed_wcli,2020-04-07,2020-09-03,149,0.7566057,0.5066702,218.0,county,fb-survey
6,06081,smoothed_wcli,2020-04-07,2020-09-03,149,0.8522533,0.6539759,186.6994,county,fb-survey
7,06085,smoothed_wcli,2020-04-07,2020-09-03,149,0.1802081,0.2029536,500.5917,county,fb-survey
8,06001,smoothed_wcli,2020-04-08,2020-09-03,148,0.5165402,0.2493237,671.8881,county,fb-survey
9,06013,smoothed_wcli,2020-04-08,2020-09-03,148,0.5109601,0.2491414,507.0779,county,fb-survey
10,06075,smoothed_wcli,2020-04-08,2020-09-03,148,1.327816,0.5918828,365.0,county,fb-survey
11,06081,smoothed_wcli,2020-04-08,2020-09-03,148,0.4843508,0.3883383,301.1604,county,fb-survey
12,06085,smoothed_wcli,2020-04-08,2020-09-03,148,0.285582,0.1686539,815.3782,county,fb-survey
13,06001,smoothed_wcli,2020-04-09,2020-09-03,147,0.4467602,0.2020908,852.641,county,fb-survey
14,06013,smoothed_wcli,2020-04-09,2020-09-03,147,0.3985001,0.1959588,657.3795,county,fb-survey
15,06041,smoothed_wcli,2020-04-09,2020-09-03,147,0.3289026,0.4790546,119.4692,county,fb-survey
16,06075,smoothed_wcli,2020-04-09,2020-09-03,147,1.4517166,0.6128383,465.0,county,fb-survey
17,06081,smoothed_wcli,2020-04-09,2020-09-03,147,0.3331335,0.2927878,382.7016,county,fb-survey
18,06085,smoothed_wcli,2020-04-09,2020-09-03,147,0.3549714,0.1509626,1017.3241,county,fb-survey
19,06001,smoothed_wcli,2020-04-10,2020-09-03,146,0.6702405,0.2973423,958.6929,county,fb-survey
20,06013,smoothed_wcli,2020-04-10,2020-09-03,146,0.3150523,0.164884,735.3521,county,fb-survey
21,06041,smoothed_wcli,2020-04-10,2020-09-03,146,0.2947821,0.4307125,134.4896,county,fb-survey
22,06075,smoothed_wcli,2020-04-10,2020-09-03,146,1.0823852,0.4429659,508.0,county,fb-survey
23,06081,smoothed_wcli,2020-04-10,2020-09-03,146,0.4073637,0.2763961,435.3208,county,fb-survey
24,06085,smoothed_wcli,2020-04-10,2020-09-03,146,0.3731821,0.1520313,1125.6039,county,fb-survey
25,06001,smoothed_wcli,2020-04-11,2020-09-03,145,0.6269598,0.2328745,983.2538,county,fb-survey
26,06013,smoothed_wcli,2020-04-11,2020-09-03,145,0.405823,0.1819263,760.8015,county,fb-survey
27,06041,smoothed_wcli,2020-04-11,2020-09-03,145,0.2922625,0.4211368,139.4896,county,fb-survey
28,06075,smoothed_wcli,2020-04-11,2020-09-03,145,1.0005402,0.4155094,519.0,county,fb-survey
29,06081,smoothed_wcli,2020-04-11,2020-09-03,145,0.4076809,0.2781849,445.3208,county,fb-survey
30,06085,smoothed_wcli,2020-04-11,2020-09-03,145,0.3484563,0.1427279,1160.6077,county,fb-survey
31,06001,smoothed_wcli,2020-04-12,2020-09-03,144,0.5936456,0.2185649,998.2526,county,fb-survey
32,06013,smoothed_wcli,2020-04-12,2020-09-03,144,0.3959353,0.1811947,762.8027,county,fb-survey
33,06041,smoothed_wcli,2020-04-12,2020-09-03,144,0.2891832,0.4181677,140.4896,county,fb-survey
34,06075,smoothed_wcli,2020-04-12,2020-09-03,144,0.942968,0.3868692,529.0,county,fb-survey
35,06081,smoothed_wcli,2020-04-12,2020-09-03,144,0.4264307,0.2916472,449.305,county,fb-survey
36,06085,smoothed_wcli,2020-04-12,2020-09-03,144,0.4014962,0.1451439,1167.6235,county,fb-survey
37,06001,smoothed_wcli,2020-04-13,2020-09-03,143,0.6853745,0.2363881,981.256,county,fb-survey
38,06013,smoothed_wcli,2020-04-13,2020-09-03,143,0.3230993,0.1648078,763.8387,county,fb-survey
39,06041,smoothed_wcli,2020-04-13,2020-09-03,143,0.2906971,0.4191228,134.612,county,fb-survey
40,06075,smoothed_wcli,2020-04-13,2020-09-03,143,0.667581,0.3518737,530.0,county,fb-survey
41,06081,smoothed_wcli,2020-04-13,2020-09-03,143,0.3952125,0.2705566,483.1784,county,fb-survey
42,06085,smoothed_wcli,2020-04-13,2020-09-03,143,0.4169203,0.1499069,1173.3004,county,fb-survey
43,06001,smoothed_wcli,2020-04-14,2020-09-03,142,0.425134,0.19995,990.4991,county,fb-survey
44,06013,smoothed_wcli,2020-04-14,2020-09-03,142,0.2485134,0.1509917,907.7446,county,fb-survey
45,06041,smoothed_wcli,2020-04-14,2020-09-03,142,0.2440431,0.3563634,153.816,county,fb-survey
46,06075,smoothed_wcli,2020-04-14,2020-09-03,142,0.8089842,0.3660222,569.0,county,fb-survey
47,06081,smoothed_wcli,2020-04-14,2020-09-03,142,0.207485,0.1493251,647.497,county,fb-survey
48,06085,smoothed_wcli,2020-04-14,2020-09-03,142,0.4312548,0.1440311,1192.036,county,fb-survey
49,06001,smoothed_wcli,2020-04-15,2020-09-03,141,0.5556854,0.2290156,927.8504,county,fb-survey
50,06013,smoothed_wcli,2020-04-15,2020-09-03,141,0.1366256,0.1257237,974.5007,county,fb-survey
51,06041,smoothed_wcli,2020-04-15,2020-09-03,141,0.0761697,0.2845034,142.8568,county,fb-survey
