"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6611422,2446,1810,265,1932,1126,43455,143,649
"2",6610463,2561,1866,272,1912,1133,44249,142,645
"3",6609495,2647,1938,279,1917,1140,45040,146,665
"4",6608505,2723,2008,288,1947,1149,45835,152,691
"5",6607490,2800,2074,298,1992,1159,46644,157,716
"6",6606445,2879,2138,308,2044,1170,47473,162,739
"7",6605370,2962,2201,318,2101,1182,48323,168,762
"8",6604263,3047,2265,328,2161,1195,49196,172,785
"9",6603125,3135,2331,338,2223,1210,50094,178,807
"10",6601954,3225,2398,347,2287,1226,51018,183,831
"11",6600748,3318,2468,358,2354,1243,51967,188,855
"12",6599508,3414,2539,368,2421,1261,52944,193,880
"13",6598233,3512,2612,379,2491,1280,53948,199,905
"14",6596922,3613,2688,390,2563,1301,54980,205,930
"15",6595572,3717,2765,401,2637,1322,56041,210,959
"16",6594185,3823,2844,412,2714,1345,57133,216,986
"17",6592757,3933,2926,424,2791,1369,58256,223,1013
"18",6591289,4044,3010,436,2871,1394,59411,229,1043
"19",6589779,4160,3096,449,2954,1420,60598,236,1073
"20",6588225,4279,3185,462,3039,1448,61819,242,1104
"21",6586628,4400,3275,475,3127,1477,63074,249,1136
"22",6584986,4525,3368,489,3216,1507,64365,257,1167
"23",6583297,4654,3464,502,3307,1538,65693,264,1200
"24",6581560,4786,3562,517,3401,1571,67058,272,1235
"25",6579775,4921,3664,532,3498,1605,68462,279,1269
"26",6577939,5060,3768,547,3597,1640,69905,287,1306
"27",6576051,5203,3874,562,3700,1676,71389,295,1343
"28",6574111,5349,3984,578,3805,1714,72914,304,1381
"29",6572117,5499,4096,595,3913,1753,74483,312,1420
"30",6570066,5653,4211,611,4024,1794,76096,321,1460
"31",6567958,5812,4330,629,4137,1836,77754,330,1501
"32",6565791,5975,4452,646,4254,1880,79458,339,1543
"33",6563565,6141,4576,665,4374,1925,81210,349,1587
"34",6561276,6313,4704,684,4497,1972,83012,359,1631
