"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3683653,19365,16373,1053,16881,2261,117897,538,6297
"2",3678307,18034,15931,1075,17618,2361,124157,560,6558
"3",3672920,17203,15223,1071,17923,2461,130682,546,6381
"4",3667602,16589,14536,1044,17842,2558,137313,521,6098
"5",3662415,16056,13935,1008,17513,2646,143910,498,5823
"6",3657387,15548,13412,970,17055,2726,150385,477,5582
"7",3652523,15050,12943,933,16545,2797,156692,459,5372
"8",3647825,14559,12505,899,16025,2859,162812,443,5185
"9",3643285,14078,12088,867,15507,2913,168744,428,5009
"10",3638900,13609,11688,838,15001,2961,174488,414,4841
"11",3634663,13153,11298,810,14509,3002,180048,400,4681
"12",3630572,12709,10922,782,14030,3037,185431,387,4525
"13",3626622,12277,10555,756,13567,3066,190640,374,4375
"14",3622807,11860,10199,731,13117,3090,195681,361,4228
"15",3619123,11454,9855,706,12679,3109,200558,349,4084
"16",3615566,11061,9520,682,12253,3122,205278,337,3947
"17",3612133,10679,9197,659,11840,3132,209842,326,3812
"18",3608819,10311,8880,637,11442,3138,214256,315,3684
"19",3605621,9954,8575,615,11053,3139,218526,304,3556
"20",3602535,9608,8279,594,10676,3137,222654,294,3434
"21",3599556,9273,7993,574,10312,3132,226644,284,3316
"22",3596682,8950,7715,554,9958,3123,230501,274,3202
"23",3593910,8636,7447,535,9614,3111,234230,264,3090
"24",3591235,8333,7187,517,9282,3097,237833,255,2983
"25",3588656,8039,6935,498,8960,3080,241315,246,2878
"26",3586169,7754,6691,481,8648,3060,244680,237,2778
"27",3583770,7479,6455,464,8346,3039,247930,229,2680
"28",3581456,7214,6229,448,8053,3014,251069,221,2585
"29",3579225,6957,6008,432,7771,2988,254101,213,2495
"30",3577074,6710,5795,416,7497,2961,257029,206,2406
"31",3575001,6470,5589,402,7234,2932,259856,198,2321
"32",3573002,6238,5391,387,6977,2901,262588,191,2238
"33",3571075,6013,5198,374,6730,2869,265224,185,2159
"34",3569216,5798,5012,361,6491,2835,267769,178,2082
"35",3567425,5590,4832,348,6260,2801,270227,172,2007
"36",3565699,5388,4659,335,6036,2766,272599,165,1935
"37",3564035,5194,4492,324,5821,2729,274888,160,1866
"38",3562432,5006,4331,312,5612,2692,277098,154,1799
"39",3560887,4825,4174,301,5412,2654,279230,148,1735
"40",3559398,4650,4023,290,5217,2616,281289,143,1671
"41",3557963,4481,3878,279,5030,2577,283275,138,1611
"42",3556581,4319,3737,269,4849,2538,285191,133,1553
"43",3555249,4161,3601,259,4674,2498,287041,128,1497
"44",3553966,4010,3470,250,4505,2458,288825,123,1443
"45",3552729,3863,3344,241,4341,2417,290546,119,1390
"46",3551538,3721,3223,233,4184,2377,292207,115,1340
"47",3550392,3585,3105,224,4032,2337,293809,110,1290
"48",3549286,3454,2991,216,3885,2296,295355,106,1244
"49",3548222,3328,2882,208,3743,2255,296845,102,1198
"50",3547197,3205,2776,200,3607,2215,298283,99,1154
"51",3546209,3087,2675,193,3475,2175,299670,95,1112
"52",3545257,2974,2577,186,3348,2134,301007,92,1071
"53",3544341,2865,2482,179,3226,2094,302296,88,1032
"54",3543459,2759,2391,173,3107,2054,303540,85,994
"55",3542610,2658,2303,166,2993,2014,304739,82,957
"56",3541791,2560,2218,160,2883,1975,305896,79,922
"57",3541003,2465,2136,154,2777,1936,307012,76,889
"58",3540244,2374,2057,148,2676,1897,308087,73,856
"59",3539513,2286,1981,143,2577,1859,309124,70,825
"60",3538809,2202,1908,138,2482,1820,310124,68,794
"61",3538132,2120,1837,133,2390,1783,311088,65,764
"62",3537480,2041,1770,128,2302,1746,312017,63,736
"63",3536852,1966,1704,123,2217,1709,312914,61,709
"64",3536247,1893,1641,118,2135,1672,313777,58,683
"65",3535664,1822,1580,114,2056,1636,314610,56,657
"66",3535104,1754,1522,110,1980,1601,315413,54,633
"67",3534564,1690,1465,106,1907,1565,316187,52,610
"68",3534044,1627,1410,102,1836,1531,316933,50,587
"69",3533544,1566,1358,98,1768,1497,317653,48,565
"70",3533062,1508,1307,94,1702,1463,318346,46,544
"71",3532598,1451,1259,91,1639,1430,319014,45,524
"72",3532152,1397,1212,88,1578,1398,319659,43,505
"73",3531722,1345,1167,84,1519,1366,320279,42,485
"74",3531309,1295,1123,81,1463,1334,320878,40,468
"75",3530910,1247,1081,78,1408,1303,321455,38,450
"76",3530527,1200,1041,75,1356,1273,322011,37,433
"77",3530158,1156,1002,72,1305,1243,322547,36,417
"78",3529802,1112,965,70,1257,1214,323063,34,401
"79",3529460,1071,929,67,1209,1185,323561,33,386
"80",3529131,1031,894,65,1164,1157,324041,32,372
"81",3528814,992,861,62,1121,1129,324503,31,358
"82",3528509,955,829,60,1079,1102,324949,29,345
"83",3528215,920,798,58,1039,1075,325378,28,332
"84",3527933,885,768,55,1000,1049,325793,27,319
"85",3527660,852,739,53,963,1023,326192,26,308
"86",3527398,820,712,51,927,998,326576,25,296
"87",3527146,790,685,50,892,973,326947,24,285
"88",3526904,760,660,48,859,949,327304,23,275
"89",3526670,732,635,46,827,925,327648,23,264
"90",3526445,704,611,44,796,902,327980,22,254
"91",3526229,678,588,42,767,879,328300,21,245
"92",3526020,652,566,41,738,857,328609,20,236
"93",3525820,628,545,39,710,835,328906,19,227
"94",3525627,604,524,38,684,814,329192,19,218
"95",3525441,582,505,36,658,793,329468,18,210
"96",3525262,560,486,35,633,772,329734,17,202
"97",3525090,539,468,34,610,753,329990,17,195
"98",3524924,519,450,33,587,733,330237,16,188
"99",3524765,499,433,31,565,714,330475,15,180
"100",3524611,481,417,30,544,696,330704,15,174
"101",3524463,463,401,29,523,677,330926,14,167
"102",3524321,445,387,28,504,660,331139,14,161
"103",3524184,429,372,27,485,642,331344,13,155
"104",3524052,413,358,26,467,625,331542,13,149
"105",3523926,397,345,25,449,609,331733,12,143
"106",3523804,382,332,24,432,593,331916,12,138
"107",3523686,368,319,23,416,577,332093,11,133
"108",3523573,354,307,22,401,562,332264,11,128
"109",3523464,341,296,21,385,547,332429,11,123
"110",3523359,328,285,21,371,532,332587,10,119
"111",3523259,316,274,20,357,518,332740,10,114
"112",3523162,304,264,19,344,504,332887,9,110
"113",3523068,292,254,18,331,490,333029,9,106
"114",3522979,281,244,18,318,477,333166,9,102
"115",3522892,271,235,17,306,464,333298,8,98
"116",3522809,261,226,16,295,451,333425,8,94
"117",3522729,251,218,16,284,439,333547,8,91
"118",3522652,241,210,15,273,427,333665,7,87
"119",3522578,232,202,15,263,415,333779,7,84
"120",3522507,223,194,14,253,404,333888,7,81
