"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3570063,7026,5198,422,6682,2869,265223,233,2110
"2",3567223,7443,5361,432,6413,2844,267769,225,2035
"3",3564404,7695,5597,443,6300,2821,270225,232,2099
"4",3561556,7889,5818,458,6318,2801,272644,242,2191
"5",3558650,8075,6009,476,6417,2784,275074,252,2277
"6",3555674,8267,6180,493,6556,2770,277543,260,2352
"7",3552624,8466,6344,508,6715,2760,280066,267,2420
"8",3549497,8673,6505,523,6883,2753,282649,275,2484
"9",3546295,8885,6668,537,7057,2748,285295,282,2547
"10",3543014,9101,6833,551,7234,2746,288005,288,2610
"11",3539655,9322,7001,565,7414,2747,290781,296,2675
"12",3536214,9548,7171,579,7599,2749,293624,303,2741
"13",3532694,9776,7345,593,7786,2754,296535,310,2808
"14",3529091,10008,7522,608,7976,2761,299517,318,2876
"15",3525404,10245,7702,623,8172,2771,302569,326,2946
"16",3521630,10486,7885,637,8369,2782,305694,333,3015
"17",3517771,10729,8074,653,8569,2796,308893,341,3086
"18",3513824,10977,8263,668,8775,2811,312166,349,3161
"19",3509789,11228,8455,684,8984,2829,315516,358,3235
"20",3505662,11482,8650,700,9196,2849,318944,366,3310
"21",3501445,11740,8848,717,9412,2871,322452,375,3387
"22",3497134,12004,9048,733,9630,2894,326040,383,3464
"23",3492731,12268,9254,750,9852,2920,329709,392,3542
"24",3488231,12537,9462,767,10078,2948,333462,400,3623
"25",3483635,12809,9671,784,10308,2977,337300,409,3705
"26",3478942,13085,9883,801,10540,3009,341224,419,3786
"27",3474151,13364,10099,820,10774,3042,345234,428,3869
"28",3469262,13645,10316,838,11013,3078,349333,437,3954
"29",3464272,13929,10536,855,11255,3115,353522,446,4039
"30",3459182,14215,10759,874,11499,3154,357801,456,4125
"31",3453991,14505,10983,892,11747,3194,362172,465,4212
"32",3448698,14796,11210,911,11996,3236,366637,475,4300
"33",3443301,15091,11438,930,12248,3280,371196,485,4389
"34",3437802,15386,11668,950,12502,3326,375850,495,4478
"35",3432200,15683,11901,969,12759,3373,380600,505,4568
"36",3426493,15983,12134,988,13018,3422,385445,515,4659
"37",3420681,16284,12370,1008,13279,3473,390389,525,4750
"38",3414766,16584,12606,1028,13543,3525,395431,535,4843
"39",3408744,16887,12843,1048,13809,3579,400573,546,4936
"40",3402617,17191,13082,1068,14076,3634,405815,556,5028
"41",3396386,17494,13323,1087,14344,3692,411159,566,5122
"42",3390049,17798,13563,1108,14613,3750,416603,576,5216
"43",3383607,18103,13803,1128,14885,3809,422149,587,5311
"44",3377061,18406,14043,1149,15157,3870,427798,598,5404
"45",3370411,18710,14284,1168,15429,3933,433549,608,5498
"46",3363658,19012,14524,1189,15701,3997,439403,618,5593
"47",3356802,19313,14765,1209,15972,4062,445361,628,5686
"48",3349843,19611,15006,1230,16244,4128,451422,639,5780
"49",3342783,19908,15244,1250,16518,4196,457585,649,5875
"50",3335623,20205,15481,1270,16790,4264,463852,660,5968
"51",3328364,20496,15717,1290,17062,4333,470221,670,6061
"52",3321005,20787,15951,1310,17331,4404,476694,680,6154
"53",3313551,21074,16183,1330,17600,4476,483269,690,6245
"54",3306002,21357,16414,1350,17867,4548,489947,700,6336
"55",3298358,21637,16641,1370,18132,4621,496725,711,6426
"56",3290624,21910,16866,1390,18395,4695,503604,720,6516
"57",3282798,22181,17088,1409,18656,4770,510582,730,6604
"58",3274885,22445,17306,1427,18915,4846,517660,739,6692
"59",3266884,22705,17523,1446,19167,4922,524837,749,6775
