"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3832774,9870,7969,554,4960,87,1266,374,2795
"2",3829609,9631,7907,679,6306,177,3170,409,3056
"3",3826105,9815,7789,738,7163,284,5585,406,3032
"4",3822411,10124,7788,760,7680,398,8319,400,2986
"5",3818595,10449,7892,770,8018,511,11243,399,2987
"6",3814680,10761,8065,781,8279,622,14291,405,3027
"7",3810666,11065,8268,796,8517,732,17436,414,3092
"8",3806550,11366,8489,813,8751,840,20671,424,3171
"9",3802329,11667,8717,833,8989,947,23997,435,3255
"10",3797999,11974,8950,854,9232,1055,27415,447,3343
"11",3793558,12286,9187,876,9482,1162,30928,459,3433
"12",3789004,12603,9430,899,9734,1269,34539,471,3523
"13",3784335,12926,9677,923,9994,1377,38248,484,3616
"14",3779549,13255,9927,947,10259,1485,42058,496,3711
"15",3774644,13589,10181,972,10528,1593,45972,509,3807
"16",3769618,13929,10440,997,10803,1702,49990,522,3905
"17",3764469,14276,10703,1022,11081,1811,54116,536,4003
"18",3759197,14625,10973,1048,11364,1921,58351,549,4105
"19",3753797,14982,11245,1074,11653,2032,62695,562,4208
"20",3748270,15343,11524,1101,11947,2143,67151,577,4312
"21",3742611,15711,11804,1129,12247,2255,71722,591,4420
"22",3736821,16083,12089,1156,12552,2368,76410,605,4528
"23",3730900,16459,12378,1184,12860,2482,81216,620,4636
"24",3724844,16838,12673,1213,13173,2596,86141,634,4747
"25",3718653,17222,12971,1242,13491,2712,91188,649,4860
"26",3712325,17611,13271,1272,13813,2828,96359,665,4974
"27",3705857,18006,13574,1301,14140,2946,101654,680,5090
"28",3699251,18403,13882,1331,14469,3065,107079,696,5206
"29",3692506,18803,14192,1362,14803,3184,112629,711,5323
"30",3685618,19206,14506,1393,15141,3305,118309,728,5442
"31",3678589,19612,14824,1424,15482,3427,124121,743,5563
"32",3671419,20018,15142,1456,15828,3550,130066,760,5685
"33",3664105,20428,15462,1487,16179,3674,136143,776,5808
"34",3656647,20842,15785,1519,16529,3799,142359,792,5930
"35",3649045,21257,16109,1551,16883,3926,148709,809,6054
"36",3641301,21670,16436,1583,17239,4054,155196,825,6178
"37",3633414,22084,16762,1616,17599,4182,161822,842,6304
"38",3625383,22500,17090,1648,17960,4312,168586,859,6429
"39",3617209,22916,17418,1680,18321,4443,175491,875,6554
"40",3608894,23329,17746,1714,18685,4575,182536,893,6681
"41",3600434,23744,18075,1746,19049,4708,189723,909,6807
"42",3591837,24155,18403,1779,19413,4842,197050,926,6932
"43",3583098,24565,18731,1812,19776,4977,204520,943,7057
"44",3574223,24970,19057,1845,20141,5113,212130,960,7185
"45",3565210,25372,19381,1878,20507,5250,219881,976,7311
"46",3556062,25770,19703,1910,20870,5388,227775,993,7435
"47",3546779,26167,20022,1943,21232,5527,235810,1010,7558
"48",3537367,26555,20340,1974,21589,5667,243986,1025,7680
"49",3527823,26942,20654,2006,21947,5807,252300,1041,7802
"50",3518154,27320,20965,2038,22301,5948,260752,1058,7922
"51",3508362,27692,21271,2070,22653,6089,269343,1074,8040
"52",3498447,28058,21570,2101,23001,6231,278071,1090,8160
"53",3488414,28416,21865,2131,23345,6373,286935,1105,8275
"54",3478268,28764,22158,2161,23681,6516,295932,1120,8386
"55",3468010,29103,22442,2191,24014,6658,305060,1135,8498
"56",3457647,29432,22720,2220,24341,6801,314319,1150,8608
"57",3447177,29753,22989,2248,24662,6945,323705,1164,8715
"58",3436609,30061,23253,2275,24977,7088,333216,1178,8818
"59",3425946,30359,23509,2303,25282,7231,342850,1191,8919
"60",3415191,30645,23756,2328,25582,7373,352604,1204,9018
"61",3404350,30919,23995,2354,25873,7516,362473,1216,9112
"62",3393428,31180,24223,2379,26156,7657,372456,1229,9204
"63",3382430,31426,24443,2403,26429,7799,382551,1241,9292
"64",3371360,31660,24651,2426,26692,7939,392752,1252,9376
"65",3360224,31881,24848,2448,26943,8078,403057,1263,9455
"66",3349027,32085,25037,2468,27184,8217,413461,1272,9532
"67",3337777,32270,25216,2489,27412,8355,423960,1283,9603
"68",3326478,32441,25381,2507,27633,8491,434548,1292,9672
"69",3315133,32600,25531,2524,27840,8627,445225,1300,9736
"70",3303752,32740,25671,2541,28033,8760,455983,1308,9793
"71",3292338,32864,25799,2556,28212,8891,466818,1315,9847
"72",3280899,32969,25916,2570,28378,9021,477725,1321,9895
"73",3269440,33058,26018,2583,28532,9149,488698,1327,9941
"74",3257967,33131,26106,2594,28672,9274,499734,1333,9980
"75",3246486,33188,26180,2604,28798,9398,510824,1337,10013
"76",3235006,33223,26242,2613,28909,9518,521967,1341,10041
"77",3223531,33241,26290,2621,29008,9636,533152,1344,10066
"78",3212066,33245,26321,2626,29089,9752,544380,1346,10084
"79",3200618,33230,26340,2631,29154,9865,555642,1348,10096
"80",3189192,33196,26347,2634,29205,9973,566931,1349,10104
"81",3177796,33145,26338,2635,29242,10080,578242,1349,10107
"82",3166434,33077,26316,2636,29262,10184,589570,1349,10103
"83",3155116,32989,26280,2636,29265,10284,600909,1348,10094
"84",3143843,32887,26230,2634,29252,10381,612252,1346,10079
"85",3132624,32767,26165,2629,29226,10474,623594,1343,10061
"86",3121464,32628,26088,2624,29184,10563,634927,1340,10036
"87",3110366,32476,25996,2618,29126,10649,646249,1336,10006
"88",3099340,32303,25892,2610,29054,10730,657550,1331,9971
"89",3088386,32118,25774,2601,28967,10807,668825,1326,9931
"90",3077513,31914,25645,2591,28864,10881,680072,1320,9886
"91",3066722,31701,25500,2580,28745,10950,691281,1314,9835
"92",3056021,31470,25345,2566,28613,11015,702448,1306,9781
"93",3045417,31222,25178,2553,28468,11075,713567,1299,9722
"94",3034910,30963,24997,2537,28307,11131,724635,1290,9657
"95",3024505,30691,24806,2520,28134,11182,735642,1280,9588
"96",3014207,30405,24602,2502,27948,11230,746585,1271,9516
"97",3004018,30110,24390,2482,27747,11272,757459,1260,9436
"98",2993944,29801,24170,2461,27534,11310,768259,1249,9355
"99",2983988,29481,23939,2440,27309,11343,778980,1238,9270
"100",2974151,29152,23697,2418,27074,11372,789616,1227,9181
"101",2964438,28811,23446,2396,26826,11395,800166,1214,9089
"102",2954854,28461,23187,2372,26567,11415,810624,1202,8993
"103",2945397,28104,22919,2347,26299,11430,820984,1188,8894
"104",2936072,27738,22645,2321,26020,11440,831244,1174,8790
"105",2926881,27365,22363,2294,25732,11445,841398,1160,8685
"106",2917827,26983,22076,2267,25437,11446,851443,1146,8577
"107",2908908,26597,21781,2239,25134,11443,861377,1132,8467
"108",2900128,26207,21481,2210,24821,11434,871198,1116,8354
"109",2891491,25808,21179,2180,24500,11421,880901,1101,8238
"110",2882994,25405,20870,2151,24174,11403,890482,1086,8123
"111",2874639,24998,20557,2121,23842,11382,899939,1070,8004
"112",2866429,24589,20240,2090,23504,11356,909271,1053,7884
"113",2858362,24178,19918,2058,23161,11326,918476,1037,7763
"114",2850440,23763,19595,2027,22813,11291,927551,1021,7639
"115",2842661,23348,19269,1994,22463,11252,936492,1004,7515
"116",2835030,22928,18941,1962,22109,11210,945299,988,7391
