"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3847593,3953,3178,543,1619,87,506,364,900
"2",3846309,3874,3159,663,2045,175,1255,398,984
"3",3844887,3960,3121,719,2318,280,2194,395,978
"4",3843390,4091,3130,741,2486,390,3251,390,967
"5",3841846,4224,3180,754,2598,500,4377,392,969
"6",3840262,4352,3254,766,2687,609,5549,398,985
"7",3838637,4476,3340,781,2768,717,6760,407,1008
"8",3836970,4600,3431,799,2848,823,8007,418,1034
"9",3835258,4725,3526,819,2929,929,9292,429,1063
"10",3833499,4855,3623,841,3011,1034,10616,441,1092
"11",3831694,4986,3721,864,3095,1140,11979,453,1122
"12",3829840,5121,3822,888,3180,1246,13382,466,1152
"13",3827936,5259,3926,911,3268,1352,14826,478,1184
"14",3825981,5401,4032,936,3357,1459,16312,491,1216
"15",3823974,5546,4141,962,3449,1567,17841,504,1249
"16",3821913,5694,4254,988,3541,1675,19414,518,1282
"17",3819798,5846,4368,1014,3638,1784,21031,532,1318
"18",3817626,6002,4484,1042,3736,1894,22695,547,1353
"19",3815398,6161,4604,1070,3837,2004,24406,561,1389
"20",3813110,6324,4727,1098,3940,2116,26164,576,1426
"21",3810764,6489,4853,1127,4045,2228,27973,591,1464
"22",3808355,6660,4981,1157,4153,2342,29830,607,1503
"23",3805885,6834,5111,1188,4264,2457,31739,623,1543
"24",3803351,7012,5245,1219,4378,2573,33701,639,1584
"25",3800752,7193,5383,1251,4493,2690,35718,656,1625
"26",3798086,7378,5523,1284,4611,2809,37788,673,1667
"27",3795353,7567,5665,1318,4732,2929,39914,690,1711
"28",3792550,7761,5812,1352,4855,3051,42098,708,1755
"29",3789677,7957,5961,1387,4981,3175,44340,726,1801
"30",3786732,8158,6113,1423,5111,3300,46642,745,1847
"31",3783714,8363,6269,1459,5242,3427,49005,764,1894
"32",3780621,8573,6427,1496,5376,3556,51430,783,1942
"33",3777451,8787,6589,1534,5514,3687,53918,803,1991
"34",3774203,9005,6754,1573,5654,3820,56471,823,2042
"35",3770877,9226,6923,1612,5797,3955,59090,844,2093
"36",3767471,9451,7094,1653,5942,4092,61777,865,2145
"37",3763982,9680,7269,1694,6091,4231,64532,887,2198
"38",3760411,9913,7448,1736,6242,4372,67358,908,2251
"39",3756755,10151,7628,1779,6398,4516,70254,930,2308
"40",3753013,10392,7812,1822,6555,4662,73223,953,2363
"41",3749183,10639,7999,1866,6715,4810,76267,976,2421
"42",3745265,10888,8190,1911,6877,4961,79386,1000,2478
"43",3741256,11142,8384,1957,7043,5114,82583,1023,2538
"44",3737155,11401,8581,2003,7212,5270,85857,1047,2598
"45",3732962,11663,8782,2051,7384,5428,89209,1072,2658
"46",3728675,11928,8986,2099,7558,5589,92644,1098,2720
"47",3724292,12198,9191,2148,7737,5753,96160,1122,2785
"48",3719813,12471,9403,2197,7916,5919,99760,1148,2847
"49",3715236,12748,9614,2248,8099,6088,103445,1175,2913
"50",3710560,13027,9831,2300,8285,6260,107216,1201,2979
"51",3705786,13310,10049,2351,8474,6435,111075,1228,3046
"52",3700909,13597,10270,2404,8665,6612,115023,1255,3114
"53",3695930,13887,10494,2457,8859,6792,119060,1283,3182
"54",3690848,14181,10720,2511,9057,6975,123188,1311,3252
"55",3685662,14477,10949,2566,9255,7161,127410,1339,3322
"56",3680370,14779,11180,2620,9457,7350,131724,1367,3392
"57",3674972,15080,11416,2676,9661,7542,136133,1396,3465
"58",3669468,15384,11652,2733,9868,7737,140638,1426,3539
"59",3663856,15692,11889,2790,10076,7935,145241,1455,3611
"60",3658137,16001,12130,2848,10287,8135,149942,1485,3685
"61",3652309,16312,12373,2906,10498,8339,154741,1515,3758
"62",3646374,16622,12619,2966,10713,8545,159641,1546,3834
"63",3640327,16937,12865,3024,10930,8754,164642,1575,3910
"64",3634171,17251,13113,3084,11147,8966,169746,1607,3986
"65",3627905,17569,13361,3144,11366,9181,174953,1637,4064
"66",3621529,17887,13610,3204,11588,9399,180263,1668,4141
"67",3615045,18204,13860,3265,11810,9620,185676,1700,4217
"68",3608449,18522,14111,3325,12033,9843,191195,1731,4295
"69",3601745,18840,14363,3387,12256,10069,196819,1762,4373
"70",3594931,19156,14615,3448,12481,10298,202549,1794,4451
"71",3588007,19476,14866,3509,12706,10529,208386,1825,4529
"72",3580975,19792,15119,3571,12930,10763,214329,1856,4606
"73",3573836,20106,15371,3631,13158,11000,220377,1887,4685
"74",3566588,20420,15622,3693,13384,11238,226533,1919,4764
"75",3559234,20732,15872,3755,13611,11479,232796,1951,4841
"76",3551775,21041,16121,3817,13836,11722,239167,1982,4918
"77",3544211,21350,16367,3878,14061,11968,245644,2013,4996
"78",3536545,21654,16613,3938,14286,12215,252229,2044,5073
"79",3528777,21955,16856,3999,14508,12464,258921,2075,5148
"80",3520909,22253,17098,4057,14729,12715,265717,2105,5223
"81",3512943,22545,17337,4118,14949,12967,272619,2136,5299
"82",3504879,22835,17572,4176,15168,13221,279627,2165,5374
"83",3496721,23118,17808,4234,15383,13477,286738,2193,5446
"84",3488470,23399,18035,4292,15597,13734,293952,2224,5519
"85",3480128,23673,18261,4349,15810,13991,301268,2252,5590
"86",3471697,23942,18484,4404,16018,14250,308684,2280,5660
