"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3843724,5502,4426,542,2493,87,704,363,1398
"2",3841942,5387,4399,662,3160,175,1754,397,1527
"3",3839967,5504,4344,717,3589,279,3077,394,1519
"4",3837887,5686,4354,739,3851,389,4572,389,1499
"5",3835737,5876,4422,751,4026,499,6168,390,1503
"6",3833529,6058,4525,764,4164,608,7832,396,1527
"7",3831262,6235,4647,778,4290,715,9552,405,1562
"8",3828935,6412,4776,797,4415,821,11323,416,1604
"9",3826546,6590,4912,817,4540,926,13148,428,1648
"10",3824090,6774,5048,839,4670,1032,15026,440,1695
"11",3821568,6960,5189,862,4802,1137,16960,452,1743
"12",3818976,7151,5334,886,4938,1243,18951,465,1791
"13",3816314,7348,5480,911,5076,1349,21001,478,1841
"14",3813579,7549,5631,936,5218,1456,23110,491,1892
"15",3810772,7754,5786,961,5363,1563,25280,504,1944
"16",3807889,7963,5945,988,5511,1671,27513,518,1997
"17",3804928,8178,6107,1015,5662,1780,29810,532,2052
"18",3801889,8397,6270,1042,5819,1890,32171,547,2109
"19",3798770,8621,6439,1071,5977,2001,34600,562,2164
"20",3795568,8849,6613,1100,6139,2113,37097,577,2223
"21",3792284,9082,6790,1130,6305,2226,39664,592,2283
"22",3788913,9321,6970,1160,6474,2339,42302,608,2344
"23",3785455,9564,7153,1191,6649,2455,45012,624,2407
"24",3781909,9813,7341,1222,6826,2571,47798,640,2470
"25",3778272,10067,7532,1255,7005,2689,50659,658,2534
"26",3774544,10323,7728,1287,7191,2809,53597,674,2600
"27",3770723,10586,7928,1321,7379,2930,56613,692,2668
"28",3766805,10853,8131,1355,7572,3052,59710,710,2737
"29",3762790,11126,8338,1390,7768,3176,62891,728,2807
"30",3758676,11403,8550,1425,7968,3302,66154,746,2879
"31",3754461,11686,8763,1462,8173,3430,69504,766,2953
"32",3750143,11975,8982,1499,8380,3559,72941,785,3025
"33",3745723,12266,9207,1536,8592,3690,76465,804,3101
"34",3741196,12562,9433,1575,8808,3824,80080,824,3179
"35",3736562,12864,9663,1614,9028,3959,83788,844,3257
"36",3731822,13169,9898,1653,9251,4095,87590,865,3336
"37",3726970,13480,10135,1694,9478,4234,91488,886,3418
"38",3722007,13794,10377,1735,9709,4376,95481,907,3499
"39",3716931,14113,10623,1777,9944,4519,99573,929,3583
"40",3711741,14436,10871,1819,10182,4664,103765,951,3667
"41",3706435,14764,11123,1861,10425,4812,108059,973,3754
"42",3701013,15095,11377,1905,10671,4962,112456,996,3841
"43",3695472,15431,11636,1949,10920,5114,116957,1019,3928
"44",3689812,15769,11898,1994,11171,5269,121566,1042,4018
"45",3684033,16111,12163,2039,11428,5425,126281,1065,4108
"46",3678131,16458,12430,2085,11686,5584,131105,1089,4199
"47",3672107,16808,12699,2131,11948,5746,136040,1113,4292
"48",3665960,17159,12973,2178,12213,5910,141087,1137,4385
"49",3659690,17512,13249,2225,12481,6076,146246,1161,4480
"50",3653296,17868,13527,2272,12753,6244,151520,1185,4576
"51",3646776,18225,13807,2321,13027,6414,156909,1211,4671
"52",3640131,18586,14089,2369,13302,6587,162415,1236,4767
"53",3633360,18948,14372,2418,13580,6762,168039,1261,4866
"54",3626462,19311,14657,2467,13861,6940,173781,1286,4963
"55",3619438,19677,14944,2516,14143,7120,179642,1311,5061
"56",3612289,20041,15231,2566,14426,7302,185624,1337,5161
"57",3605014,20405,15520,2616,14711,7486,191727,1363,5259
"58",3597613,20770,15808,2666,14997,7673,197952,1388,5359
"59",3590087,21134,16097,2717,15284,7861,204299,1414,5458
"60",3582436,21497,16387,2767,15572,8052,210769,1440,5558
"61",3574659,21861,16675,2818,15861,8245,217361,1466,5659
"62",3566760,22222,16963,2869,16150,8440,224076,1492,5758
"63",3558738,22582,17251,2920,16438,8636,230914,1518,5857
"64",3550594,22938,17538,2970,16726,8835,237877,1544,5957
"65",3542331,23293,17821,3020,17016,9035,244963,1568,6057
"66",3533949,23643,18105,3070,17303,9237,252173,1594,6154
"67",3525451,23987,18386,3119,17590,9441,259505,1620,6253
"68",3516837,24331,18662,3168,17875,9647,266960,1645,6349
"69",3508108,24671,18938,3217,18155,9853,274538,1669,6444
"70",3499271,25001,19210,3266,18435,10061,282235,1694,6540
"71",3490325,25328,19479,3314,18711,10270,290054,1718,6633
"72",3481273,25645,19743,3361,18987,10480,297990,1742,6727
"73",3472116,25958,20002,3409,19256,10691,306046,1767,6817
"74",3462857,26267,20256,3455,19524,10903,314218,1790,6907
"75",3453498,26568,20506,3500,19787,11115,322504,1812,6995
"76",3444046,26859,20752,3545,20045,11328,330905,1835,7081
"77",3434501,27140,20993,3588,20298,11541,339417,1856,7166
"78",3424867,27414,21227,3630,20547,11754,348039,1877,7249
"79",3415148,27681,21450,3672,20792,11968,356768,1899,7331
"80",3405348,27936,21670,3713,21029,12181,365603,1919,7406
"81",3395471,28179,21882,3751,21261,12393,374541,1938,7484
"82",3385521,28412,22085,3789,21487,12605,383579,1957,7557
"83",3375500,28636,22280,3826,21705,12817,392715,1975,7627
"84",3365415,28847,22467,3862,21916,13028,401946,1993,7696
"85",3355269,29047,22646,3896,22116,13238,411268,2010,7757
"86",3345067,29231,22817,3929,22310,13446,420679,2025,7821
"87",3334814,29405,22976,3959,22496,13652,430176,2041,7880
"88",3324511,29569,23125,3989,22675,13857,439753,2055,7935
"89",3314167,29717,23266,4018,22843,14060,449408,2069,7986
"90",3303787,29851,23397,4044,23001,14261,459139,2081,8035
"91",3293374,29971,23517,4068,23148,14460,468941,2093,8079
"92",3282934,30077,23627,4091,23288,14656,478807,2103,8122
"93",3272471,30169,23725,4111,23418,14849,488736,2113,8159
"94",3261991,30246,23811,4131,23538,15039,498722,2122,8194
