"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",3760516,11561,9680,1127,8895,2615,63085,484,3517
"2",3757339,10750,9458,1060,9527,2716,66628,509,3699
"3",3754122,10261,9053,1015,9856,2802,70369,498,3615
"4",3750930,9914,8655,972,9918,2878,74211,476,3460
"5",3747804,9621,8310,930,9807,2944,78062,455,3308
"6",3744763,9345,8014,891,9602,3000,81862,437,3176
"7",3741813,9073,7752,857,9354,3049,85580,422,3062
"8",3738952,8806,7510,826,9091,3090,89203,408,2963
"9",3736179,8541,7282,799,8826,3125,92725,395,2870
"10",3733491,8284,7062,773,8566,3154,96149,383,2783
"11",3730886,8032,6847,749,8310,3178,99475,372,2699
"12",3728361,7787,6641,726,8062,3197,102704,360,2617
"13",3725913,7549,6438,704,7820,3212,105841,350,2538
"14",3723541,7318,6243,683,7583,3222,108888,339,2460
"15",3721243,7093,6052,662,7354,3228,111845,328,2385
"16",3719016,6874,5866,642,7131,3231,114717,318,2313
"17",3716858,6662,5686,622,6914,3230,117505,308,2242
"18",3714767,6456,5511,603,6703,3226,120212,299,2173
"19",3712741,6257,5341,584,6497,3219,122839,290,2106
"20",3710778,6062,5177,566,6298,3209,125388,281,2041
"21",3708876,5873,5017,549,6105,3197,127862,272,1978
"22",3707034,5690,4861,532,5917,3182,130263,264,1918
"23",3705250,5512,4709,516,5734,3164,132593,256,1857
"24",3703522,5339,4563,499,5556,3145,134854,248,1800
"25",3701849,5171,4420,484,5385,3123,137046,240,1744
"26",3700228,5009,4282,469,5217,3100,139174,232,1689
"27",3698658,4851,4147,454,5055,3075,141238,225,1637
"28",3697138,4699,4016,440,4897,3048,143240,218,1585
"29",3695666,4551,3891,426,4743,3019,145183,211,1535
"30",3694241,4406,3769,413,4594,2990,147066,204,1487
"31",3692861,4267,3649,400,4451,2959,148892,198,1441
"32",3691525,4132,3533,387,4310,2927,150664,192,1395
"33",3690231,4000,3422,375,4174,2894,152382,186,1350
"34",3688979,3874,3313,363,4043,2860,154046,180,1308
"35",3687767,3750,3209,352,3915,2825,155661,174,1266
"36",3686593,3631,3107,340,3791,2789,157227,169,1227
"37",3685458,3514,3008,330,3671,2753,158744,163,1187
"38",3684358,3402,2912,319,3555,2716,160216,158,1150
"39",3683294,3293,2820,309,3442,2679,161642,153,1113
"40",3682263,3188,2730,299,3333,2641,163025,148,1078
"41",3681266,3086,2642,289,3227,2603,164365,143,1043
"42",3680301,2986,2558,280,3124,2564,165665,139,1010
"43",3679367,2890,2475,271,3025,2526,166924,134,978
"44",3678463,2798,2396,263,2928,2486,168145,130,946
"45",3677588,2708,2319,254,2834,2447,169327,126,916
"46",3676741,2621,2245,246,2743,2408,170474,122,886
"47",3675922,2537,2173,238,2655,2369,171584,118,858
"48",3675129,2455,2103,231,2571,2330,172661,114,831
"49",3674361,2376,2035,223,2488,2290,173704,110,804
"50",3673618,2299,1970,216,2408,2251,174716,107,778
"51",3672900,2225,1906,209,2331,2212,175695,103,753
"52",3672205,2153,1845,202,2256,2173,176644,100,728
"53",3671532,2084,1785,196,2183,2135,177565,97,705
"54",3670881,2016,1727,189,2112,2096,178456,94,682
"55",3670251,1951,1672,183,2044,2058,179320,91,660
"56",3669642,1888,1617,177,1978,2020,180156,88,639
"57",3669052,1827,1565,171,1914,1982,180967,85,618
"58",3668482,1767,1514,166,1853,1944,181752,82,599
"59",3667930,1710,1465,161,1793,1907,182513,80,579
"60",3667396,1655,1417,155,1735,1870,183250,77,560
"61",3666879,1600,1372,150,1679,1834,183964,74,542
"62",3666380,1548,1327,145,1624,1798,184656,72,524
"63",3665896,1498,1284,141,1572,1762,185326,70,507
"64",3665428,1449,1242,136,1521,1726,185975,67,491
"65",3664976,1402,1202,132,1471,1692,186604,65,475
"66",3664538,1357,1163,128,1423,1657,187213,63,459
"67",3664114,1312,1125,123,1377,1623,187803,61,445
"68",3663704,1270,1088,119,1332,1590,188374,59,430
