day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,3436175,926,3235,658,68,1468,5429,0,0,0,0,0,0,142,90,52,413732,1075,0,0,0,0,0,0,61982
1,2,3436834,910,3210,612,82,1545,5449,0,0,0,0,0,0,130,82,48,413087,1069,0,0,0,0,0,0,63318
1,3,3435613,908,3293,641,75,1482,5491,0,0,0,0,0,0,128,95,33,414266,1073,0,0,0,0,0,0,65578
1,4,3435712,858,3162,670,100,1466,5398,0,0,0,0,0,0,131,94,37,414309,1071,0,0,0,0,0,0,62056
1,5,3437107,841,3236,585,100,1534,5455,0,0,0,0,0,0,133,77,56,412859,1084,0,0,0,0,0,0,64455
1,6,3435007,832,3229,612,77,1456,5374,0,0,0,0,0,0,140,85,55,415034,1092,0,0,0,0,0,0,61490
1,7,3435638,902,3196,631,99,1476,5402,0,0,0,0,0,0,143,92,51,414324,1070,0,0,0,0,0,0,58687
1,8,3436675,886,3192,634,82,1473,5381,0,0,0,0,0,0,120,86,34,413395,1022,0,0,0,0,0,0,68554
1,9,3435704,829,3348,671,80,1528,5627,0,0,0,0,0,0,133,93,40,414095,1091,0,0,0,0,0,0,62577
1,10,3435627,883,3250,603,88,1439,5380,0,0,0,0,0,0,132,95,37,414456,1001,0,0,0,0,0,0,56574
1,11,3436232,828,3285,634,76,1490,5485,0,0,0,0,0,0,132,85,47,413695,1107,0,0,0,0,0,0,63767
1,12,3435618,898,3354,630,83,1514,5581,0,0,0,0,0,0,135,93,42,414234,1013,0,0,0,0,0,0,65433
1,13,3435611,864,3202,656,89,1422,5369,0,0,0,0,0,0,126,88,38,414440,1069,0,0,0,0,0,0,60572
1,14,3435988,841,3322,589,90,1466,5467,0,0,0,0,0,0,147,106,41,413995,1041,0,0,0,0,0,0,59563
1,15,3436335,827,3249,640,86,1483,5458,0,0,0,0,0,0,140,97,43,413627,1092,0,0,0,0,0,0,64439
1,16,3435549,884,3257,628,100,1482,5467,0,0,0,0,0,0,140,91,49,414309,1130,0,0,0,0,0,0,59586
1,17,3436364,840,3263,587,83,1440,5373,0,0,0,0,0,0,134,89,45,413678,1090,0,0,0,0,0,0,57688
