X,date,county,state,fips,cases,deaths
188,2020-09-09,Minnesota,Minnesota,12011,57941,1494
189,2020-09-10,Minnesota,Minnesota,12011,58308,1498
190,2020-09-11,Minnesota,Minnesota,12011,58670,1503
191,2020-09-12,Minnesota,Minnesota,12011,59030,1508
192,2020-09-13,Minnesota,Minnesota,12011,59398,1513
193,2020-09-14,Minnesota,Minnesota,12011,59786,1518
194,2020-09-15,Minnesota,Minnesota,12011,60199,1523
195,2020-09-16,Minnesota,Minnesota,12011,60621,1528
196,2020-09-17,Minnesota,Minnesota,12011,61052,1532
197,2020-09-18,Minnesota,Minnesota,12011,61502,1536
198,2020-09-19,Minnesota,Minnesota,12011,61962,1540
199,2020-09-20,Minnesota,Minnesota,12011,62450,1543
200,2020-09-21,Minnesota,Minnesota,12011,62952,1547
201,2020-09-22,Minnesota,Minnesota,12011,63479,1550
202,2020-09-23,Minnesota,Minnesota,12011,64022,1553
203,2020-09-24,Minnesota,Minnesota,12011,64557,1557
204,2020-09-25,Minnesota,Minnesota,12011,65087,1560
205,2020-09-26,Minnesota,Minnesota,12011,65630,1563
206,2020-09-27,Minnesota,Minnesota,12011,66181,1566
207,2020-09-28,Minnesota,Minnesota,12011,66734,1570
208,2020-09-29,Minnesota,Minnesota,12011,67312,1574
209,2020-09-30,Minnesota,Minnesota,12011,67910,1578
210,2020-10-01,Minnesota,Minnesota,12011,68509,1582
211,2020-10-02,Minnesota,Minnesota,12011,69106,1587
212,2020-10-03,Minnesota,Minnesota,12011,69702,1592
213,2020-10-04,Minnesota,Minnesota,12011,70321,1597
214,2020-10-05,Minnesota,Minnesota,12011,70967,1602
215,2020-10-06,Minnesota,Minnesota,12011,71642,1607
216,2020-10-07,Minnesota,Minnesota,12011,72342,1611
217,2020-10-08,Minnesota,Minnesota,12011,73064,1617
218,2020-10-09,Minnesota,Minnesota,12011,73786,1623
