day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,3607814,9057,9257,2516,308,9299,21380,0,0,0,0,0,0,110,61,49,218525,593,0,0,0,0,0,0,0,521556
1,2,3608262,9005,9214,2424,336,9494,21468,0,0,0,0,0,0,100,54,46,218056,588,0,0,0,0,0,0,0,531645
1,3,3607388,8999,9354,2482,323,9334,21493,0,0,0,0,0,0,95,65,30,218913,591,0,0,0,0,0,0,0,523482
1,4,3607668,8839,9132,2538,373,9295,21338,0,0,0,0,0,0,100,65,35,218944,590,0,0,0,0,0,0,0,523288
1,5,3608631,8785,9258,2370,374,9466,21468,0,0,0,0,0,0,104,50,54,217891,600,0,0,0,0,0,0,0,522958
1,6,3607273,8754,9247,2424,327,9268,21266,0,0,0,0,0,0,110,57,53,219471,605,0,0,0,0,0,0,0,507820
1,7,3607500,8980,9191,2463,372,9319,21345,0,0,0,0,0,0,110,62,48,218955,589,0,0,0,0,0,0,0,519406
1,8,3608311,8929,9183,2468,337,9311,21299,0,0,0,0,0,0,106,60,46,218280,554,0,0,0,0,0,0,0,524806
1,9,3607472,8744,9448,2542,332,9180,21502,0,0,0,0,0,0,101,58,43,219057,603,0,0,0,0,0,0,0,515072
1,10,3608867,8859,9179,2495,317,9343,21334,0,0,0,0,0,0,101,54,47,217760,558,0,0,0,0,0,0,0,513933
1,11,3607236,8917,9299,2428,342,9249,21318,0,0,0,0,0,0,105,66,39,219288,615,0,0,0,0,0,0,0,513970
1,12,3608399,9030,9282,2467,353,9323,21425,0,0,0,0,0,0,104,60,44,217934,587,0,0,0,0,0,0,0,526934
1,13,3607821,8780,9384,2503,310,9272,21469,0,0,0,0,0,0,101,55,46,218740,568,0,0,0,0,0,0,0,524592
1,14,3608085,8977,9126,2505,330,9462,21423,0,0,0,0,0,0,101,59,42,218336,557,0,0,0,0,0,0,0,521327
1,15,3607338,8858,9321,2486,339,9369,21515,0,0,0,0,0,0,99,61,38,219065,604,0,0,0,0,0,0,0,516142
1,16,3608085,8870,9273,2564,338,9310,21485,0,0,0,0,0,0,108,65,43,218337,594,0,0,0,0,0,0,0,536364
1,17,3607834,8792,9141,2384,318,9286,21129,0,0,0,0,0,0,102,63,39,219045,577,0,0,0,0,0,0,0,519066
1,18,3607918,9056,9321,2448,337,9459,21565,0,0,0,0,0,0,91,51,40,218251,598,0,0,0,0,0,0,0,530082
1,19,3607268,8944,9311,2405,350,9270,21336,0,0,0,0,0,0,111,70,41,219229,591,0,0,0,0,0,0,0,524392
1,20,3606681,8877,9290,2477,344,9428,21539,0,0,0,0,0,0,131,73,58,219700,551,0,0,0,0,0,0,0,530121
1,21,3607563,8860,9284,2474,334,9234,21326,0,0,0,0,0,0,99,58,41,219039,592,0,0,0,0,0,0,0,514122
1,22,3607834,8699,9274,2507,350,9359,21490,0,0,0,0,0,0,83,56,27,218804,569,0,0,0,0,0,0,0,512133
1,23,3608460,8904,9117,2500,351,9274,21242,0,0,0,0,0,0,98,52,46,218200,575,0,0,0,0,0,0,0,531416
1,24,3608138,8914,9110,2427,343,9238,21118,0,0,0,0,0,0,106,63,43,218641,562,0,0,0,0,0,0,0,515821
1,25,3608107,8860,9208,2470,340,9249,21267,0,0,0,0,0,0,113,64,49,218543,589,0,0,0,0,0,0,0,511329
