X,date,county,state,fips,cases,deaths
75,2020-05-19,Minnesota,Minnesota,12011,11789,625
76,2020-05-20,Minnesota,Minnesota,12011,12357,644
77,2020-05-21,Minnesota,Minnesota,12011,12891,661
78,2020-05-22,Minnesota,Minnesota,12011,13401,680
79,2020-05-23,Minnesota,Minnesota,12011,13901,699
80,2020-05-24,Minnesota,Minnesota,12011,14393,719
81,2020-05-25,Minnesota,Minnesota,12011,14883,739
82,2020-05-26,Minnesota,Minnesota,12011,15353,758
83,2020-05-27,Minnesota,Minnesota,12011,15800,777
84,2020-05-28,Minnesota,Minnesota,12011,16238,795
85,2020-05-29,Minnesota,Minnesota,12011,16649,813
86,2020-05-30,Minnesota,Minnesota,12011,17048,831
87,2020-05-31,Minnesota,Minnesota,12011,17430,850
88,2020-06-01,Minnesota,Minnesota,12011,17790,870
89,2020-06-02,Minnesota,Minnesota,12011,18128,889
90,2020-06-03,Minnesota,Minnesota,12011,18462,907
91,2020-06-04,Minnesota,Minnesota,12011,18787,923
92,2020-06-05,Minnesota,Minnesota,12011,19102,939
93,2020-06-06,Minnesota,Minnesota,12011,19407,954
94,2020-06-07,Minnesota,Minnesota,12011,19695,969
95,2020-06-08,Minnesota,Minnesota,12011,19982,985
96,2020-06-09,Minnesota,Minnesota,12011,20267,999
97,2020-06-10,Minnesota,Minnesota,12011,20540,1013
98,2020-06-11,Minnesota,Minnesota,12011,20810,1026
99,2020-06-12,Minnesota,Minnesota,12011,21062,1038
100,2020-06-13,Minnesota,Minnesota,12011,21304,1050
101,2020-06-14,Minnesota,Minnesota,12011,21546,1062
102,2020-06-15,Minnesota,Minnesota,12011,21793,1074
103,2020-06-16,Minnesota,Minnesota,12011,22040,1084
104,2020-06-17,Minnesota,Minnesota,12011,22283,1094
105,2020-06-18,Minnesota,Minnesota,12011,22514,1104
106,2020-06-19,Minnesota,Minnesota,12011,22738,1113
107,2020-06-20,Minnesota,Minnesota,12011,22964,1121
