"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6288599,17937,15176,1191,17948,6922,409431,553,6124
"2",6283085,17266,14764,1128,17811,6889,416261,546,6052
"3",6277680,16717,14298,1082,17557,6848,423021,531,5888
"4",6272404,16228,13847,1043,17205,6800,429677,515,5702
"5",6267269,15768,13423,1007,16794,6747,436195,498,5522
"6",6262278,15321,13025,975,16357,6690,442558,483,5353
"7",6257430,14886,12645,945,15911,6630,448758,468,5195
"8",6252723,14460,12281,916,15466,6566,454791,455,5042
"9",6248152,14045,11928,889,15030,6500,460660,441,4898
"10",6243715,13640,11584,863,14605,6431,466366,429,4758
"11",6239405,13246,11251,838,14190,6361,471914,416,4620
"12",6235223,12861,10926,814,13784,6288,477308,404,4488
"13",6231163,12487,10610,790,13390,6214,482551,393,4358
"14",6227222,12122,10303,767,13004,6139,487647,381,4232
"15",6223397,11766,10005,745,12628,6062,492602,370,4108
"16",6219685,11421,9712,723,12263,5984,497415,359,3990
"17",6216083,11085,9428,702,11909,5905,502092,349,3874
"18",6212587,10758,9151,682,11562,5825,506638,339,3760
"19",6209195,10441,8882,662,11225,5745,511054,329,3649
"20",6205904,10132,8621,643,10896,5663,515345,319,3542
"21",6202711,9832,8366,624,10577,5582,519513,310,3438
"22",6199613,9539,8119,605,10266,5500,523561,301,3337
"23",6196608,9256,7878,587,9963,5417,527494,292,3238
"24",6193692,8980,7644,570,9670,5334,531313,283,3142
"25",6190864,8712,7417,553,9384,5252,535022,274,3049
"26",6188121,8451,7196,536,9106,5169,538625,266,2959
"27",6185461,8196,6981,521,8837,5086,542122,258,2871
"28",6182881,7951,6772,505,8574,5003,545518,251,2784
"29",6180378,7712,6568,490,8319,4920,548816,243,2701
"30",6177952,7479,6373,475,8071,4838,552017,236,2620
"31",6175598,7254,6181,461,7829,4756,555125,229,2541
"32",6173316,7034,5996,447,7595,4674,558142,222,2465
"33",6171104,6821,5815,433,7368,4593,561071,215,2392
"34",6168957,6616,5639,420,7147,4512,563913,208,2320
"35",6166876,6415,5468,408,6932,4432,566673,202,2250
"36",6164859,6221,5302,395,6722,4352,569352,196,2181
"37",6162903,6032,5142,383,6519,4273,571952,190,2115
"38",6161007,5848,4987,372,6322,4194,574474,185,2051
"39",6159167,5671,4835,361,6131,4116,576922,179,1989
"40",6157385,5498,4688,350,5946,4039,579298,174,1929
"41",6155657,5330,4546,339,5766,3963,581603,168,1870
"42",6153982,5167,4407,328,5591,3888,583841,163,1814
"43",6152358,5009,4273,319,5421,3813,586012,158,1758
"44",6150783,4857,4142,309,5256,3739,588118,154,1704
"45",6149257,4708,4016,300,5095,3666,590162,149,1652
"46",6147778,4563,3894,290,4941,3593,592145,144,1602
"47",6146344,4424,3774,281,4790,3522,594069,140,1553
"48",6144955,4288,3658,273,4643,3451,595935,135,1505
"49",6143608,4156,3546,265,4501,3382,597746,131,1459
"50",6142302,4028,3438,257,4364,3313,599502,127,1415
"51",6141038,3903,3333,249,4230,3246,601206,123,1371
"52",6139811,3784,3230,241,4101,3179,602858,119,1329
"53",6138622,3667,3131,233,3976,3113,604461,116,1289
"54",6137470,3554,3035,226,3853,3048,606017,112,1249
"55",6136354,3446,2941,219,3735,2984,607525,109,1210
"56",6135271,3340,2850,213,3621,2921,608988,106,1174
"57",6134223,3237,2763,206,3509,2860,610407,102,1137
"58",6133207,3136,2678,200,3401,2799,611784,99,1102
"59",6132222,3040,2595,193,3297,2739,613119,96,1068
"60",6131267,2947,2515,187,3195,2680,614413,93,1035
"61",6130342,2856,2438,182,3096,2622,615669,90,1004
"62",6129445,2767,2363,176,3002,2564,616887,87,973
