X,date,county,state,fips,cases,deaths
80,2020-05-24,Philadelphia,Philadelphia,12011,53009,3874
81,2020-05-25,Philadelphia,Philadelphia,12011,53570,3931
82,2020-05-26,Philadelphia,Philadelphia,12011,54119,3984
83,2020-05-27,Philadelphia,Philadelphia,12011,54662,4034
84,2020-05-28,Philadelphia,Philadelphia,12011,55173,4084
85,2020-05-29,Philadelphia,Philadelphia,12011,55652,4133
86,2020-05-30,Philadelphia,Philadelphia,12011,56116,4183
87,2020-05-31,Philadelphia,Philadelphia,12011,56582,4233
88,2020-06-01,Philadelphia,Philadelphia,12011,57032,4284
89,2020-06-02,Philadelphia,Philadelphia,12011,57478,4334
90,2020-06-03,Philadelphia,Philadelphia,12011,57907,4381
91,2020-06-04,Philadelphia,Philadelphia,12011,58321,4427
92,2020-06-05,Philadelphia,Philadelphia,12011,58719,4471
93,2020-06-06,Philadelphia,Philadelphia,12011,59112,4514
94,2020-06-07,Philadelphia,Philadelphia,12011,59501,4557
95,2020-06-08,Philadelphia,Philadelphia,12011,59875,4601
96,2020-06-09,Philadelphia,Philadelphia,12011,60237,4640
97,2020-06-10,Philadelphia,Philadelphia,12011,60587,4676
98,2020-06-11,Philadelphia,Philadelphia,12011,60925,4707
99,2020-06-12,Philadelphia,Philadelphia,12011,61254,4735
100,2020-06-13,Philadelphia,Philadelphia,12011,61576,4762
101,2020-06-14,Philadelphia,Philadelphia,12011,61890,4790
102,2020-06-15,Philadelphia,Philadelphia,12011,62194,4818
103,2020-06-16,Philadelphia,Philadelphia,12011,62505,4842
104,2020-06-17,Philadelphia,Philadelphia,12011,62825,4864
105,2020-06-18,Philadelphia,Philadelphia,12011,63142,4886
106,2020-06-19,Philadelphia,Philadelphia,12011,63445,4908
107,2020-06-20,Philadelphia,Philadelphia,12011,63765,4929
108,2020-06-21,Philadelphia,Philadelphia,12011,64081,4951
109,2020-06-22,Philadelphia,Philadelphia,12011,64388,4972
110,2020-06-23,Philadelphia,Philadelphia,12011,64715,4991
111,2020-06-24,Philadelphia,Philadelphia,12011,65055,5010
112,2020-06-25,Philadelphia,Philadelphia,12011,65401,5027
113,2020-06-26,Philadelphia,Philadelphia,12011,65751,5045
114,2020-06-27,Philadelphia,Philadelphia,12011,66106,5064
115,2020-06-28,Philadelphia,Philadelphia,12011,66457,5082
116,2020-06-29,Philadelphia,Philadelphia,12011,66786,5100
117,2020-06-30,Philadelphia,Philadelphia,12011,67110,5116
118,2020-07-01,Philadelphia,Philadelphia,12011,67436,5131
119,2020-07-02,Philadelphia,Philadelphia,12011,67767,5145
120,2020-07-03,Philadelphia,Philadelphia,12011,68096,5160
121,2020-07-04,Philadelphia,Philadelphia,12011,68445,5176
122,2020-07-05,Philadelphia,Philadelphia,12011,68800,5192
123,2020-07-06,Philadelphia,Philadelphia,12011,69125,5208
124,2020-07-07,Philadelphia,Philadelphia,12011,69445,5222
125,2020-07-08,Philadelphia,Philadelphia,12011,69770,5237
126,2020-07-09,Philadelphia,Philadelphia,12011,70102,5251
127,2020-07-10,Philadelphia,Philadelphia,12011,70442,5265
128,2020-07-11,Philadelphia,Philadelphia,12011,70808,5279
129,2020-07-12,Philadelphia,Philadelphia,12011,71178,5294
130,2020-07-13,Philadelphia,Philadelphia,12011,71536,5308
131,2020-07-14,Philadelphia,Philadelphia,12011,71920,5321
132,2020-07-15,Philadelphia,Philadelphia,12011,72316,5333
133,2020-07-16,Philadelphia,Philadelphia,12011,72710,5345
134,2020-07-17,Philadelphia,Philadelphia,12011,73107,5355
135,2020-07-18,Philadelphia,Philadelphia,12011,73536,5365
136,2020-07-19,Philadelphia,Philadelphia,12011,73980,5375
137,2020-07-20,Philadelphia,Philadelphia,12011,74417,5385
138,2020-07-21,Philadelphia,Philadelphia,12011,74890,5394
139,2020-07-22,Philadelphia,Philadelphia,12011,75374,5402
140,2020-07-23,Philadelphia,Philadelphia,12011,75859,5409
141,2020-07-24,Philadelphia,Philadelphia,12011,76343,5417
142,2020-07-25,Philadelphia,Philadelphia,12011,76840,5425
143,2020-07-26,Philadelphia,Philadelphia,12011,77343,5433
144,2020-07-27,Philadelphia,Philadelphia,12011,77812,5441
145,2020-07-28,Philadelphia,Philadelphia,12011,78291,5449
146,2020-07-29,Philadelphia,Philadelphia,12011,78768,5456
147,2020-07-30,Philadelphia,Philadelphia,12011,79237,5463
148,2020-07-31,Philadelphia,Philadelphia,12011,79686,5471
149,2020-08-01,Philadelphia,Philadelphia,12011,80140,5479
150,2020-08-02,Philadelphia,Philadelphia,12011,80590,5488
151,2020-08-03,Philadelphia,Philadelphia,12011,81001,5496
152,2020-08-04,Philadelphia,Philadelphia,12011,81410,5504
153,2020-08-05,Philadelphia,Philadelphia,12011,81818,5512
154,2020-08-06,Philadelphia,Philadelphia,12011,82228,5520
155,2020-08-07,Philadelphia,Philadelphia,12011,82650,5528
156,2020-08-08,Philadelphia,Philadelphia,12011,83081,5538
157,2020-08-09,Philadelphia,Philadelphia,12011,83524,5548
158,2020-08-10,Philadelphia,Philadelphia,12011,83939,5558
159,2020-08-11,Philadelphia,Philadelphia,12011,84352,5568
160,2020-08-12,Philadelphia,Philadelphia,12011,84760,5577
161,2020-08-13,Philadelphia,Philadelphia,12011,85169,5587
162,2020-08-14,Philadelphia,Philadelphia,12011,85579,5597
163,2020-08-15,Philadelphia,Philadelphia,12011,86003,5607
164,2020-08-16,Philadelphia,Philadelphia,12011,86431,5618
165,2020-08-17,Philadelphia,Philadelphia,12011,86829,5628
166,2020-08-18,Philadelphia,Philadelphia,12011,87226,5638
167,2020-08-19,Philadelphia,Philadelphia,12011,87608,5646
168,2020-08-20,Philadelphia,Philadelphia,12011,87970,5654
169,2020-08-21,Philadelphia,Philadelphia,12011,88324,5660
170,2020-08-22,Philadelphia,Philadelphia,12011,88683,5667
171,2020-08-23,Philadelphia,Philadelphia,12011,89049,5675
172,2020-08-24,Philadelphia,Philadelphia,12011,89405,5682
173,2020-08-25,Philadelphia,Philadelphia,12011,89772,5688
174,2020-08-26,Philadelphia,Philadelphia,12011,90146,5693
175,2020-08-27,Philadelphia,Philadelphia,12011,90530,5699
176,2020-08-28,Philadelphia,Philadelphia,12011,90925,5704
177,2020-08-29,Philadelphia,Philadelphia,12011,91328,5709
178,2020-08-30,Philadelphia,Philadelphia,12011,91740,5715
179,2020-08-31,Philadelphia,Philadelphia,12011,92144,5721
180,2020-09-01,Philadelphia,Philadelphia,12011,92564,5727
181,2020-09-02,Philadelphia,Philadelphia,12011,92986,5733
182,2020-09-03,Philadelphia,Philadelphia,12011,93408,5739
183,2020-09-04,Philadelphia,Philadelphia,12011,93824,5744
184,2020-09-05,Philadelphia,Philadelphia,12011,94249,5750
185,2020-09-06,Philadelphia,Philadelphia,12011,94689,5756
186,2020-09-07,Philadelphia,Philadelphia,12011,95092,5762
187,2020-09-08,Philadelphia,Philadelphia,12011,95516,5769
188,2020-09-09,Philadelphia,Philadelphia,12011,95933,5774
189,2020-09-10,Philadelphia,Philadelphia,12011,96343,5781
190,2020-09-11,Philadelphia,Philadelphia,12011,96750,5787
191,2020-09-12,Philadelphia,Philadelphia,12011,97160,5794
192,2020-09-13,Philadelphia,Philadelphia,12011,97567,5801
193,2020-09-14,Philadelphia,Philadelphia,12011,97954,5809
