X,date,county,state,fips,cases,deaths
194,2020-09-15,Philadelphia,Philadelphia,12011,98354,5818
195,2020-09-16,Philadelphia,Philadelphia,12011,98752,5827
196,2020-09-17,Philadelphia,Philadelphia,12011,99155,5838
197,2020-09-18,Philadelphia,Philadelphia,12011,99556,5848
198,2020-09-19,Philadelphia,Philadelphia,12011,99951,5858
199,2020-09-20,Philadelphia,Philadelphia,12011,100370,5869
200,2020-09-21,Philadelphia,Philadelphia,12011,100753,5879
201,2020-09-22,Philadelphia,Philadelphia,12011,101137,5888
202,2020-09-23,Philadelphia,Philadelphia,12011,101568,5897
203,2020-09-24,Philadelphia,Philadelphia,12011,102001,5907
204,2020-09-25,Philadelphia,Philadelphia,12011,102439,5916
205,2020-09-26,Philadelphia,Philadelphia,12011,102897,5924
206,2020-09-27,Philadelphia,Philadelphia,12011,103335,5933
207,2020-09-28,Philadelphia,Philadelphia,12011,103783,5941
208,2020-09-29,Philadelphia,Philadelphia,12011,104248,5948
209,2020-09-30,Philadelphia,Philadelphia,12011,104719,5955
210,2020-10-01,Philadelphia,Philadelphia,12011,105210,5962
211,2020-10-02,Philadelphia,Philadelphia,12011,105724,5970
212,2020-10-03,Philadelphia,Philadelphia,12011,106270,5977
213,2020-10-04,Philadelphia,Philadelphia,12011,106838,5986
214,2020-10-05,Philadelphia,Philadelphia,12011,107397,5994
215,2020-10-06,Philadelphia,Philadelphia,12011,107908,6002
216,2020-10-07,Philadelphia,Philadelphia,12011,108461,6011
217,2020-10-08,Philadelphia,Philadelphia,12011,109032,6019
218,2020-10-09,Philadelphia,Philadelphia,12011,109608,6027
219,2020-10-10,Philadelphia,Philadelphia,12011,110243,6036
220,2020-10-11,Philadelphia,Philadelphia,12011,110870,6043
221,2020-10-12,Philadelphia,Philadelphia,12011,111486,6051
222,2020-10-13,Philadelphia,Philadelphia,12011,112136,6059
223,2020-10-14,Philadelphia,Philadelphia,12011,112798,6066
224,2020-10-15,Philadelphia,Philadelphia,12011,113453,6073
