day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,309883
1,2,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,305673
1,3,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,297438
1,4,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,305529
1,5,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,304856
1,6,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,307245
1,7,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,296741
1,8,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,297114
1,9,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,301530
1,10,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,307598
1,11,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,305011
1,12,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,306105
1,13,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,302620
1,14,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,301265
1,15,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,302380
1,16,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,305621
1,17,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,303215
1,18,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,298451
1,19,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,300937
1,20,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,304659
1,21,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,309435
1,22,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,307321
1,23,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,304161
1,24,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,302073
1,25,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,304802
1,26,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,309089
1,27,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,304995
1,28,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,308762
1,29,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,302933
1,30,6553588,28428,1548,11943,2570,36590,52651,0,0,0,0,0,0,4157,3013,1144,117410,1115,0,0,0,0,0,0,304670
