X,date,county,state,fips,cases,deaths
80,2020-05-24,Philadelphia,Philadelphia,12011,53009,3874
81,2020-05-25,Philadelphia,Philadelphia,12011,53570,3931
82,2020-05-26,Philadelphia,Philadelphia,12011,54119,3984
83,2020-05-27,Philadelphia,Philadelphia,12011,54662,4034
84,2020-05-28,Philadelphia,Philadelphia,12011,55173,4084
85,2020-05-29,Philadelphia,Philadelphia,12011,55652,4133
86,2020-05-30,Philadelphia,Philadelphia,12011,56116,4183
87,2020-05-31,Philadelphia,Philadelphia,12011,56582,4233
88,2020-06-01,Philadelphia,Philadelphia,12011,57032,4284
89,2020-06-02,Philadelphia,Philadelphia,12011,57478,4334
90,2020-06-03,Philadelphia,Philadelphia,12011,57907,4381
91,2020-06-04,Philadelphia,Philadelphia,12011,58321,4427
92,2020-06-05,Philadelphia,Philadelphia,12011,58719,4471
93,2020-06-06,Philadelphia,Philadelphia,12011,59112,4514
94,2020-06-07,Philadelphia,Philadelphia,12011,59501,4557
95,2020-06-08,Philadelphia,Philadelphia,12011,59875,4601
96,2020-06-09,Philadelphia,Philadelphia,12011,60237,4640
97,2020-06-10,Philadelphia,Philadelphia,12011,60587,4676
98,2020-06-11,Philadelphia,Philadelphia,12011,60925,4707
99,2020-06-12,Philadelphia,Philadelphia,12011,61254,4735
100,2020-06-13,Philadelphia,Philadelphia,12011,61576,4762
