,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,42017,smoothed_wcli,2020-04-06,2020-09-03,150,0.3291139,0.3123373,163.7745,county,fb-survey
1,42029,smoothed_wcli,2020-04-06,2020-09-03,150,0.0,0.4246849,102.237,county,fb-survey
2,42045,smoothed_wcli,2020-04-06,2020-09-03,150,1.6981068,0.957298,115.3673,county,fb-survey
3,42071,smoothed_wcli,2020-04-06,2020-09-03,150,0.5204739,0.6386375,119.7325,county,fb-survey
4,42091,smoothed_wcli,2020-04-06,2020-09-03,150,0.8311983,0.5191814,203.1315,county,fb-survey
5,42101,smoothed_wcli,2020-04-06,2020-09-03,150,0.4990023,0.3631381,299.9918,county,fb-survey
6,42017,smoothed_wcli,2020-04-07,2020-09-03,149,0.4213597,0.1971227,631.2408,county,fb-survey
7,42029,smoothed_wcli,2020-04-07,2020-09-03,149,0.303834,0.2668532,403.2999,county,fb-survey
8,42041,smoothed_wcli,2020-04-07,2020-09-03,149,0.9665681,0.5568823,238.286,county,fb-survey
9,42045,smoothed_wcli,2020-04-07,2020-09-03,149,0.7403564,0.3381673,446.1672,county,fb-survey
10,42071,smoothed_wcli,2020-04-07,2020-09-03,149,0.7973326,0.3674529,442.9759,county,fb-survey
11,42091,smoothed_wcli,2020-04-07,2020-09-03,149,0.415198,0.2158185,746.3228,county,fb-survey
12,42101,smoothed_wcli,2020-04-07,2020-09-03,149,0.5306146,0.1902494,1082.9672,county,fb-survey
13,42017,smoothed_wcli,2020-04-08,2020-09-03,148,0.4439485,0.1678412,1027.4107,county,fb-survey
14,42029,smoothed_wcli,2020-04-08,2020-09-03,148,0.2735671,0.1809182,722.0078,county,fb-survey
15,42041,smoothed_wcli,2020-04-08,2020-09-03,148,0.64169,0.330638,420.4863,county,fb-survey
16,42045,smoothed_wcli,2020-04-08,2020-09-03,148,0.6966412,0.2793176,786.6342,county,fb-survey
17,42071,smoothed_wcli,2020-04-08,2020-09-03,148,0.7569028,0.2720978,784.5215,county,fb-survey
18,42091,smoothed_wcli,2020-04-08,2020-09-03,148,0.4955812,0.1937176,1231.4148,county,fb-survey
19,42101,smoothed_wcli,2020-04-08,2020-09-03,148,0.7852431,0.187639,1810.959,county,fb-survey
20,42017,smoothed_wcli,2020-04-09,2020-09-03,147,0.3294341,0.1363317,1361.6295,county,fb-survey
21,42029,smoothed_wcli,2020-04-09,2020-09-03,147,0.2027084,0.1317329,967.274,county,fb-survey
22,42041,smoothed_wcli,2020-04-09,2020-09-03,147,1.2283821,0.4962761,566.7461,county,fb-survey
23,42045,smoothed_wcli,2020-04-09,2020-09-03,147,0.7222926,0.2522429,1077.9169,county,fb-survey
24,42071,smoothed_wcli,2020-04-09,2020-09-03,147,0.7158311,0.2326338,1040.0589,county,fb-survey
25,42091,smoothed_wcli,2020-04-09,2020-09-03,147,0.4734117,0.15276,1651.1665,county,fb-survey
26,42101,smoothed_wcli,2020-04-09,2020-09-03,147,0.823486,0.1587206,2446.9016,county,fb-survey
27,42017,smoothed_wcli,2020-04-10,2020-09-03,146,0.3436236,0.1258408,1525.3962,county,fb-survey
28,42029,smoothed_wcli,2020-04-10,2020-09-03,146,0.3279791,0.2018621,1095.9407,county,fb-survey
29,42041,smoothed_wcli,2020-04-10,2020-09-03,146,1.0938793,0.4613477,628.5648,county,fb-survey
30,42045,smoothed_wcli,2020-04-10,2020-09-03,146,0.6339909,0.2286392,1195.8035,county,fb-survey
31,42071,smoothed_wcli,2020-04-10,2020-09-03,146,0.582163,0.1992202,1174.2962,county,fb-survey
32,42091,smoothed_wcli,2020-04-10,2020-09-03,146,0.5024614,0.1675279,1842.7541,county,fb-survey
33,42101,smoothed_wcli,2020-04-10,2020-09-03,146,0.8562293,0.155182,2796.8688,county,fb-survey
34,42017,smoothed_wcli,2020-04-11,2020-09-03,145,0.3099276,0.1075405,1565.8697,county,fb-survey
35,42029,smoothed_wcli,2020-04-11,2020-09-03,145,0.2642676,0.1564958,1124.7703,county,fb-survey
36,42041,smoothed_wcli,2020-04-11,2020-09-03,145,1.0039923,0.390664,643.8175,county,fb-survey
37,42045,smoothed_wcli,2020-04-11,2020-09-03,145,0.5545837,0.2042587,1220.7497,county,fb-survey
38,42071,smoothed_wcli,2020-04-11,2020-09-03,145,0.5027891,0.1913849,1195.1735,county,fb-survey
39,42091,smoothed_wcli,2020-04-11,2020-09-03,145,0.411136,0.1446248,1890.7323,county,fb-survey
40,42101,smoothed_wcli,2020-04-11,2020-09-03,145,0.8605305,0.2147649,2881.8524,county,fb-survey
41,42017,smoothed_wcli,2020-04-12,2020-09-03,144,0.3298378,0.1002219,1574.8806,county,fb-survey
42,42029,smoothed_wcli,2020-04-12,2020-09-03,144,0.2550054,0.1325646,1131.5164,county,fb-survey
43,42041,smoothed_wcli,2020-04-12,2020-09-03,144,0.9512048,0.3543125,651.2964,county,fb-survey
44,42045,smoothed_wcli,2020-04-12,2020-09-03,144,0.5069778,0.1642663,1229.6397,county,fb-survey
45,42071,smoothed_wcli,2020-04-12,2020-09-03,144,0.5927001,0.1824487,1201.1735,county,fb-survey
46,42091,smoothed_wcli,2020-04-12,2020-09-03,144,0.3375403,0.1078496,1908.0831,county,fb-survey
47,42101,smoothed_wcli,2020-04-12,2020-09-03,144,0.8147219,0.1620841,2910.8524,county,fb-survey
48,42017,smoothed_wcli,2020-04-13,2020-09-03,143,0.332896,0.1018278,1576.5343,county,fb-survey
49,42029,smoothed_wcli,2020-04-13,2020-09-03,143,0.3871537,0.1636656,1158.7364,county,fb-survey
50,42041,smoothed_wcli,2020-04-13,2020-09-03,143,0.9475334,0.3573669,673.1407,county,fb-survey
51,42045,smoothed_wcli,2020-04-13,2020-09-03,143,0.3288193,0.1310162,1253.947,county,fb-survey
52,42071,smoothed_wcli,2020-04-13,2020-09-03,143,0.5569134,0.168838,1203.798,county,fb-survey
53,42091,smoothed_wcli,2020-04-13,2020-09-03,143,0.332338,0.1029544,1961.4554,county,fb-survey
54,42101,smoothed_wcli,2020-04-13,2020-09-03,143,0.9116009,0.1762968,2898.836,county,fb-survey
55,42017,smoothed_wcli,2020-04-14,2020-09-03,142,0.2991263,0.1054509,1234.2371,county,fb-survey
56,42029,smoothed_wcli,2020-04-14,2020-09-03,142,0.3532604,0.164796,1006.9149,county,fb-survey
57,42041,smoothed_wcli,2020-04-14,2020-09-03,142,1.2517097,0.4095965,629.2544,county,fb-survey
58,42045,smoothed_wcli,2020-04-14,2020-09-03,142,0.2991126,0.1449392,1013.6613,county,fb-survey
59,42071,smoothed_wcli,2020-04-14,2020-09-03,142,0.5474607,0.1706795,1134.993,county,fb-survey
60,42091,smoothed_wcli,2020-04-14,2020-09-03,142,0.42914,0.1242524,1631.9189,county,fb-survey
61,42101,smoothed_wcli,2020-04-14,2020-09-03,142,1.0003969,0.1985647,2319.8442,county,fb-survey
62,42017,smoothed_wcli,2020-04-15,2020-09-03,141,0.2993797,0.1461927,925.3801,county,fb-survey
63,42029,smoothed_wcli,2020-04-15,2020-09-03,141,0.4322206,0.2010686,798.3103,county,fb-survey
64,42041,smoothed_wcli,2020-04-15,2020-09-03,141,1.4539809,0.4508867,549.1205,county,fb-survey
65,42045,smoothed_wcli,2020-04-15,2020-09-03,141,0.2134119,0.1397465,734.0483,county,fb-survey
66,42071,smoothed_wcli,2020-04-15,2020-09-03,141,0.4186167,0.1563905,985.9086,county,fb-survey
67,42091,smoothed_wcli,2020-04-15,2020-09-03,141,0.4152429,0.1336138,1285.8374,county,fb-survey
68,42101,smoothed_wcli,2020-04-15,2020-09-03,141,0.9468019,0.2185765,1735.836,county,fb-survey
69,42017,smoothed_wcli,2020-04-16,2020-09-03,140,0.4615615,0.1994996,701.5325,county,fb-survey
70,42029,smoothed_wcli,2020-04-16,2020-09-03,140,0.6487924,0.2717598,639.8103,county,fb-survey
71,42041,smoothed_wcli,2020-04-16,2020-09-03,140,0.9028499,0.3548659,491.7633,county,fb-survey
72,42045,smoothed_wcli,2020-04-16,2020-09-03,140,0.0900134,0.1235012,521.6978,county,fb-survey
