"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6653950,3512,2755,391,1373,71,405,259,783
"2",6652861,3390,2768,489,1799,134,1015,298,900
"3",6651633,3449,2733,539,2083,211,1808,300,904
"4",6650329,3564,2734,559,2257,294,2719,296,893
"5",6648977,3686,2774,569,2372,377,3700,296,893
"6",6647588,3805,2839,578,2460,459,4726,300,906
"7",6646160,3921,2917,589,2539,540,5789,307,927
"8",6644692,4036,3001,603,2616,620,6886,315,953
"9",6643183,4153,3088,620,2695,700,8016,325,980
"10",6641630,4274,3177,637,2774,780,9183,334,1009
"11",6640033,4397,3270,655,2856,860,10384,344,1038
"12",6638390,4525,3364,674,2939,941,11624,354,1068
"13",6636700,4654,3462,693,3024,1022,12901,364,1099
"14",6634961,4788,3562,713,3111,1103,14216,375,1130
"15",6633171,4927,3664,734,3202,1185,15572,385,1163
"16",6631331,5068,3770,755,3295,1268,16968,396,1197
"17",6629438,5213,3879,776,3390,1352,18407,407,1231
"18",6627492,5362,3990,798,3489,1436,19888,419,1267
"19",6625489,5516,4104,821,3589,1521,21414,431,1303
"20",6623430,5673,4222,845,3692,1608,22986,444,1341
"21",6621312,5835,4343,869,3798,1695,24604,456,1380
"22",6619134,6001,4467,894,3908,1783,26269,469,1419
"23",6616895,6171,4594,920,4019,1873,27984,483,1459
"24",6614592,6346,4724,946,4134,1963,29750,497,1501
"25",6612224,6525,4859,973,4252,2056,31567,511,1543
"26",6609790,6709,4997,1001,4373,2149,33436,525,1587
"27",6607288,6898,5137,1029,4498,2244,35360,540,1633
"28",6604715,7092,5283,1058,4625,2341,37341,555,1678
"29",6602071,7291,5431,1088,4756,2439,39379,571,1726
"30",6599354,7494,5584,1118,4891,2539,41475,587,1774
"31",6596560,7703,5741,1149,5029,2641,43632,603,1824
"32",6593689,7917,5902,1182,5170,2745,45850,620,1876
"33",6590739,8137,6066,1215,5315,2850,48132,637,1928
"34",6587708,8363,6235,1249,5464,2957,50480,656,1982
"35",6584593,8593,6408,1284,5618,3067,52892,673,2038
"36",6581393,8830,6585,1319,5775,3178,55374,692,2094
"37",6578106,9072,6768,1356,5935,3293,57926,711,2151
"38",6574728,9321,6954,1393,6100,3409,60549,731,2212
"39",6571259,9576,7145,1432,6269,3527,63247,751,2272
"40",6567697,9836,7341,1471,6442,3648,66020,772,2335
"41",6564039,10102,7541,1511,6619,3772,68871,793,2399
"42",6560284,10374,7745,1553,6801,3898,71800,815,2465
"43",6556427,10654,7954,1595,6988,4027,74810,836,2531
"44",6552468,10938,8169,1638,7178,4159,77905,859,2600
"45",6548404,11231,8390,1682,7372,4293,81083,882,2669
"46",6544232,11530,8614,1727,7572,4431,84348,906,2742
"47",6539951,11835,8845,1774,7776,4571,87703,930,2815
"48",6535558,12147,9081,1822,7985,4715,91148,955,2891
"49",6531049,12466,9322,1870,8200,4861,94686,980,2968
"50",6526425,12792,9567,1920,8419,5011,98321,1006,3046
"51",6521679,13128,9817,1971,8643,5163,102054,1033,3127
"52",6516813,13466,10075,2023,8871,5320,105886,1060,3208
"53",6511822,13814,10338,2075,9106,5480,109820,1088,3293
"54",6506705,14168,10607,2130,9345,5643,113857,1117,3378
"55",6501458,14530,10881,2185,9589,5810,118002,1144,3467
"56",6496078,14900,11160,2241,9839,5981,122256,1174,3557
"57",6490564,15276,11446,2299,10093,6155,126621,1204,3647
"58",6484913,15659,11737,2358,10354,6333,131100,1235,3742
"59",6479123,16050,12032,2419,10621,6515,135695,1267,3837
"60",6473190,16450,12334,2480,10891,6701,140409,1298,3933
"61",6467113,16853,12645,2542,11168,6891,145242,1331,4032
"62",6460887,17268,12958,2607,11450,7085,150200,1365,4134
"63",6454513,17687,13280,2672,11736,7283,155284,1398,4234
"64",6447985,18116,13604,2738,12031,7486,160495,1433,4342
"65",6441302,18552,13936,2806,12329,7692,165838,1468,4446
"66",6434462,18995,14274,2875,12634,7903,171313,1504,4556
"67",6427461,19446,14617,2944,12944,8119,176923,1540,4666
"68",6420300,19902,14967,3015,13259,8339,182673,1577,4778
"69",6412974,20364,15324,3088,13579,8563,188562,1615,4892
"70",6405481,20835,15684,3162,13905,8793,194596,1653,5010
"71",6397817,21313,16050,3235,14238,9026,200775,1691,5128
"72",6389984,21795,16422,3313,14575,9265,207100,1732,5247
"73",6381977,22286,16798,3390,14918,9508,213578,1771,5369
"74",6373793,22785,17180,3468,15265,9756,220208,1812,5491
"75",6365433,23289,17565,3547,15619,10009,226992,1853,5617
"76",6356894,23798,17959,3627,15975,10266,233936,1894,5742
"77",6348173,24312,18357,3708,16340,10528,241036,1937,5872
"78",6339269,24833,18759,3792,16709,10796,248298,1980,6002
"79",6330178,25360,19167,3875,17080,11068,255727,2023,6132
"80",6320903,25892,19578,3960,17456,11345,263321,2067,6265
"81",6311440,26428,19993,4045,17839,11627,271084,2112,6401
"82",6301787,26968,20412,4132,18224,11914,279018,2156,6536
"83",6291943,27513,20838,4220,18612,12205,287124,2201,6673
"84",6281908,28061,21264,4310,19007,12502,295403,2248,6813
"85",6271681,28612,21696,4398,19405,12803,303861,2293,6952
"86",6261260,29167,22129,4488,19808,13109,312495,2340,7094
"87",6250645,29724,22565,4578,20213,13419,321310,2386,7235
"88",6239835,30284,23004,4670,20622,13735,330306,2434,7379
"89",6228830,30845,23445,4762,21033,14056,339485,2480,7522
"90",6217629,31409,23890,4854,21445,14381,348847,2527,7665
"91",6206233,31974,24334,4946,21861,14710,358395,2576,7811
"92",6194644,32538,24779,5040,22279,15045,368130,2624,7956
"93",6182861,33101,25226,5132,22700,15383,378051,2671,8102
"94",6170884,33663,25672,5228,23120,15726,388162,2720,8248
"95",6158713,34227,26117,5322,23544,16073,398460,2768,8395
"96",6146350,34788,26564,5415,23965,16424,408948,2815,8539
"97",6133796,35347,27010,5508,24387,16780,419627,2863,8687
"98",6121054,35899,27455,5602,24811,17138,430496,2912,8833
"99",6108123,36452,27896,5696,25233,17501,441554,2960,8977
"100",6095005,37002,28335,5790,25653,17868,452802,3008,9121
"101",6081705,37543,28774,5882,26073,18237,464241,3054,9265
"102",6068221,38081,29211,5975,26489,18610,475869,3101,9408
"103",6054560,38610,29640,6068,26908,18986,487684,3149,9552
"104",6040721,39134,30068,6159,27322,19364,499687,3195,9693
"105",6026710,39651,30490,6249,27732,19745,511878,3241,9831
"106",6012530,40158,30905,6340,28138,20128,524255,3287,9970
"107",5998181,40660,31315,6429,28541,20514,536815,3332,10106
"108",5983672,41148,31721,6517,28937,20901,549558,3376,10239
"109",5969004,41628,32118,6603,29330,21291,562481,3419,10372
"110",5954182,42094,32510,6688,29717,21681,575582,3463,10501
"111",5939209,42552,32890,6773,30100,22073,588858,3505,10630
"112",5924090,42999,33261,6854,30475,22465,602309,3546,10755
"113",5908833,43431,33625,6934,30843,22859,615931,3586,10877
"114",5893438,43849,33982,7013,31202,23252,629719,3625,10994
"115",5877914,44251,34329,7089,31554,23646,643672,3663,11112
"116",5862264,44642,34663,7165,31898,24039,657785,3701,11224
"117",5846496,45016,34987,7237,32232,24432,672056,3736,11334
"118",5830616,45375,35296,7307,32557,24823,686481,3771,11440
"119",5814630,45714,35598,7374,32872,25213,701054,3805,11540
"120",5798544,46038,35881,7440,33177,25602,715774,3838,11641
