"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6651696,540,404,280,100,1150,8286,147,29
"2",6651488,562,415,284,94,1159,8455,147,29
"3",6651277,579,428,289,91,1167,8624,151,30
"4",6651062,594,442,297,90,1176,8794,156,31
"5",6650842,609,454,305,91,1187,8967,161,32
"6",6650616,625,467,315,92,1198,9144,165,32
"7",6650383,642,480,323,94,1211,9323,170,33
"8",6650145,659,492,332,95,1224,9508,174,34
"9",6649900,677,505,341,98,1239,9696,179,35
"10",6649649,695,519,351,100,1254,9888,184,36
"11",6649390,714,533,360,103,1271,10086,188,37
"12",6649125,733,547,369,105,1289,10288,194,38
"13",6648853,752,562,379,108,1307,10494,199,39
"14",6648574,772,577,390,111,1327,10706,204,40
"15",6648287,793,592,400,114,1348,10923,210,41
"16",6647992,815,608,411,117,1369,11145,215,42
"17",6647690,836,625,421,120,1392,11372,221,43
"18",6647379,858,641,433,123,1416,11606,227,45
"19",6647060,881,659,444,127,1441,11844,233,46
"20",6646733,904,676,456,130,1467,12089,239,47
"21",6646396,929,694,469,134,1494,12340,246,48
"22",6646051,954,713,481,137,1522,12598,252,50
"23",6645697,979,732,493,141,1552,12862,259,51
"24",6645333,1006,751,507,145,1582,13132,266,52
"25",6644959,1032,771,520,149,1614,13410,273,54
"26",6644576,1060,792,534,153,1647,13694,280,55
"27",6644182,1088,813,548,157,1681,13986,287,57
"28",6643778,1117,835,563,161,1716,14285,295,58
"29",6643363,1147,857,578,166,1753,14592,303,60
"30",6642936,1178,880,594,170,1791,14907,311,62
"31",6642499,1209,903,609,175,1830,15230,319,63
"32",6642050,1241,928,626,179,1871,15562,328,65
"33",6641588,1274,953,642,184,1913,15901,337,67
"34",6641115,1308,978,659,189,1956,16250,346,69
"35",6640629,1344,1004,677,195,2001,16608,355,70
"36",6640130,1379,1031,694,200,2047,16975,364,72
"37",6639618,1416,1058,713,205,2095,17351,374,74
"38",6639092,1454,1086,732,210,2144,17738,384,76
"39",6638552,1492,1115,752,216,2194,18134,394,78
"40",6637997,1533,1145,772,222,2246,18541,405,80
"41",6637427,1573,1176,792,228,2300,18959,415,83
"42",6636843,1615,1207,814,234,2355,19388,427,85
"43",6636243,1658,1239,835,241,2413,19827,438,87
"44",6635626,1703,1273,857,247,2471,20278,449,89
"45",6634993,1748,1307,880,254,2532,20742,462,92
"46",6634344,1795,1342,904,261,2594,21217,474,94
"47",6633677,1843,1377,928,268,2659,21705,486,97
"48",6632993,1891,1414,952,275,2724,22206,499,99
"49",6632290,1942,1451,978,282,2792,22720,513,102
"50",6631568,1994,1490,1004,290,2862,23248,526,105
"51",6630828,2047,1530,1030,298,2934,23789,540,108
"52",6630067,2101,1571,1058,306,3008,24345,554,111
"53",6629286,2158,1612,1086,314,3084,24915,569,114
"54",6628485,2215,1655,1114,323,3162,25501,584,117
"55",6627663,2273,1699,1144,332,3242,26102,600,120
"56",6626819,2334,1744,1175,340,3325,26719,616,123
"57",6625952,2396,1791,1206,350,3410,27352,632,126
"58",6625062,2460,1838,1238,359,3497,28002,648,130
"59",6624149,2525,1888,1270,369,3587,28669,666,133
"60",6623211,2592,1937,1304,379,3679,29354,684,137
"61",6622249,2660,1989,1339,389,3774,30057,702,141
"62",6621261,2731,2041,1375,399,3871,30778,720,144
"63",6620247,2804,2095,1411,410,3971,31519,739,148
"64",6619206,2878,2150,1448,421,4074,32279,759,152
"65",6618138,2953,2208,1486,432,4180,33059,779,156
"66",6617042,3031,2266,1525,444,4288,33860,799,161
"67",6615917,3111,2325,1565,456,4399,34682,820,165
"68",6614762,3193,2387,1606,468,4514,35525,842,169
"69",6613577,3277,2451,1649,480,4631,36391,864,174
"70",6612361,3363,2514,1693,493,4752,37280,887,179
"71",6611113,3452,2581,1737,506,4876,38191,910,183
"72",6609833,3542,2649,1782,520,5003,39127,934,188
"73",6608518,3635,2719,1829,534,5134,40087,959,193
"74",6607170,3730,2790,1878,548,5267,41073,984,198
"75",6605786,3827,2863,1927,563,5405,42085,1010,204
"76",6604366,3928,2937,1977,578,5546,43124,1036,209
"77",6602910,4030,3014,2029,593,5691,44189,1063,214
"78",6601415,4135,3093,2081,608,5839,45283,1090,220
"79",6599883,4242,3175,2136,624,5992,46405,1119,226
"80",6598309,4352,3257,2192,641,6148,47556,1148,232
"81",6596695,4466,3342,2249,658,6309,48738,1178,238
"82",6595039,4582,3429,2307,675,6473,49951,1209,244
"83",6593341,4700,3517,2367,693,6642,51195,1240,251
"84",6591598,4822,3609,2428,711,6815,52472,1272,257
"85",6589812,4946,3703,2491,730,6992,53782,1305,264
"86",6587980,5073,3798,2556,750,7174,55126,1339,271
"87",6586099,5204,3896,2621,769,7361,56505,1373,278
