X,date,county,state,fips,cases,deaths
104,2020-05-13,San Francisco,San Francisco,06085,8813,331
105,2020-05-14,San Francisco,San Francisco,06085,8947,336
106,2020-05-15,San Francisco,San Francisco,06085,9080,340
107,2020-05-16,San Francisco,San Francisco,06085,9227,344
108,2020-05-17,San Francisco,San Francisco,06085,9378,347
109,2020-05-18,San Francisco,San Francisco,06085,9538,351
110,2020-05-19,San Francisco,San Francisco,06085,9701,354
111,2020-05-20,San Francisco,San Francisco,06085,9869,357
112,2020-05-21,San Francisco,San Francisco,06085,10042,361
113,2020-05-22,San Francisco,San Francisco,06085,10213,364
114,2020-05-23,San Francisco,San Francisco,06085,10387,367
115,2020-05-24,San Francisco,San Francisco,06085,10565,370
116,2020-05-25,San Francisco,San Francisco,06085,10750,374
117,2020-05-26,San Francisco,San Francisco,06085,10933,378
118,2020-05-27,San Francisco,San Francisco,06085,11121,381
119,2020-05-28,San Francisco,San Francisco,06085,11307,384
120,2020-05-29,San Francisco,San Francisco,06085,11482,386
121,2020-05-30,San Francisco,San Francisco,06085,11663,388
122,2020-05-31,San Francisco,San Francisco,06085,11845,391
123,2020-06-01,San Francisco,San Francisco,06085,12029,394
124,2020-06-02,San Francisco,San Francisco,06085,12219,396
125,2020-06-03,San Francisco,San Francisco,06085,12413,399
126,2020-06-04,San Francisco,San Francisco,06085,12606,402
127,2020-06-05,San Francisco,San Francisco,06085,12799,405
128,2020-06-06,San Francisco,San Francisco,06085,12997,408
129,2020-06-07,San Francisco,San Francisco,06085,13188,411
130,2020-06-08,San Francisco,San Francisco,06085,13381,414
131,2020-06-09,San Francisco,San Francisco,06085,13577,417
132,2020-06-10,San Francisco,San Francisco,06085,13783,420
133,2020-06-11,San Francisco,San Francisco,06085,13988,424
134,2020-06-12,San Francisco,San Francisco,06085,14196,428
135,2020-06-13,San Francisco,San Francisco,06085,14404,432
136,2020-06-14,San Francisco,San Francisco,06085,14629,436
137,2020-06-15,San Francisco,San Francisco,06085,14853,441
138,2020-06-16,San Francisco,San Francisco,06085,15107,445
139,2020-06-17,San Francisco,San Francisco,06085,15386,448
140,2020-06-18,San Francisco,San Francisco,06085,15690,452
141,2020-06-19,San Francisco,San Francisco,06085,16002,457
142,2020-06-20,San Francisco,San Francisco,06085,16339,461
143,2020-06-21,San Francisco,San Francisco,06085,16678,466
144,2020-06-22,San Francisco,San Francisco,06085,17062,471
145,2020-06-23,San Francisco,San Francisco,06085,17466,475
146,2020-06-24,San Francisco,San Francisco,06085,17899,480
147,2020-06-25,San Francisco,San Francisco,06085,18373,484
148,2020-06-26,San Francisco,San Francisco,06085,18881,488
149,2020-06-27,San Francisco,San Francisco,06085,19400,492
150,2020-06-28,San Francisco,San Francisco,06085,19943,496
151,2020-06-29,San Francisco,San Francisco,06085,20489,500
152,2020-06-30,San Francisco,San Francisco,06085,21055,504
153,2020-07-01,San Francisco,San Francisco,06085,21618,509
154,2020-07-02,San Francisco,San Francisco,06085,22194,512
155,2020-07-03,San Francisco,San Francisco,06085,22776,516
156,2020-07-04,San Francisco,San Francisco,06085,23387,520
157,2020-07-05,San Francisco,San Francisco,06085,23999,524
158,2020-07-06,San Francisco,San Francisco,06085,24619,527
