X,date,county,state,fips,cases,deaths
254,2020-10-10,San Francisco,San Francisco,06085,84498,1314
255,2020-10-11,San Francisco,San Francisco,06085,84767,1321
256,2020-10-12,San Francisco,San Francisco,06085,85049,1328
257,2020-10-13,San Francisco,San Francisco,06085,85350,1334
258,2020-10-14,San Francisco,San Francisco,06085,85662,1339
259,2020-10-15,San Francisco,San Francisco,06085,85983,1344
260,2020-10-16,San Francisco,San Francisco,06085,86296,1350
261,2020-10-17,San Francisco,San Francisco,06085,86618,1356
262,2020-10-18,San Francisco,San Francisco,06085,86946,1362
263,2020-10-19,San Francisco,San Francisco,06085,87278,1368
264,2020-10-20,San Francisco,San Francisco,06085,87619,1375
265,2020-10-21,San Francisco,San Francisco,06085,87970,1381
266,2020-10-22,San Francisco,San Francisco,06085,88329,1387
267,2020-10-23,San Francisco,San Francisco,06085,88690,1393
268,2020-10-24,San Francisco,San Francisco,06085,89071,1400
269,2020-10-25,San Francisco,San Francisco,06085,89453,1406
270,2020-10-26,San Francisco,San Francisco,06085,89833,1413
271,2020-10-27,San Francisco,San Francisco,06085,90222,1419
272,2020-10-28,San Francisco,San Francisco,06085,90607,1425
273,2020-10-29,San Francisco,San Francisco,06085,91005,1430
274,2020-10-30,San Francisco,San Francisco,06085,91401,1434
275,2020-10-31,San Francisco,San Francisco,06085,91810,1439
276,2020-11-01,San Francisco,San Francisco,06085,92250,1445
277,2020-11-02,San Francisco,San Francisco,06085,92718,1451
278,2020-11-03,San Francisco,San Francisco,06085,93215,1456
279,2020-11-04,San Francisco,San Francisco,06085,93734,1461
280,2020-11-05,San Francisco,San Francisco,06085,94272,1467
281,2020-11-06,San Francisco,San Francisco,06085,94811,1472
282,2020-11-07,San Francisco,San Francisco,06085,95389,1478
283,2020-11-08,San Francisco,San Francisco,06085,96003,1484
284,2020-11-09,San Francisco,San Francisco,06085,96640,1489
285,2020-11-10,San Francisco,San Francisco,06085,97339,1495
