day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,304410
1,2,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,318034
1,3,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,303760
1,4,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,294630
1,5,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,314185
1,6,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,311571
1,7,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,313115
1,8,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,320867
1,9,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,304873
1,10,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,307682
1,11,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,299940
1,12,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,312715
1,13,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,320897
1,14,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,307731
1,15,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,314781
1,16,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,294926
1,17,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,306676
1,18,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,307718
1,19,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,318337
1,20,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,313557
1,21,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,321160
1,22,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,314519
1,23,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,313489
1,24,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,314383
1,25,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,304610
1,26,6583151,4733,7170,531,126,1777,9604,0,0,0,0,0,0,375,277,98,64162,428,0,0,0,0,0,0,303991
