"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6049628,13471,11676,920,14734,3365,251551,565,4660
"2",6045534,12920,11245,999,14180,3406,257061,549,4527
"3",6041564,12435,10811,1016,13651,3459,262409,528,4361
"4",6037732,11979,10399,1005,13135,3513,267582,509,4191
"5",6034042,11539,10008,980,12638,3563,272575,489,4032
"6",6030489,11112,9636,949,12161,3608,277390,471,3881
"7",6027070,10700,9278,916,11704,3646,282032,453,3736
"8",6023779,10301,8934,884,11265,3677,286505,436,3597
"9",6020613,9915,8602,852,10845,3702,290817,420,3464
"10",6017566,9543,8281,821,10441,3720,294973,404,3336
"11",6014634,9184,7972,790,10051,3733,298981,389,3211
"12",6011813,8839,7673,761,9676,3741,302844,375,3091
"13",6009098,8505,7385,733,9314,3743,306568,361,2975
"14",6006486,8185,7107,705,8965,3740,310157,347,2863
"15",6003974,7874,6839,679,8629,3733,313616,334,2756
"16",6001556,7577,6581,653,8306,3722,316950,322,2652
"17",5999230,7290,6332,629,7994,3707,320163,309,2552
"18",5996993,7014,6093,605,7692,3688,323260,298,2455
"19",5994840,6748,5862,582,7402,3666,326244,287,2363
"20",5992771,6491,5640,560,7123,3640,329119,276,2274
"21",5990779,6244,5426,539,6854,3612,331890,265,2187
"22",5988864,6006,5220,519,6594,3582,334560,255,2103
"23",5987024,5776,5021,499,6344,3549,337132,246,2024
"24",5985253,5555,4830,480,6104,3513,339610,236,1947
"25",5983550,5343,4645,462,5871,3476,341998,227,1872
"26",5981911,5140,4467,444,5648,3437,344298,218,1801
"27",5980337,4942,4297,427,5432,3397,346513,210,1732
"28",5978822,4752,4133,411,5224,3355,348647,202,1666
"29",5977366,4569,3975,395,5025,3311,350702,194,1602
"30",5975966,4394,3823,380,4833,3267,352682,187,1542
"31",5974620,4225,3676,365,4649,3221,354589,180,1482
"32",5973326,4062,3535,351,4471,3175,356425,173,1425
"33",5972081,3906,3399,338,4300,3128,358193,166,1370
"34",5970884,3756,3269,325,4135,3080,359897,160,1318
"35",5969733,3611,3143,313,3977,3031,361538,154,1268
"36",5968627,3472,3022,301,3824,2982,363118,148,1219
"37",5967564,3338,2905,289,3677,2933,364640,142,1172
"38",5966542,3209,2793,278,3536,2883,366105,137,1127
"39",5965559,3085,2685,267,3399,2834,367516,131,1083
"40",5964614,2966,2581,257,3268,2784,368874,126,1041
"41",5963706,2852,2482,247,3143,2734,370182,121,1001
"42",5962833,2741,2386,237,3021,2684,371442,117,962
"43",5961994,2635,2294,228,2905,2634,372656,112,925
"44",5961187,2533,2205,219,2793,2584,373824,108,890
"45",5960412,2435,2120,211,2685,2534,374948,104,855
"46",5959666,2341,2038,203,2581,2485,376032,100,822
"47",5958950,2250,1959,195,2481,2436,377075,96,790
"48",5958261,2162,1883,187,2385,2387,378078,92,759
"49",5957600,2079,1810,180,2293,2339,379045,89,730
"50",5956963,1998,1740,173,2204,2291,379975,85,702
"51",5956352,1921,1673,166,2119,2244,380871,82,674
"52",5955764,1846,1608,160,2037,2197,381734,79,649
"53",5955199,1775,1546,154,1958,2150,382564,75,623
"54",5954655,1706,1485,148,1882,2104,383364,73,599
"55",5954133,1640,1428,142,1809,2058,384134,70,576
"56",5953632,1576,1373,137,1739,2013,384876,67,554
"57",5953150,1514,1319,131,1671,1969,385590,65,532
"58",5952687,1455,1268,126,1606,1925,386277,62,512
"59",5952242,1399,1218,121,1544,1882,386938,60,492
"60",5951814,1345,1171,116,1484,1840,387576,57,473
"61",5951402,1292,1126,112,1426,1798,388189,55,454
"62",5951007,1242,1082,108,1371,1756,388779,53,437
"63",5950627,1194,1040,103,1318,1716,389348,51,419
"64",5950262,1147,999,99,1267,1676,389895,49,403
"65",5949911,1103,960,95,1217,1637,390422,47,387
"66",5949574,1060,923,92,1170,1598,390929,45,372
"67",5949249,1018,887,88,1124,1560,391418,43,358
"68",5948938,979,852,85,1081,1523,391888,42,344
"69",5948639,941,819,82,1038,1486,392341,40,331
"70",5948351,904,787,78,998,1450,392776,38,318
"71",5948075,869,757,75,959,1415,393196,37,305
"72",5947809,835,727,72,922,1380,393599,36,293
"73",5947553,803,699,70,886,1346,393988,34,282
"74",5947308,771,672,67,851,1313,394363,33,271
"75",5947072,741,646,64,818,1280,394723,32,260
"76",5946846,712,621,62,786,1248,395070,30,250
"77",5946628,684,596,59,756,1217,395404,29,241
"78",5946419,658,573,57,727,1186,395726,28,232
"79",5946217,632,550,55,699,1156,396036,27,222
"80",5946024,608,529,53,671,1127,396334,26,213
"81",5945838,584,509,51,645,1098,396621,25,205
"82",5945659,561,489,49,620,1070,396897,24,197
"83",5945488,539,470,47,596,1043,397163,23,190
"84",5945323,518,451,45,572,1016,397420,22,182
"85",5945165,498,434,43,550,989,397666,21,175
"86",5945012,479,417,42,529,964,397904,20,168
"87",5944866,459,401,40,508,938,398132,20,162
"88",5944725,442,385,38,488,914,398353,19,155
"89",5944590,425,370,37,469,890,398565,18,149
"90",5944460,408,355,35,451,866,398769,17,143
"91",5944336,392,342,34,433,843,398965,17,138
"92",5944216,377,328,33,416,821,399154,16,132
"93",5944100,362,316,31,400,799,399336,15,127
"94",5943990,348,303,30,385,778,399512,15,122
"95",5943883,335,291,29,370,757,399681,14,118
"96",5943781,322,280,28,355,736,399843,14,113
"97",5943682,309,269,27,341,716,4e+05,13,109
"98",5943588,297,259,26,328,697,400151,13,104
"99",5943497,285,249,25,315,678,400296,12,100
"100",5943410,274,239,24,303,659,400436,12,97
"101",5943326,263,230,23,291,641,400571,11,93
"102",5943245,253,221,22,280,624,400700,11,89
"103",5943168,243,212,21,269,607,400825,10,85
"104",5943094,234,204,20,258,590,400945,10,82
"105",5943022,225,196,19,248,574,401061,10,79
"106",5942953,216,188,19,239,558,401172,9,76
"107",5942888,207,181,18,229,542,401280,9,73
"108",5942824,199,174,17,220,527,401383,9,70
"109",5942763,192,167,17,212,513,401483,8,67
"110",5942704,184,160,16,203,498,401578,8,65
"111",5942648,177,154,15,196,484,401671,8,62
"112",5942594,170,148,15,188,471,401760,7,60
"113",5942542,163,142,14,180,457,401845,7,57
"114",5942492,157,137,14,173,445,401928,7,55
"115",5942444,151,131,13,167,432,402007,6,53
"116",5942398,145,126,13,160,420,402083,6,51
"117",5942354,139,121,12,154,408,402157,6,49
"118",5942312,134,117,12,148,396,402228,6,47
"119",5942271,129,112,11,142,385,402296,5,45
"120",5942231,124,108,11,136,374,402361,5,43
