X,date,county,state,fips,cases,deaths
223,2020-10-14,South Florida,Florida,12011,287710,6108
224,2020-10-15,South Florida,Florida,12011,288498,6138
225,2020-10-16,South Florida,Florida,12011,289364,6165
226,2020-10-17,South Florida,Florida,12011,290318,6194
227,2020-10-18,South Florida,Florida,12011,291240,6219
228,2020-10-19,South Florida,Florida,12011,292190,6244
229,2020-10-20,South Florida,Florida,12011,293182,6266
230,2020-10-21,South Florida,Florida,12011,294217,6286
231,2020-10-22,South Florida,Florida,12011,295303,6305
232,2020-10-23,South Florida,Florida,12011,296422,6323
233,2020-10-24,South Florida,Florida,12011,297598,6339
234,2020-10-25,South Florida,Florida,12011,298765,6356
235,2020-10-26,South Florida,Florida,12011,300031,6372
236,2020-10-27,South Florida,Florida,12011,301352,6387
237,2020-10-28,South Florida,Florida,12011,302754,6399
238,2020-10-29,South Florida,Florida,12011,304130,6411
239,2020-10-30,South Florida,Florida,12011,305610,6421
240,2020-10-31,South Florida,Florida,12011,307135,6431
241,2020-11-01,South Florida,Florida,12011,308718,6442
242,2020-11-02,South Florida,Florida,12011,310416,6452
243,2020-11-03,South Florida,Florida,12011,312105,6463
244,2020-11-04,South Florida,Florida,12011,313747,6474
245,2020-11-05,South Florida,Florida,12011,315391,6484
246,2020-11-06,South Florida,Florida,12011,317048,6495
247,2020-11-07,South Florida,Florida,12011,318879,6506
248,2020-11-08,South Florida,Florida,12011,320701,6516
249,2020-11-09,South Florida,Florida,12011,322720,6525
250,2020-11-10,South Florida,Florida,12011,324743,6534
251,2020-11-11,South Florida,Florida,12011,326898,6545
252,2020-11-12,South Florida,Florida,12011,329077,6556
253,2020-11-13,South Florida,Florida,12011,331354,6569
254,2020-11-14,South Florida,Florida,12011,333771,6581
255,2020-11-15,South Florida,Florida,12011,336225,6594
256,2020-11-16,South Florida,Florida,12011,338798,6607
257,2020-11-17,South Florida,Florida,12011,341492,6622
258,2020-11-18,South Florida,Florida,12011,344305,6637
259,2020-11-19,South Florida,Florida,12011,347210,6652
260,2020-11-20,South Florida,Florida,12011,349886,6666
261,2020-11-21,South Florida,Florida,12011,352904,6681
262,2020-11-22,South Florida,Florida,12011,355784,6698
263,2020-11-23,South Florida,Florida,12011,358764,6715
264,2020-11-24,South Florida,Florida,12011,361735,6732
265,2020-11-25,South Florida,Florida,12011,364745,6748
266,2020-11-26,South Florida,Florida,12011,367786,6766
267,2020-11-27,South Florida,Florida,12011,370867,6785
268,2020-11-28,South Florida,Florida,12011,374003,6805
269,2020-11-29,South Florida,Florida,12011,377211,6826
270,2020-11-30,South Florida,Florida,12011,380473,6845
271,2020-12-01,South Florida,Florida,12011,383739,6867
272,2020-12-02,South Florida,Florida,12011,387004,6887
273,2020-12-03,South Florida,Florida,12011,390529,6909
274,2020-12-04,South Florida,Florida,12011,393868,6931
275,2020-12-05,South Florida,Florida,12011,397295,6954
276,2020-12-06,South Florida,Florida,12011,400749,6975
277,2020-12-07,South Florida,Florida,12011,404234,6998
278,2020-12-08,South Florida,Florida,12011,407706,7021
279,2020-12-09,South Florida,Florida,12011,411139,7044
280,2020-12-10,South Florida,Florida,12011,414581,7067
281,2020-12-11,South Florida,Florida,12011,418044,7088
282,2020-12-12,South Florida,Florida,12011,421554,7110
283,2020-12-13,South Florida,Florida,12011,425107,7132
284,2020-12-14,South Florida,Florida,12011,428667,7153
285,2020-12-15,South Florida,Florida,12011,432263,7178
286,2020-12-16,South Florida,Florida,12011,435862,7202
287,2020-12-17,South Florida,Florida,12011,439435,7226
288,2020-12-18,South Florida,Florida,12011,443025,7249
289,2020-12-19,South Florida,Florida,12011,446359,7272
290,2020-12-20,South Florida,Florida,12011,449838,7296
291,2020-12-21,South Florida,Florida,12011,453276,7319
292,2020-12-22,South Florida,Florida,12011,456712,7342
293,2020-12-23,South Florida,Florida,12011,460164,7365
294,2020-12-24,South Florida,Florida,12011,463630,7388
295,2020-12-25,South Florida,Florida,12011,467160,7412
296,2020-12-26,South Florida,Florida,12011,470399,7435
297,2020-12-27,South Florida,Florida,12011,474117,7461
298,2020-12-28,South Florida,Florida,12011,477771,7485
299,2020-12-29,South Florida,Florida,12011,481472,7510
300,2020-12-30,South Florida,Florida,12011,485278,7535
301,2020-12-31,South Florida,Florida,12011,489183,7557
302,2021-01-01,South Florida,Florida,12011,493534,7584
303,2021-01-02,South Florida,Florida,12011,497945,7612
304,2021-01-03,South Florida,Florida,12011,502515,7641
305,2021-01-04,South Florida,Florida,12011,507153,7674
306,2021-01-05,South Florida,Florida,12011,511764,7708
307,2021-01-06,South Florida,Florida,12011,516383,7743
308,2021-01-07,South Florida,Florida,12011,520917,7777
309,2021-01-08,South Florida,Florida,12011,525796,7816
310,2021-01-09,South Florida,Florida,12011,530339,7852
311,2021-01-10,South Florida,Florida,12011,534972,7890
312,2021-01-11,South Florida,Florida,12011,539610,7930
313,2021-01-12,South Florida,Florida,12011,544115,7972
314,2021-01-13,South Florida,Florida,12011,548468,8016
315,2021-01-14,South Florida,Florida,12011,552671,8058
316,2021-01-15,South Florida,Florida,12011,556705,8097
317,2021-01-16,South Florida,Florida,12011,560693,8137
318,2021-01-17,South Florida,Florida,12011,564685,8176
319,2021-01-18,South Florida,Florida,12011,568623,8214
320,2021-01-19,South Florida,Florida,12011,572471,8255
321,2021-01-20,South Florida,Florida,12011,576241,8294
322,2021-01-21,South Florida,Florida,12011,579853,8331
323,2021-01-22,South Florida,Florida,12011,583362,8369
324,2021-01-23,South Florida,Florida,12011,586846,8405
325,2021-01-24,South Florida,Florida,12011,590378,8441
326,2021-01-25,South Florida,Florida,12011,593877,8478
327,2021-01-26,South Florida,Florida,12011,597314,8515
328,2021-01-27,South Florida,Florida,12011,600707,8555
329,2021-01-28,South Florida,Florida,12011,603968,8594
330,2021-01-29,South Florida,Florida,12011,607130,8634
331,2021-01-30,South Florida,Florida,12011,610327,8675
332,2021-01-31,South Florida,Florida,12011,613488,8714
333,2021-02-01,South Florida,Florida,12011,616579,8753
334,2021-02-02,South Florida,Florida,12011,619619,8794
335,2021-02-03,South Florida,Florida,12011,622659,8836
336,2021-02-04,South Florida,Florida,12011,625636,8876
337,2021-02-05,South Florida,Florida,12011,628563,8917
