"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6227366,49623,38189,1193,23379,158,5437,808,13572
"2",6211177,48704,38693,1514,30994,351,13912,932,15673
"3",6192819,50265,38672,1682,36181,592,25134,943,15875
"4",6173141,52611,39185,1765,39579,853,38211,944,15876
"5",6152507,55106,40288,1819,42016,1118,52491,955,16081
"6",6131015,57593,41769,1872,44066,1384,67645,983,16540
"7",6108698,60048,43470,1932,46013,1651,83534,1017,17145
"8",6085519,62522,45276,2004,47986,1918,100121,1060,17839
"9",6061453,65026,47149,2084,50022,2188,117422,1105,18583
"10",6036485,67576,49069,2168,52121,2463,135464,1149,19349
"11",6010591,70161,51039,2254,54295,2741,154263,1195,20143
"12",5983755,72802,53046,2344,56525,3027,173846,1244,20944
"13",5955960,75487,55092,2441,58802,3317,194248,1295,21770
"14",5927203,78209,57172,2537,61131,3613,215481,1345,22609
"15",5897473,80977,59276,2634,63514,3915,237556,1394,23464
"16",5866776,83754,61419,2733,65942,4223,260498,1447,24330
"17",5835105,86547,63597,2831,68411,4538,284317,1497,25204
"18",5802455,89354,65784,2934,70924,4859,309035,1550,26106
"19",5768828,92166,67998,3038,73466,5185,334663,1604,26996
"20",5734240,94978,70215,3142,76032,5519,361219,1657,27902
"21",5698697,97770,72435,3247,78634,5857,388705,1711,28821
"22",5662204,100546,74653,3354,81250,6203,417136,1767,29732
"23",5624773,103308,76865,3459,83868,6555,446517,1820,30636
"24",5586438,106020,79068,3566,86487,6911,476855,1876,31544
"25",5547219,108678,81252,3673,89113,7277,508133,1929,32447
"26",5507155,111273,83394,3773,91728,7648,540374,1979,33349
"27",5466267,113800,85493,3879,94324,8022,573560,2036,34226
"28",5424595,116238,87554,3981,96890,8399,607687,2086,35086
"29",5382169,118578,89576,4082,99403,8781,642756,2136,35929
"30",5339060,120797,91517,4178,101886,9168,678738,2184,36764
"31",5295261,122945,93382,4272,104315,9558,715611,2231,37555
"32",5250871,124944,95171,4366,106669,9952,753373,2278,38325
"33",5205936,126795,96872,4453,108944,10349,791996,2322,39061
"34",5160492,128510,98487,4535,111133,10748,831439,2359,39755
"35",5114635,130063,99967,4616,113236,11146,871682,2402,40423
"36",5068396,131455,101344,4693,115223,11543,912691,2439,41032
"37",5021843,132678,102608,4765,117086,11943,954423,2472,41593
"38",4975054,133701,103770,4829,118814,12337,996839,2501,42103
"39",4928096,134560,104761,4891,120424,12732,1039881,2534,42575
"40",4881033,135223,105618,4943,121888,13124,1083515,2555,42988
"41",4833947,135673,106333,4991,123199,13510,1127693,2576,43346
"42",4786886,135955,106875,5031,124355,13892,1172351,2595,43641
"43",4739948,136013,107284,5064,125337,14267,1217432,2606,43865
"44",4693181,135871,107544,5089,126149,14636,1262875,2615,44034
"45",4646666,135542,107620,5112,126785,14996,1308623,2625,44142
"46",4600465,134995,107573,5121,127231,15347,1354612,2623,44172
"47",4554667,134243,107355,5123,127514,15689,1400754,2621,44147
"48",4509296,133325,106975,5120,127602,16019,1447010,2617,44054
"49",4464429,132217,106434,5107,127509,16340,1493308,2608,43906
"50",4420135,130923,105751,5093,127218,16645,1539580,2596,43676
"51",4376473,129437,104923,5064,126750,16938,1585759,2577,43399
"52",4333470,127809,103942,5032,126095,17219,1631777,2559,43053
"53",4291196,126007,102830,4998,125261,17482,1677571,2538,42650
"54",4249683,124071,101567,4949,124274,17734,1723067,2507,42205
"55",4208976,121993,100204,4894,123093,17968,1768217,2476,41671
"56",4169113,119780,98720,4832,121763,18187,1812950,2442,41118
"57",4130126,117464,97099,4768,120291,18385,1857212,2408,40516
"58",4092043,115036,95392,4695,118659,18568,1900952,2367,39851
"59",4054888,112534,93573,4616,116907,18731,1944095,2325,39152
"60",4018700,109914,91696,4537,114999,18876,1986623,2282,38403
"61",3983469,107243,89725,4457,112981,19004,2028466,2239,37635
"62",3949216,104516,87696,4363,110838,19114,2069601,2186,36823
"63",3915963,101731,85610,4274,108599,19203,2109966,2140,35984
"64",3883703,98910,83472,4177,106281,19276,2149526,2089,35129
"65",3852449,96064,81274,4075,103906,19329,2188247,2035,34263
