"","S","E","P","I","A","H","R","Onset_expect","Onset_unreported_expect"
"1",6335484,4140,3181,1184,744,157,453,799,400
"2",6334124,4072,3226,1501,948,349,1123,922,461
"3",6332581,4212,3227,1668,1089,588,1979,935,468
"4",6330938,4403,3276,1750,1181,846,2950,935,468
"5",6329230,4593,3369,1804,1249,1110,3989,950,475
"6",6327465,4774,3488,1858,1306,1373,5080,976,489
"7",6325639,4953,3618,1919,1362,1637,6216,1011,506
"8",6323748,5137,3753,1986,1416,1902,7402,1048,524
"9",6321788,5326,3892,2058,1472,2170,8639,1088,544
"10",6319755,5522,4037,2133,1529,2441,9928,1128,564
"11",6317647,5725,4186,2212,1587,2715,11272,1170,585
"12",6315462,5936,4340,2293,1646,2994,12672,1213,607
"13",6313198,6153,4500,2378,1708,3276,14130,1258,629
"14",6310850,6380,4665,2466,1772,3563,15649,1304,652
"15",6308416,6613,4837,2556,1837,3855,17229,1352,677
"16",6305894,6856,5014,2650,1905,4153,18873,1401,702
"17",6303280,7106,5198,2748,1976,4456,20582,1453,727
"18",6300571,7365,5388,2848,2048,4765,22359,1506,754
"19",6297764,7632,5585,2952,2124,5081,24206,1561,782
"20",6294856,7908,5788,3060,2201,5404,26126,1618,810
"21",6291843,8195,5998,3172,2282,5734,28121,1677,840
"22",6288722,8491,6216,3287,2365,6072,30192,1738,870
"23",6285489,8796,6440,3407,2451,6418,32344,1801,901
"24",6282140,9112,6673,3530,2540,6771,34577,1866,934
"25",6278672,9437,6914,3659,2632,7134,36895,1934,968
"26",6275080,9775,7163,3790,2728,7506,39302,2003,1003
"27",6271361,10123,7421,3927,2826,7887,41800,2075,1039
"28",6267510,10483,7684,4069,2928,8278,44392,2150,1076
"29",6263523,10855,7958,4214,3033,8681,47080,2227,1115
"30",6259397,11238,8241,4364,3141,9094,49868,2306,1154
"31",6255126,11634,8533,4519,3254,9518,52760,2388,1195
"32",6250707,12042,8835,4680,3369,9955,55757,2472,1238
"33",6246133,12463,9146,4845,3489,10403,58864,2559,1282
"34",6241402,12897,9467,5016,3612,10864,62085,2650,1327
"35",6236508,13344,9798,5192,3741,11338,65423,2742,1374
"36",6231447,13804,10139,5374,3872,11826,68881,2838,1422
"37",6226214,14277,10491,5563,4008,12327,72464,2937,1471
"38",6220801,14766,10853,5757,4148,12844,76175,3040,1522
"39",6215205,15271,11226,5956,4291,13375,80019,3144,1574
"40",6209422,15788,11612,6161,4440,13922,83998,3252,1629
"41",6203446,16320,12006,6374,4595,14485,88117,3364,1685
"42",6197270,16869,12413,6592,4753,15065,92382,3478,1742
"43",6190890,17431,12834,6816,4915,15661,96797,3596,1801
"44",6184300,18011,13264,7048,5083,16275,101364,3719,1862
"45",6177494,18606,13707,7286,5255,16907,106089,3842,1925
"46",6170465,19219,14164,7530,5433,17558,110976,3970,1989
"47",6163212,19845,14633,7781,5614,18228,116031,4102,2055
"48",6155725,20489,15114,8040,5802,18916,121257,4239,2123
"49",6148000,21149,15608,8305,5995,19625,126662,4378,2194
"50",6140029,21825,16115,8578,6193,20356,132247,4521,2265
"51",6131810,22519,16634,8858,6396,21108,138018,4668,2339
"52",6123333,23231,17167,9146,6605,21880,143983,4819,2414
"53",6114595,23959,17714,9441,6818,22675,150143,4972,2491
"54",6105590,24703,18273,9743,7038,23493,156504,5131,2571
"55",6096313,25463,18845,10052,7263,24334,163074,5293,2652
"56",6086756,26239,19432,10369,7494,25199,169855,5459,2735
"57",6076914,27033,20031,10694,7730,26087,176855,5629,2820
"58",6066782,27843,20644,11026,7972,27000,184077,5801,2908
"59",6056356,28669,21269,11365,8220,27937,191529,5979,2996
"60",6045628,29511,21908,11713,8472,28899,199213,6160,3087
"61",6034595,30369,22558,12066,8731,29888,207137,6345,3180
"62",6023251,31242,23221,12428,8995,30903,215304,6534,3274
"63",6011589,32131,23897,12798,9264,31944,223721,6726,3371
"64",5999607,33034,24587,13173,9539,33012,232392,6920,3469
"65",5987302,33948,25286,13556,9819,34107,241325,7121,3569
"66",5974667,34877,25998,13946,10104,35229,250522,7324,3670
"67",5961699,35819,26721,14343,10394,36380,259989,7530,3774
"68",5948395,36771,27455,14746,10688,37557,269732,7739,3879
"69",5934750,37736,28198,15155,10988,38763,279754,7951,3986
"70",5920761,38712,28950,15571,11293,39996,290062,8166,4094
"71",5906427,39698,29712,15990,11602,41257,300658,8384,4203
"72",5891745,40693,30480,16417,11915,42547,311548,8605,4314
"73",5876714,41692,31260,16846,12232,43865,322735,8827,4426
"74",5861331,42697,32044,17285,12552,45210,334224,9054,4538
"75",5845595,43708,32837,17724,12876,46584,346020,9280,4653
"76",5829506,44726,33631,18169,13204,47985,358124,9510,4768
"77",5813063,45746,34432,18615,13534,49413,370542,9740,4883
"78",5796268,46767,35238,19063,13865,50869,383275,9970,4998
"79",5779123,47785,36042,19518,14200,52350,396325,10206,5116
"80",5761628,48804,36849,19971,14536,53859,409697,10437,5232
"81",5743786,49816,37656,20427,14874,55392,423392,10672,5351
"82",5725601,50824,38461,20884,15212,56951,437412,10905,5467
"83",5707071,51828,39265,21338,15551,58533,451758,11136,5585
"84",5688205,52823,40065,21796,15888,60138,466429,11372,5700
"85",5669005,53810,40860,22249,16225,61767,481427,11602,5816
"86",5649480,54781,41651,22701,16563,63416,496753,11832,5933
"87",5629634,55736,42430,23153,16899,65085,512407,12063,6048
"88",5609471,56680,43201,23598,17232,66775,528387,12288,6160
"89",5589004,57602,43962,24039,17563,68481,544692,12511,6273
"90",5568238,58504,44712,24474,17890,70204,561321,12731,6383
"91",5547181,59387,45446,24903,18213,71945,578269,12948,6492
"92",5525846,60244,46165,25325,18531,73697,595536,13160,6598
"93",5504241,61075,46866,25740,18843,75461,613117,13370,6703
"94",5482377,61880,47550,26145,19149,77236,631008,13571,6804
"95",5460267,62651,48214,26543,19450,79018,649201,13772,6903
"96",5437919,63396,48854,26930,19742,80808,667694,13963,6999
"97",5415347,64106,49476,27302,20027,82603,686482,14147,7093
"98",5392569,64778,50071,27667,20304,84400,705556,14329,7183
"99",5369593,65420,50635,28015,20571,86198,724912,14501,7269
"100",5346438,66013,51180,28349,20828,87994,744541,14664,7351
"101",5323118,66570,51691,28670,21076,89786,764432,14822,7430
"102",5299649,67085,52170,28975,21313,91573,784579,14970,7505
"103",5276045,67557,52620,29262,21537,93350,804972,15109,7574
"104",5252321,67987,53034,29536,21751,95116,825600,15241,7639
"105",5228498,68366,53421,29788,21948,96868,846456,15360,7698
"106",5204591,68699,53767,30023,22135,98604,867526,15472,7755
"107",5180617,68984,54079,30238,22307,100322,888798,15572,7805
"108",5156592,69221,54354,30435,22465,102016,910262,15664,7850
"109",5132534,69409,54592,30608,22608,103689,931904,15741,7890
"110",5108467,69542,54790,30765,22736,105333,953711,15812,7924
"111",5084400,69628,54948,30899,22849,106950,975670,15869,7953
"112",5060354,69664,55067,31011,22945,108535,997767,15917,7974
"113",5036345,69651,55146,31100,23025,110086,1019991,15951,7993
"114",5012392,69585,55189,31165,23088,111601,1042324,15972,8003
"115",4988519,69464,55188,31210,23134,113075,1064754,15987,8008
"116",4964734,69296,55145,31233,23166,114507,1087263,15986,8009
"117",4941059,69077,55064,31231,23182,115896,1109835,15972,8003
"118",4917507,68809,54943,31207,23179,117239,1132460,15950,7991
"119",4894096,68494,54783,31161,23160,118532,1155119,15914,7973
"120",4870843,68126,54584,31090,23123,119775,1177803,15869,7950
