X,date,county,state,fips,cases,deaths
223,2020-10-14,South Florida,Florida,12011,287710,6108
224,2020-10-15,South Florida,Florida,12011,288498,6138
225,2020-10-16,South Florida,Florida,12011,289364,6165
226,2020-10-17,South Florida,Florida,12011,290318,6194
227,2020-10-18,South Florida,Florida,12011,291240,6219
228,2020-10-19,South Florida,Florida,12011,292190,6244
229,2020-10-20,South Florida,Florida,12011,293182,6266
230,2020-10-21,South Florida,Florida,12011,294217,6286
231,2020-10-22,South Florida,Florida,12011,295303,6305
232,2020-10-23,South Florida,Florida,12011,296422,6323
233,2020-10-24,South Florida,Florida,12011,297598,6339
234,2020-10-25,South Florida,Florida,12011,298765,6356
235,2020-10-26,South Florida,Florida,12011,300031,6372
236,2020-10-27,South Florida,Florida,12011,301352,6387
237,2020-10-28,South Florida,Florida,12011,302754,6399
238,2020-10-29,South Florida,Florida,12011,304130,6411
239,2020-10-30,South Florida,Florida,12011,305610,6421
240,2020-10-31,South Florida,Florida,12011,307135,6431
241,2020-11-01,South Florida,Florida,12011,308718,6442
242,2020-11-02,South Florida,Florida,12011,310416,6452
243,2020-11-03,South Florida,Florida,12011,312105,6463
244,2020-11-04,South Florida,Florida,12011,313747,6474
245,2020-11-05,South Florida,Florida,12011,315391,6484
246,2020-11-06,South Florida,Florida,12011,317048,6495
247,2020-11-07,South Florida,Florida,12011,318879,6506
248,2020-11-08,South Florida,Florida,12011,320701,6516
249,2020-11-09,South Florida,Florida,12011,322720,6525
250,2020-11-10,South Florida,Florida,12011,324743,6534
251,2020-11-11,South Florida,Florida,12011,326898,6545
252,2020-11-12,South Florida,Florida,12011,329077,6556
253,2020-11-13,South Florida,Florida,12011,331354,6569
