day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,2491944,35992,21743,3928,760,11200,37631,0,0,0,0,0,0,284,163,121,3775521,3973,0,0,0,0,0,0,0,1938726
1,2,2493767,35462,21675,3860,852,11106,37493,0,0,0,0,0,0,290,174,116,3774240,4093,0,0,0,0,0,0,0,1937210
1,3,2493125,35735,21849,3816,806,11251,37722,0,0,0,0,0,0,280,143,137,3774498,3985,0,0,0,0,0,0,0,1935496
1,4,2493409,35302,22015,3984,794,11246,38039,0,0,0,0,0,0,290,152,138,3774355,3950,0,0,0,0,0,0,0,1928006
1,5,2492990,35548,21515,3988,844,11050,37397,0,0,0,0,0,0,301,189,112,3775181,3928,0,0,0,0,0,0,0,1924345
1,6,2492367,35525,21674,3829,786,11140,37429,0,0,0,0,0,0,338,187,151,3775606,4080,0,0,0,0,0,0,0,1928291
1,7,2493457,35416,21790,3983,801,11214,37788,0,0,0,0,0,0,316,178,138,3774322,4046,0,0,0,0,0,0,0,1936839
1,8,2496668,35401,21806,3862,799,11154,37621,0,0,0,0,0,0,268,146,122,3771465,3922,0,0,0,0,0,0,0,1944455
1,9,2491867,35920,22025,3847,760,11150,37782,0,0,0,0,0,0,309,168,141,3775468,3999,0,0,0,0,0,0,0,1938161
1,10,2495037,35393,21887,3796,808,11102,37593,0,0,0,0,0,0,330,175,155,3772971,4021,0,0,0,0,0,0,0,1934937
1,11,2493168,35453,21843,3827,836,11344,37850,0,0,0,0,0,0,323,190,133,3774490,4061,0,0,0,0,0,0,0,1933400
1,12,2492058,35597,21725,3879,754,11221,37579,0,0,0,0,0,0,301,156,145,3775901,3909,0,0,0,0,0,0,0,1941584
1,13,2492105,35499,21626,3899,803,11139,37467,0,0,0,0,0,0,297,183,114,3775996,3981,0,0,0,0,0,0,0,1944924
1,14,2492480,35871,21702,3856,778,11090,37426,0,0,0,0,0,0,303,166,137,3775255,4010,0,0,0,0,0,0,0,1935482
1,15,2489357,35688,21739,3856,822,11294,37711,0,0,0,0,0,0,299,168,131,3778282,4008,0,0,0,0,0,0,0,1932654
1,16,2496600,35573,21825,3868,778,11253,37724,0,0,0,0,0,0,273,157,116,3771236,3939,0,0,0,0,0,0,0,1929964
