day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4236045
1,2,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4263700
1,3,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4277212
1,4,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4237822
1,5,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4253210
1,6,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4262873
1,7,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4242668
1,8,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4253213
1,9,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4249185
1,10,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4285771
1,11,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4242328
1,12,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4281218
1,13,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4250283
1,14,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4246830
1,15,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4257505
1,16,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4258339
1,17,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4264209
1,18,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4265631
1,19,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4263247
1,20,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4247543
1,21,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4247869
1,22,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4248931
1,23,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4248978
1,24,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4249782
1,25,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4249771
1,26,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4225706
1,27,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4244403
1,28,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4271914
1,29,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4276570
1,30,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4245435
1,31,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4289092
1,32,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4269538
1,33,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4257645
1,34,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4260572
1,35,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4263607
1,36,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4263131
1,37,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4262810
1,38,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4261192
1,39,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4285183
1,40,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4265444
1,41,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4265926
1,42,6326114,8707,585,2550,264,3702,7101,0,0,0,0,0,0,161,114,47,3297,14,0,0,0,0,0,0,4247288
