X,date,county,state,fips,cases,deaths
10,2020-01-26,Los Angeles,California,6037,1,0
15,2020-01-27,Los Angeles,California,6037,1,0
20,2020-01-28,Los Angeles,California,6037,1,0
25,2020-01-29,Los Angeles,California,6037,1,0
30,2020-01-30,Los Angeles,California,6037,1,0
35,2020-01-31,Los Angeles,California,6037,1,0
41,2020-02-01,Los Angeles,California,6037,1,0
48,2020-02-02,Los Angeles,California,6037,1,0
56,2020-02-03,Los Angeles,California,6037,1,0
64,2020-02-04,Los Angeles,California,6037,1,0
72,2020-02-05,Los Angeles,California,6037,1,0
81,2020-02-06,Los Angeles,California,6037,1,0
90,2020-02-07,Los Angeles,California,6037,1,0
99,2020-02-08,Los Angeles,California,6037,1,0
108,2020-02-09,Los Angeles,California,6037,1,0
117,2020-02-10,Los Angeles,California,6037,1,0
127,2020-02-11,Los Angeles,California,6037,1,0
137,2020-02-12,Los Angeles,California,6037,1,0
148,2020-02-13,Los Angeles,California,6037,1,0
159,2020-02-14,Los Angeles,California,6037,1,0
170,2020-02-15,Los Angeles,California,6037,1,0
181,2020-02-16,Los Angeles,California,6037,1,0
192,2020-02-17,Los Angeles,California,6037,1,0
204,2020-02-18,Los Angeles,California,6037,1,0
216,2020-02-19,Los Angeles,California,6037,1,0
229,2020-02-20,Los Angeles,California,6037,1,0
242,2020-02-21,Los Angeles,California,6037,1,0
256,2020-02-22,Los Angeles,California,6037,1,0
270,2020-02-23,Los Angeles,California,6037,1,0
284,2020-02-24,Los Angeles,California,6037,1,0
300,2020-02-25,Los Angeles,California,6037,1,0
317,2020-02-26,Los Angeles,California,6037,1,0
337,2020-02-27,Los Angeles,California,6037,1,0
357,2020-02-28,Los Angeles,California,6037,1,0
379,2020-02-29,Los Angeles,California,6037,1,0
402,2020-03-01,Los Angeles,California,6037,1,0
429,2020-03-02,Los Angeles,California,6037,1,0
463,2020-03-03,Los Angeles,California,6037,1,0
498,2020-03-04,Los Angeles,California,6037,7,0
537,2020-03-05,Los Angeles,California,6037,11,0
587,2020-03-06,Los Angeles,California,6037,13,0
662,2020-03-07,Los Angeles,California,6037,14,0
757,2020-03-08,Los Angeles,California,6037,14,0
871,2020-03-09,Los Angeles,California,6037,19,0
1003,2020-03-10,Los Angeles,California,6037,20,0
1169,2020-03-11,Los Angeles,California,6037,28,1
1375,2020-03-12,Los Angeles,California,6037,32,1
1635,2020-03-13,Los Angeles,California,6037,40,1
1952,2020-03-14,Los Angeles,California,6037,53,1
2331,2020-03-15,Los Angeles,California,6037,69,1
2765,2020-03-16,Los Angeles,California,6037,94,1
3246,2020-03-17,Los Angeles,California,6037,144,1
3799,2020-03-18,Los Angeles,California,6037,190,1
4459,2020-03-19,Los Angeles,California,6037,231,2
5234,2020-03-20,Los Angeles,California,6037,292,2
6155,2020-03-21,Los Angeles,California,6037,351,4
7189,2020-03-22,Los Angeles,California,6037,421,5
8332,2020-03-23,Los Angeles,California,6037,536,7
9572,2020-03-24,Los Angeles,California,6037,662,11
10941,2020-03-25,Los Angeles,California,6037,799,13
12483,2020-03-26,Los Angeles,California,6037,1216,21
14151,2020-03-27,Los Angeles,California,6037,1465,27
15935,2020-03-28,Los Angeles,California,6037,1804,33
17825,2020-03-29,Los Angeles,California,6037,2136,37
19804,2020-03-30,Los Angeles,California,6037,2474,44
21878,2020-03-31,Los Angeles,California,6037,3011,54
24037,2020-04-01,Los Angeles,California,6037,3518,65
26261,2020-04-02,Los Angeles,California,6037,4045,78
28555,2020-04-03,Los Angeles,California,6037,4566,89
30910,2020-04-04,Los Angeles,California,6037,5277,117
33316,2020-04-05,Los Angeles,California,6037,5940,132
35759,2020-04-06,Los Angeles,California,6037,6360,147
38244,2020-04-07,Los Angeles,California,6037,6910,169
40782,2020-04-08,Los Angeles,California,6037,7530,198
43346,2020-04-09,Los Angeles,California,6037,7955,223
45941,2020-04-10,Los Angeles,California,6037,8430,241
48568,2020-04-11,Los Angeles,California,6037,8873,265
51227,2020-04-12,Los Angeles,California,6037,9192,296
53903,2020-04-13,Los Angeles,California,6037,9420,320
56592,2020-04-14,Los Angeles,California,6037,10047,360
59296,2020-04-15,Los Angeles,California,6037,10496,402
62015,2020-04-16,Los Angeles,California,6037,10854,455
64747,2020-04-17,Los Angeles,California,6037,11391,495
67494,2020-04-18,Los Angeles,California,6037,12021,576
70253,2020-04-19,Los Angeles,California,6037,12341,600
73020,2020-04-20,Los Angeles,California,6037,13816,617
75793,2020-04-21,Los Angeles,California,6037,15140,663
78573,2020-04-22,Los Angeles,California,6037,16435,729
81364,2020-04-23,Los Angeles,California,6037,17508,797
84164,2020-04-24,Los Angeles,California,6037,18545,850
86969,2020-04-25,Los Angeles,California,6037,19107,895
89783,2020-04-26,Los Angeles,California,6037,19528,913
92598,2020-04-27,Los Angeles,California,6037,20417,942
95427,2020-04-28,Los Angeles,California,6037,20976,1000
98268,2020-04-29,Los Angeles,California,6037,22485,1056
101114,2020-04-30,Los Angeles,California,6037,23182,1111
