X,date,county,state,fips,cases,deaths,uncases
1,2020-01-26,Los Angeles,California,6037,0,0,0
2,2020-01-27,Los Angeles,California,6037,0,0,0
3,2020-01-28,Los Angeles,California,6037,0,0,0
4,2020-01-29,Los Angeles,California,6037,0,0,0
5,2020-01-30,Los Angeles,California,6037,0,0,0
6,2020-01-31,Los Angeles,California,6037,0,0,0
7,2020-02-01,Los Angeles,California,6037,0,0,0
8,2020-02-02,Los Angeles,California,6037,0,0,0
9,2020-02-03,Los Angeles,California,6037,0,0,1
10,2020-02-04,Los Angeles,California,6037,0,0,2
11,2020-02-05,Los Angeles,California,6037,0,0,3
12,2020-02-06,Los Angeles,California,6037,0,0,4
13,2020-02-07,Los Angeles,California,6037,0,0,5
14,2020-02-08,Los Angeles,California,6037,0,0,6
15,2020-02-09,Los Angeles,California,6037,0,0,8
16,2020-02-10,Los Angeles,California,6037,0,0,10
17,2020-02-11,Los Angeles,California,6037,0,0,12
18,2020-02-12,Los Angeles,California,6037,0,0,15
19,2020-02-13,Los Angeles,California,6037,0,0,18
20,2020-02-14,Los Angeles,California,6037,0,0,22
21,2020-02-15,Los Angeles,California,6037,0,0,26
22,2020-02-16,Los Angeles,California,6037,0,0,31
23,2020-02-17,Los Angeles,California,6037,1,0,37
24,2020-02-18,Los Angeles,California,6037,2,0,44
25,2020-02-19,Los Angeles,California,6037,3,0,53
26,2020-02-20,Los Angeles,California,6037,4,0,63
27,2020-02-21,Los Angeles,California,6037,5,0,75
28,2020-02-22,Los Angeles,California,6037,6,0,89
29,2020-02-23,Los Angeles,California,6037,8,0,106
30,2020-02-24,Los Angeles,California,6037,10,0,126
31,2020-02-25,Los Angeles,California,6037,12,0,149
32,2020-02-26,Los Angeles,California,6037,15,0,176
33,2020-02-27,Los Angeles,California,6037,18,0,208
34,2020-02-28,Los Angeles,California,6037,22,0,246
35,2020-02-29,Los Angeles,California,6037,27,0,291
36,2020-03-01,Los Angeles,California,6037,32,0,342
37,2020-03-02,Los Angeles,California,6037,38,0,403
38,2020-03-03,Los Angeles,California,6037,45,0,472
39,2020-03-04,Los Angeles,California,6037,54,0,554
40,2020-03-05,Los Angeles,California,6037,65,0,651
41,2020-03-06,Los Angeles,California,6037,77,0,767
42,2020-03-07,Los Angeles,California,6037,91,0,903
43,2020-03-08,Los Angeles,California,6037,109,0,1061
44,2020-03-09,Los Angeles,California,6037,129,0,1249
45,2020-03-10,Los Angeles,California,6037,153,0,1468
46,2020-03-11,Los Angeles,California,6037,182,0,1728
47,2020-03-12,Los Angeles,California,6037,215,0,2034
48,2020-03-13,Los Angeles,California,6037,254,1,2389
49,2020-03-14,Los Angeles,California,6037,299,2,2793
50,2020-03-15,Los Angeles,California,6037,347,3,3245
51,2020-03-16,Los Angeles,California,6037,401,4,3742
52,2020-03-17,Los Angeles,California,6037,463,5,4296
53,2020-03-18,Los Angeles,California,6037,534,7,4928
54,2020-03-19,Los Angeles,California,6037,614,9,5638
55,2020-03-20,Los Angeles,California,6037,703,11,6451
56,2020-03-21,Los Angeles,California,6037,807,14,7365
57,2020-03-22,Los Angeles,California,6037,925,17,8404
58,2020-03-23,Los Angeles,California,6037,1056,20,9588
59,2020-03-24,Los Angeles,California,6037,1204,24,10926
60,2020-03-25,Los Angeles,California,6037,1372,29,12415
61,2020-03-26,Los Angeles,California,6037,1564,34,14148
62,2020-03-27,Los Angeles,California,6037,1784,40,16046
63,2020-03-28,Los Angeles,California,6037,2032,47,18238
64,2020-03-29,Los Angeles,California,6037,2311,55,20719
65,2020-03-30,Los Angeles,California,6037,2625,64,23529
66,2020-03-31,Los Angeles,California,6037,2984,74,26722
67,2020-04-01,Los Angeles,California,6037,3350,85,29994
68,2020-04-02,Los Angeles,California,6037,3676,98,32925
69,2020-04-03,Los Angeles,California,6037,3989,112,35678
70,2020-04-04,Los Angeles,California,6037,4288,128,38292
71,2020-04-05,Los Angeles,California,6037,4568,147,40818
72,2020-04-06,Los Angeles,California,6037,4844,167,43315
73,2020-04-07,Los Angeles,California,6037,5119,189,45778
74,2020-04-08,Los Angeles,California,6037,5392,213,48222
75,2020-04-09,Los Angeles,California,6037,5664,237,50657
76,2020-04-10,Los Angeles,California,6037,5937,263,53060
77,2020-04-11,Los Angeles,California,6037,6209,290,55474
78,2020-04-12,Los Angeles,California,6037,6477,318,57859
79,2020-04-13,Los Angeles,California,6037,6745,347,60268
80,2020-04-14,Los Angeles,California,6037,7016,379,62653
81,2020-04-15,Los Angeles,California,6037,7283,411,65036
82,2020-04-16,Los Angeles,California,6037,7551,444,67433
83,2020-04-17,Los Angeles,California,6037,7820,477,69853
84,2020-04-18,Los Angeles,California,6037,8087,511,72260
85,2020-04-19,Los Angeles,California,6037,8355,545,74665
86,2020-04-20,Los Angeles,California,6037,8623,580,77053
87,2020-04-21,Los Angeles,California,6037,8891,615,79444
88,2020-04-22,Los Angeles,California,6037,9159,651,81851
89,2020-04-23,Los Angeles,California,6037,9424,688,84252
90,2020-04-24,Los Angeles,California,6037,9686,725,86649
91,2020-04-25,Los Angeles,California,6037,9954,763,89040
92,2020-04-26,Los Angeles,California,6037,10218,801,91424
93,2020-04-27,Los Angeles,California,6037,10489,838,93802
94,2020-04-28,Los Angeles,California,6037,10753,876,96178
95,2020-04-29,Los Angeles,California,6037,11016,914,98580
96,2020-04-30,Los Angeles,California,6037,11281,953,100960
97,2020-05-01,Los Angeles,California,6037,11548,994,103322
98,2020-05-02,Los Angeles,California,6037,11814,1033,105731
99,2020-05-03,Los Angeles,California,6037,12078,1073,108108
100,2020-05-04,Los Angeles,California,6037,12349,1113,110483
101,2020-05-05,Los Angeles,California,6037,12612,1152,112848
102,2020-05-06,Los Angeles,California,6037,12878,1193,115223
103,2020-05-07,Los Angeles,California,6037,13142,1234,117594
104,2020-05-08,Los Angeles,California,6037,13410,1274,119961
105,2020-05-09,Los Angeles,California,6037,13668,1315,122328
106,2020-05-10,Los Angeles,California,6037,13925,1355,124697
107,2020-05-11,Los Angeles,California,6037,14186,1395,127051
108,2020-05-12,Los Angeles,California,6037,14450,1437,129418
109,2020-05-13,Los Angeles,California,6037,14712,1479,131776
110,2020-05-14,Los Angeles,California,6037,14976,1521,134108
111,2020-05-15,Los Angeles,California,6037,15237,1562,136443
112,2020-05-16,Los Angeles,California,6037,15498,1603,138811
113,2020-05-17,Los Angeles,California,6037,15760,1644,141157
114,2020-05-18,Los Angeles,California,6037,16021,1684,143496
115,2020-05-19,Los Angeles,California,6037,16280,1726,145846
116,2020-05-20,Los Angeles,California,6037,16541,1768,148183
117,2020-05-21,Los Angeles,California,6037,16801,1809,150519
118,2020-05-22,Los Angeles,California,6037,17061,1851,152854
119,2020-05-23,Los Angeles,California,6037,17319,1893,155180
120,2020-05-24,Los Angeles,California,6037,17575,1934,157499
121,2020-05-25,Los Angeles,California,6037,17831,1975,159829
122,2020-05-26,Los Angeles,California,6037,18092,2017,162176
123,2020-05-27,Los Angeles,California,6037,18356,2058,164527
124,2020-05-28,Los Angeles,California,6037,18611,2099,166832
125,2020-05-29,Los Angeles,California,6037,18870,2142,169136
126,2020-05-30,Los Angeles,California,6037,19131,2183,171435
127,2020-05-31,Los Angeles,California,6037,19391,2224,173742
