X,date,county,state,fips,cases,deaths
1,2020-01-26,Los Angeles,California,6037,0,0
2,2020-01-27,Los Angeles,California,6037,0,0
3,2020-01-28,Los Angeles,California,6037,0,0
4,2020-01-29,Los Angeles,California,6037,0,0
5,2020-01-30,Los Angeles,California,6037,0,0
6,2020-01-31,Los Angeles,California,6037,0,0
7,2020-02-01,Los Angeles,California,6037,0,0
8,2020-02-02,Los Angeles,California,6037,0,0
9,2020-02-03,Los Angeles,California,6037,0,0
10,2020-02-04,Los Angeles,California,6037,0,0
11,2020-02-05,Los Angeles,California,6037,0,0
12,2020-02-06,Los Angeles,California,6037,0,0
13,2020-02-07,Los Angeles,California,6037,0,0
14,2020-02-08,Los Angeles,California,6037,0,0
15,2020-02-09,Los Angeles,California,6037,0,0
16,2020-02-10,Los Angeles,California,6037,0,0
17,2020-02-11,Los Angeles,California,6037,0,0
18,2020-02-12,Los Angeles,California,6037,0,0
19,2020-02-13,Los Angeles,California,6037,0,0
20,2020-02-14,Los Angeles,California,6037,0,0
21,2020-02-15,Los Angeles,California,6037,0,0
22,2020-02-16,Los Angeles,California,6037,0,0
23,2020-02-17,Los Angeles,California,6037,1,0
24,2020-02-18,Los Angeles,California,6037,2,0
25,2020-02-19,Los Angeles,California,6037,3,0
26,2020-02-20,Los Angeles,California,6037,4,0
27,2020-02-21,Los Angeles,California,6037,5,0
28,2020-02-22,Los Angeles,California,6037,6,0
29,2020-02-23,Los Angeles,California,6037,8,0
30,2020-02-24,Los Angeles,California,6037,10,0
31,2020-02-25,Los Angeles,California,6037,12,0
32,2020-02-26,Los Angeles,California,6037,15,0
33,2020-02-27,Los Angeles,California,6037,18,0
34,2020-02-28,Los Angeles,California,6037,22,0
35,2020-02-29,Los Angeles,California,6037,27,0
36,2020-03-01,Los Angeles,California,6037,32,0
37,2020-03-02,Los Angeles,California,6037,38,0
38,2020-03-03,Los Angeles,California,6037,45,0
39,2020-03-04,Los Angeles,California,6037,54,0
40,2020-03-05,Los Angeles,California,6037,65,0
41,2020-03-06,Los Angeles,California,6037,77,0
42,2020-03-07,Los Angeles,California,6037,91,0
43,2020-03-08,Los Angeles,California,6037,109,0
44,2020-03-09,Los Angeles,California,6037,129,0
45,2020-03-10,Los Angeles,California,6037,153,0
46,2020-03-11,Los Angeles,California,6037,182,0
47,2020-03-12,Los Angeles,California,6037,215,0
48,2020-03-13,Los Angeles,California,6037,254,1
49,2020-03-14,Los Angeles,California,6037,299,2
50,2020-03-15,Los Angeles,California,6037,347,3
51,2020-03-16,Los Angeles,California,6037,401,4
52,2020-03-17,Los Angeles,California,6037,463,5
53,2020-03-18,Los Angeles,California,6037,534,7
54,2020-03-19,Los Angeles,California,6037,614,9
55,2020-03-20,Los Angeles,California,6037,703,11
56,2020-03-21,Los Angeles,California,6037,807,14
57,2020-03-22,Los Angeles,California,6037,925,17
58,2020-03-23,Los Angeles,California,6037,1056,20
59,2020-03-24,Los Angeles,California,6037,1204,24
60,2020-03-25,Los Angeles,California,6037,1372,29
61,2020-03-26,Los Angeles,California,6037,1564,34
62,2020-03-27,Los Angeles,California,6037,1784,40
63,2020-03-28,Los Angeles,California,6037,2032,47
64,2020-03-29,Los Angeles,California,6037,2311,55
65,2020-03-30,Los Angeles,California,6037,2625,64
66,2020-03-31,Los Angeles,California,6037,2984,74
67,2020-04-01,Los Angeles,California,6037,3350,85
68,2020-04-02,Los Angeles,California,6037,3676,98
69,2020-04-03,Los Angeles,California,6037,3989,112
70,2020-04-04,Los Angeles,California,6037,4288,128
71,2020-04-05,Los Angeles,California,6037,4568,147
72,2020-04-06,Los Angeles,California,6037,4844,167
73,2020-04-07,Los Angeles,California,6037,5119,189
74,2020-04-08,Los Angeles,California,6037,5392,213
75,2020-04-09,Los Angeles,California,6037,5664,237
76,2020-04-10,Los Angeles,California,6037,5937,263
77,2020-04-11,Los Angeles,California,6037,6209,290
78,2020-04-12,Los Angeles,California,6037,6477,318
79,2020-04-13,Los Angeles,California,6037,6745,347
80,2020-04-14,Los Angeles,California,6037,7016,379
81,2020-04-15,Los Angeles,California,6037,7283,411
82,2020-04-16,Los Angeles,California,6037,7551,444
83,2020-04-17,Los Angeles,California,6037,7820,477
84,2020-04-18,Los Angeles,California,6037,8087,511
85,2020-04-19,Los Angeles,California,6037,8355,545
86,2020-04-20,Los Angeles,California,6037,8623,580
87,2020-04-21,Los Angeles,California,6037,8891,615
88,2020-04-22,Los Angeles,California,6037,9159,651
89,2020-04-23,Los Angeles,California,6037,9424,688
90,2020-04-24,Los Angeles,California,6037,9686,725
91,2020-04-25,Los Angeles,California,6037,9954,763
92,2020-04-26,Los Angeles,California,6037,10218,801
93,2020-04-27,Los Angeles,California,6037,10489,838
94,2020-04-28,Los Angeles,California,6037,10753,876
95,2020-04-29,Los Angeles,California,6037,11016,914
96,2020-04-30,Los Angeles,California,6037,11281,953
