X,date,county,state,fips,cases,deaths,uncases
1,2020-01-26,Los Angeles,California,6037,0,0,0
2,2020-01-27,Los Angeles,California,6037,0,0,0
3,2020-01-28,Los Angeles,California,6037,0,0,0
4,2020-01-29,Los Angeles,California,6037,0,0,0
5,2020-01-30,Los Angeles,California,6037,0,0,0
6,2020-01-31,Los Angeles,California,6037,0,0,0
7,2020-02-01,Los Angeles,California,6037,0,0,0
8,2020-02-02,Los Angeles,California,6037,0,0,0
9,2020-02-03,Los Angeles,California,6037,0,0,0
10,2020-02-04,Los Angeles,California,6037,0,0,0
11,2020-02-05,Los Angeles,California,6037,0,0,0
12,2020-02-06,Los Angeles,California,6037,0,0,0
13,2020-02-07,Los Angeles,California,6037,0,0,0
14,2020-02-08,Los Angeles,California,6037,0,0,0
15,2020-02-09,Los Angeles,California,6037,0,0,0
16,2020-02-10,Los Angeles,California,6037,0,0,0
17,2020-02-11,Los Angeles,California,6037,0,0,0
18,2020-02-12,Los Angeles,California,6037,0,0,0
19,2020-02-13,Los Angeles,California,6037,0,0,0
20,2020-02-14,Los Angeles,California,6037,0,0,0
21,2020-02-15,Los Angeles,California,6037,0,0,0
22,2020-02-16,Los Angeles,California,6037,0,0,0
23,2020-02-17,Los Angeles,California,6037,1,0,9
24,2020-02-18,Los Angeles,California,6037,2,0,17
25,2020-02-19,Los Angeles,California,6037,3,0,27
26,2020-02-20,Los Angeles,California,6037,4,0,36
27,2020-02-21,Los Angeles,California,6037,5,0,44
28,2020-02-22,Los Angeles,California,6037,6,0,54
29,2020-02-23,Los Angeles,California,6037,8,0,71
30,2020-02-24,Los Angeles,California,6037,10,0,90
31,2020-02-25,Los Angeles,California,6037,12,0,107
32,2020-02-26,Los Angeles,California,6037,15,0,136
33,2020-02-27,Los Angeles,California,6037,18,0,160
34,2020-02-28,Los Angeles,California,6037,22,0,198
35,2020-02-29,Los Angeles,California,6037,26,0,235
36,2020-03-01,Los Angeles,California,6037,31,0,276
37,2020-03-02,Los Angeles,California,6037,37,0,331
38,2020-03-03,Los Angeles,California,6037,44,0,393
39,2020-03-04,Los Angeles,California,6037,52,0,467
40,2020-03-05,Los Angeles,California,6037,61,0,550
41,2020-03-06,Los Angeles,California,6037,73,0,652
42,2020-03-07,Los Angeles,California,6037,85,0,765
43,2020-03-08,Los Angeles,California,6037,100,0,908
44,2020-03-09,Los Angeles,California,6037,117,0,1043
45,2020-03-10,Los Angeles,California,6037,137,0,1227
46,2020-03-11,Los Angeles,California,6037,159,0,1426
47,2020-03-12,Los Angeles,California,6037,185,0,1680
48,2020-03-13,Los Angeles,California,6037,215,0,1941
49,2020-03-14,Los Angeles,California,6037,249,1,2236
50,2020-03-15,Los Angeles,California,6037,287,2,2573
51,2020-03-16,Los Angeles,California,6037,328,3,2931
52,2020-03-17,Los Angeles,California,6037,372,4,3327
53,2020-03-18,Los Angeles,California,6037,423,5,3775
54,2020-03-19,Los Angeles,California,6037,478,6,4281
55,2020-03-20,Los Angeles,California,6037,541,8,4850
56,2020-03-21,Los Angeles,California,6037,612,10,5530
57,2020-03-22,Los Angeles,California,6037,692,12,6223
58,2020-03-23,Los Angeles,California,6037,780,15,6979
59,2020-03-24,Los Angeles,California,6037,879,18,7857
60,2020-03-25,Los Angeles,California,6037,992,21,8863
61,2020-03-26,Los Angeles,California,6037,1117,25,10055
62,2020-03-27,Los Angeles,California,6037,1257,29,11205
63,2020-03-28,Los Angeles,California,6037,1416,34,12707
64,2020-03-29,Los Angeles,California,6037,1589,39,14371
65,2020-03-30,Los Angeles,California,6037,1788,45,16030
66,2020-03-31,Los Angeles,California,6037,2005,52,18038
67,2020-04-01,Los Angeles,California,6037,2226,60,19889
68,2020-04-02,Los Angeles,California,6037,2423,69,21820
69,2020-04-03,Los Angeles,California,6037,2603,79,23345
70,2020-04-04,Los Angeles,California,6037,2779,90,25242
71,2020-04-05,Los Angeles,California,6037,2948,101,26787
72,2020-04-06,Los Angeles,California,6037,3112,114,27842
73,2020-04-07,Los Angeles,California,6037,3271,128,29645
74,2020-04-08,Los Angeles,California,6037,3427,143,30920
75,2020-04-09,Los Angeles,California,6037,3579,158,32434
76,2020-04-10,Los Angeles,California,6037,3732,175,33686
77,2020-04-11,Los Angeles,California,6037,3881,192,35177
78,2020-04-12,Los Angeles,California,6037,4029,210,36291
79,2020-04-13,Los Angeles,California,6037,4175,229,37364
80,2020-04-14,Los Angeles,California,6037,4321,247,38948
81,2020-04-15,Los Angeles,California,6037,4467,266,40386
82,2020-04-16,Los Angeles,California,6037,4608,286,41134
83,2020-04-17,Los Angeles,California,6037,4750,306,42451
84,2020-04-18,Los Angeles,California,6037,4890,326,43739
85,2020-04-19,Los Angeles,California,6037,5028,346,45168
86,2020-04-20,Los Angeles,California,6037,5165,367,46675
87,2020-04-21,Los Angeles,California,6037,5301,388,47929
88,2020-04-22,Los Angeles,California,6037,5435,409,48779
89,2020-04-23,Los Angeles,California,6037,5571,431,50595
90,2020-04-24,Los Angeles,California,6037,5703,452,51421
91,2020-04-25,Los Angeles,California,6037,5839,473,52535
92,2020-04-26,Los Angeles,California,6037,5969,494,53585
93,2020-04-27,Los Angeles,California,6037,6099,516,54485
94,2020-04-28,Los Angeles,California,6037,6228,537,55937
95,2020-04-29,Los Angeles,California,6037,6357,558,57406
96,2020-04-30,Los Angeles,California,6037,6485,580,58767
