X,date,county,state,fips,cases,deaths
204,2020-09-30,Bucks,Pennsylvania,42017,8256,566
205,2020-10-01,Bucks,Pennsylvania,42017,8289,567
206,2020-10-02,Bucks,Pennsylvania,42017,8323,568
207,2020-10-03,Bucks,Pennsylvania,42017,8358,569
208,2020-10-04,Bucks,Pennsylvania,42017,8393,570
209,2020-10-05,Bucks,Pennsylvania,42017,8429,571
210,2020-10-06,Bucks,Pennsylvania,42017,8466,572
211,2020-10-07,Bucks,Pennsylvania,42017,8501,573
212,2020-10-08,Bucks,Pennsylvania,42017,8537,574
213,2020-10-09,Bucks,Pennsylvania,42017,8572,575
214,2020-10-10,Bucks,Pennsylvania,42017,8611,575
215,2020-10-11,Bucks,Pennsylvania,42017,8649,576
216,2020-10-12,Bucks,Pennsylvania,42017,8687,576
217,2020-10-13,Bucks,Pennsylvania,42017,8726,577
218,2020-10-14,Bucks,Pennsylvania,42017,8764,577
219,2020-10-15,Bucks,Pennsylvania,42017,8803,577
220,2020-10-16,Bucks,Pennsylvania,42017,8840,577
221,2020-10-17,Bucks,Pennsylvania,42017,8880,577
222,2020-10-18,Bucks,Pennsylvania,42017,8924,578
223,2020-10-19,Bucks,Pennsylvania,42017,8970,578
224,2020-10-20,Bucks,Pennsylvania,42017,9017,578
225,2020-10-21,Bucks,Pennsylvania,42017,9067,579
226,2020-10-22,Bucks,Pennsylvania,42017,9116,579
227,2020-10-23,Bucks,Pennsylvania,42017,9168,579
228,2020-10-24,Bucks,Pennsylvania,42017,9223,579
229,2020-10-25,Bucks,Pennsylvania,42017,9283,580
230,2020-10-26,Bucks,Pennsylvania,42017,9346,580
231,2020-10-27,Bucks,Pennsylvania,42017,9411,580
232,2020-10-28,Bucks,Pennsylvania,42017,9481,580
233,2020-10-29,Bucks,Pennsylvania,42017,9552,581
234,2020-10-30,Bucks,Pennsylvania,42017,9627,581
235,2020-10-31,Bucks,Pennsylvania,42017,9706,581
236,2020-11-01,Bucks,Pennsylvania,42017,9791,581
237,2020-11-02,Bucks,Pennsylvania,42017,9883,581
238,2020-11-03,Bucks,Pennsylvania,42017,9983,582
239,2020-11-04,Bucks,Pennsylvania,42017,10091,582
240,2020-11-05,Bucks,Pennsylvania,42017,10210,583
241,2020-11-06,Bucks,Pennsylvania,42017,10345,583
242,2020-11-07,Bucks,Pennsylvania,42017,10493,584
243,2020-11-08,Bucks,Pennsylvania,42017,10653,585
244,2020-11-09,Bucks,Pennsylvania,42017,10829,586
245,2020-11-10,Bucks,Pennsylvania,42017,11015,586
246,2020-11-11,Bucks,Pennsylvania,42017,11211,587
247,2020-11-12,Bucks,Pennsylvania,42017,11411,588
248,2020-11-13,Bucks,Pennsylvania,42017,11627,589
249,2020-11-14,Bucks,Pennsylvania,42017,11861,591
250,2020-11-15,Bucks,Pennsylvania,42017,12107,593
251,2020-11-16,Bucks,Pennsylvania,42017,12365,595
252,2020-11-17,Bucks,Pennsylvania,42017,12631,597
253,2020-11-18,Bucks,Pennsylvania,42017,12897,598
254,2020-11-19,Bucks,Pennsylvania,42017,13160,601
255,2020-11-20,Bucks,Pennsylvania,42017,13430,603
256,2020-11-21,Bucks,Pennsylvania,42017,13713,606
257,2020-11-22,Bucks,Pennsylvania,42017,14005,608
258,2020-11-23,Bucks,Pennsylvania,42017,14300,611
259,2020-11-24,Bucks,Pennsylvania,42017,14601,615
260,2020-11-25,Bucks,Pennsylvania,42017,14904,618
261,2020-11-26,Bucks,Pennsylvania,42017,15206,622
262,2020-11-27,Bucks,Pennsylvania,42017,15524,627
263,2020-11-28,Bucks,Pennsylvania,42017,15872,631
264,2020-11-29,Bucks,Pennsylvania,42017,16229,635
265,2020-11-30,Bucks,Pennsylvania,42017,16601,640
266,2020-12-01,Bucks,Pennsylvania,42017,16994,644
267,2020-12-02,Bucks,Pennsylvania,42017,17400,648
268,2020-12-03,Bucks,Pennsylvania,42017,17802,653
269,2020-12-04,Bucks,Pennsylvania,42017,18216,659
270,2020-12-05,Bucks,Pennsylvania,42017,18639,666
271,2020-12-06,Bucks,Pennsylvania,42017,19084,672
272,2020-12-07,Bucks,Pennsylvania,42017,19537,679
273,2020-12-08,Bucks,Pennsylvania,42017,20003,686
274,2020-12-09,Bucks,Pennsylvania,42017,20468,692
275,2020-12-10,Bucks,Pennsylvania,42017,20915,699
276,2020-12-11,Bucks,Pennsylvania,42017,21333,707
277,2020-12-12,Bucks,Pennsylvania,42017,21755,714
278,2020-12-13,Bucks,Pennsylvania,42017,22167,722
279,2020-12-14,Bucks,Pennsylvania,42017,22564,731
280,2020-12-15,Bucks,Pennsylvania,42017,22951,739
281,2020-12-16,Bucks,Pennsylvania,42017,23343,746
282,2020-12-17,Bucks,Pennsylvania,42017,23721,753
283,2020-12-18,Bucks,Pennsylvania,42017,24087,760
284,2020-12-19,Bucks,Pennsylvania,42017,24437,767
285,2020-12-20,Bucks,Pennsylvania,42017,24777,773
286,2020-12-21,Bucks,Pennsylvania,42017,25103,779
287,2020-12-22,Bucks,Pennsylvania,42017,25420,785
288,2020-12-23,Bucks,Pennsylvania,42017,25742,791
289,2020-12-24,Bucks,Pennsylvania,42017,26071,796
290,2020-12-25,Bucks,Pennsylvania,42017,26392,802
291,2020-12-26,Bucks,Pennsylvania,42017,26714,807
292,2020-12-27,Bucks,Pennsylvania,42017,27037,812
293,2020-12-28,Bucks,Pennsylvania,42017,27355,817
294,2020-12-29,Bucks,Pennsylvania,42017,27652,822
295,2020-12-30,Bucks,Pennsylvania,42017,27957,826
296,2020-12-31,Bucks,Pennsylvania,42017,28264,830
297,2021-01-01,Bucks,Pennsylvania,42017,28582,835
298,2021-01-02,Bucks,Pennsylvania,42017,28912,840
299,2021-01-03,Bucks,Pennsylvania,42017,29256,845
300,2021-01-04,Bucks,Pennsylvania,42017,29608,849
301,2021-01-05,Bucks,Pennsylvania,42017,29947,853
302,2021-01-06,Bucks,Pennsylvania,42017,30286,856
303,2021-01-07,Bucks,Pennsylvania,42017,30614,860
304,2021-01-08,Bucks,Pennsylvania,42017,30938,863
305,2021-01-09,Bucks,Pennsylvania,42017,31261,867
306,2021-01-10,Bucks,Pennsylvania,42017,31589,872
307,2021-01-11,Bucks,Pennsylvania,42017,31927,876
308,2021-01-12,Bucks,Pennsylvania,42017,32243,880
309,2021-01-13,Bucks,Pennsylvania,42017,32543,884
