day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,546900,1026,508,61,1,174,744,0,0,0,0,0,0,39,24,15,78931,630,0,0,0,0,0,0,0,6271
1,2,546660,1009,498,47,3,205,753,0,0,0,0,0,0,41,28,13,79186,621,0,0,0,0,0,0,0,6530
1,3,546759,961,548,58,4,189,799,0,0,0,0,0,0,47,28,19,79125,579,0,0,0,0,0,0,0,5885
1,4,546887,973,518,51,7,161,737,0,0,0,0,0,0,66,39,27,78977,630,0,0,0,0,0,0,0,6609
1,5,546242,927,525,53,2,172,752,0,0,0,0,0,0,44,33,11,79643,662,0,0,0,0,0,0,0,6554
1,6,547048,910,471,53,1,185,710,0,0,0,0,0,0,46,33,13,78950,606,0,0,0,0,0,0,0,5961
1,7,547133,946,502,47,6,166,721,0,0,0,0,0,0,57,34,23,78787,626,0,0,0,0,0,0,0,7053
1,8,547062,1023,514,52,5,170,741,0,0,0,0,0,0,51,30,21,78764,629,0,0,0,0,0,0,0,7574
1,9,546617,963,512,48,1,191,752,0,0,0,0,0,0,44,25,19,79306,588,0,0,0,0,0,0,0,6819
1,10,547125,939,517,58,4,179,758,0,0,0,0,0,0,45,24,21,78773,630,0,0,0,0,0,0,0,6385
1,11,546735,925,530,66,2,182,780,0,0,0,0,0,0,47,32,15,79171,612,0,0,0,0,0,0,0,6586
1,12,547044,998,540,66,3,207,816,0,0,0,0,0,0,47,30,17,78707,658,0,0,0,0,0,0,0,7392
1,13,547032,958,502,54,2,167,725,0,0,0,0,0,0,47,35,12,78910,598,0,0,0,0,0,0,0,6707
1,14,547173,981,515,47,5,177,744,0,0,0,0,0,0,42,25,17,78719,611,0,0,0,0,0,0,0,6410
1,15,546729,960,495,44,3,178,720,0,0,0,0,0,0,52,33,19,79192,617,0,0,0,0,0,0,0,7250
1,16,546837,960,530,57,3,170,760,0,0,0,0,0,0,60,41,19,79021,632,0,0,0,0,0,0,0,7236
1,17,546928,966,495,55,2,192,744,0,0,0,0,0,0,56,36,20,78951,625,0,0,0,0,0,0,0,6661
1,18,546666,945,530,50,7,176,763,0,0,0,0,0,0,52,29,23,79205,639,0,0,0,0,0,0,0,6763
1,19,546650,954,505,53,4,175,737,0,0,0,0,0,0,45,32,13,79273,611,0,0,0,0,0,0,0,7263
1,20,546649,988,510,56,2,185,753,0,0,0,0,0,0,51,31,20,79177,652,0,0,0,0,0,0,0,6536
1,21,546791,1000,570,68,1,163,802,0,0,0,0,0,0,46,27,19,79029,602,0,0,0,0,0,0,0,6420
1,22,546671,939,510,50,1,156,717,0,0,0,0,0,0,57,33,24,79302,584,0,0,0,0,0,0,0,6815
1,23,546616,954,530,60,3,168,761,0,0,0,0,0,0,42,21,21,79285,612,0,0,0,0,0,0,0,6084
1,24,547029,918,529,45,2,199,775,0,0,0,0,0,0,44,33,11,78869,635,0,0,0,0,0,0,0,6971
1,25,546896,934,513,53,3,174,743,0,0,0,0,0,0,39,19,20,79004,654,0,0,0,0,0,0,0,6031
1,26,547290,945,504,61,3,170,738,0,0,0,0,0,0,55,33,22,78626,616,0,0,0,0,0,0,0,6383
1,27,547400,972,501,56,3,198,758,0,0,0,0,0,0,56,40,16,78454,630,0,0,0,0,0,0,0,7087
1,28,547160,970,488,52,1,195,736,0,0,0,0,0,0,53,31,22,78742,609,0,0,0,0,0,0,0,6460
1,29,547004,951,499,62,2,192,755,0,0,0,0,0,0,52,40,12,78924,584,0,0,0,0,0,0,0,6921
1,30,546594,981,505,51,2,156,714,0,0,0,0,0,0,55,39,16,79347,579,0,0,0,0,0,0,0,6406
1,31,547013,939,500,55,2,172,729,0,0,0,0,0,0,47,20,27,78911,631,0,0,0,0,0,0,0,6330
1,32,547573,971,497,45,5,160,707,0,0,0,0,0,0,56,35,21,78327,636,0,0,0,0,0,0,0,6960
1,33,546534,1028,520,46,2,183,751,0,0,0,0,0,0,51,29,22,79285,621,0,0,0,0,0,0,0,7661
1,34,546668,990,539,63,2,164,768,0,0,0,0,0,0,52,31,21,79158,634,0,0,0,0,0,0,0,6338
1,35,546683,1011,477,55,4,179,715,0,0,0,0,0,0,49,30,19,79212,600,0,0,0,0,0,0,0,6689
1,36,546831,953,543,48,3,168,762,0,0,0,0,0,0,49,28,21,79074,601,0,0,0,0,0,0,0,6258
1,37,546689,1017,531,46,6,198,781,0,0,0,0,0,0,53,32,21,79110,620,0,0,0,0,0,0,0,6897
1,38,546745,953,512,62,4,156,734,0,0,0,0,0,0,49,35,14,79120,669,0,0,0,0,0,0,0,6949
1,39,546798,932,514,59,2,171,746,0,0,0,0,0,0,51,29,22,79106,637,0,0,0,0,0,0,0,6963
1,40,547100,946,485,61,5,185,736,0,0,0,0,0,0,47,30,17,78820,621,0,0,0,0,0,0,0,6616
1,41,546911,955,498,50,3,173,724,0,0,0,0,0,0,46,30,16,79053,581,0,0,0,0,0,0,0,6014
1,42,546627,998,480,52,2,187,721,0,0,0,0,0,0,38,19,19,79250,636,0,0,0,0,0,0,0,6771
1,43,547542,968,541,76,2,182,801,0,0,0,0,0,0,41,28,13,78285,633,0,0,0,0,0,0,0,7799
1,44,546329,971,533,47,4,198,782,0,0,0,0,0,0,45,25,20,79519,624,0,0,0,0,0,0,0,5980
1,45,546901,920,526,56,4,173,759,0,0,0,0,0,0,59,35,24,79007,624,0,0,0,0,0,0,0,6073
1,46,546570,922,531,60,4,186,781,0,0,0,0,0,0,40,25,15,79341,616,0,0,0,0,0,0,0,6653
1,47,546678,964,533,56,3,166,758,0,0,0,0,0,0,39,25,14,79237,594,0,0,0,0,0,0,0,6253
1,48,545910,975,539,46,2,194,781,0,0,0,0,0,0,46,27,19,79986,572,0,0,0,0,0,0,0,7178
1,49,546661,994,513,65,1,191,770,0,0,0,0,0,0,49,28,21,79195,601,0,0,0,0,0,0,0,6897
1,50,546824,932,486,54,2,199,741,0,0,0,0,0,0,45,28,17,79093,635,0,0,0,0,0,0,0,6458
1,51,546729,934,531,55,4,179,769,0,0,0,0,0,0,41,31,10,79212,585,0,0,0,0,0,0,0,6054
1,52,546648,920,515,52,4,183,754,0,0,0,0,0,0,54,32,22,79303,591,0,0,0,0,0,0,0,6490
1,53,546566,932,460,55,4,184,703,0,0,0,0,0,0,42,29,13,79370,657,0,0,0,0,0,0,0,6700
1,54,546380,1003,511,52,2,189,754,0,0,0,0,0,0,57,37,20,79468,608,0,0,0,0,0,0,0,6685
1,55,547007,931,502,57,3,211,773,0,0,0,0,0,0,50,35,15,78925,584,0,0,0,0,0,0,0,6381
1,56,546829,985,524,56,4,174,758,0,0,0,0,0,0,48,34,14,79044,606,0,0,0,0,0,0,0,6853
