X,date,county,state,fips,cases,deaths
204,2020-09-30,Bucks,Pennsylvania,42017,8256,566
205,2020-10-01,Bucks,Pennsylvania,42017,8289,567
206,2020-10-02,Bucks,Pennsylvania,42017,8323,568
207,2020-10-03,Bucks,Pennsylvania,42017,8358,569
208,2020-10-04,Bucks,Pennsylvania,42017,8393,570
209,2020-10-05,Bucks,Pennsylvania,42017,8429,571
210,2020-10-06,Bucks,Pennsylvania,42017,8466,572
211,2020-10-07,Bucks,Pennsylvania,42017,8501,573
212,2020-10-08,Bucks,Pennsylvania,42017,8537,574
213,2020-10-09,Bucks,Pennsylvania,42017,8572,575
214,2020-10-10,Bucks,Pennsylvania,42017,8611,575
215,2020-10-11,Bucks,Pennsylvania,42017,8649,576
216,2020-10-12,Bucks,Pennsylvania,42017,8687,576
217,2020-10-13,Bucks,Pennsylvania,42017,8726,577
218,2020-10-14,Bucks,Pennsylvania,42017,8764,577
219,2020-10-15,Bucks,Pennsylvania,42017,8803,577
220,2020-10-16,Bucks,Pennsylvania,42017,8840,577
221,2020-10-17,Bucks,Pennsylvania,42017,8880,577
222,2020-10-18,Bucks,Pennsylvania,42017,8924,578
223,2020-10-19,Bucks,Pennsylvania,42017,8970,578
224,2020-10-20,Bucks,Pennsylvania,42017,9017,578
225,2020-10-21,Bucks,Pennsylvania,42017,9067,579
226,2020-10-22,Bucks,Pennsylvania,42017,9116,579
227,2020-10-23,Bucks,Pennsylvania,42017,9168,579
228,2020-10-24,Bucks,Pennsylvania,42017,9223,579
229,2020-10-25,Bucks,Pennsylvania,42017,9283,580
230,2020-10-26,Bucks,Pennsylvania,42017,9346,580
231,2020-10-27,Bucks,Pennsylvania,42017,9411,580
232,2020-10-28,Bucks,Pennsylvania,42017,9481,580
233,2020-10-29,Bucks,Pennsylvania,42017,9552,581
234,2020-10-30,Bucks,Pennsylvania,42017,9627,581
235,2020-10-31,Bucks,Pennsylvania,42017,9706,581
236,2020-11-01,Bucks,Pennsylvania,42017,9791,581
237,2020-11-02,Bucks,Pennsylvania,42017,9883,581
238,2020-11-03,Bucks,Pennsylvania,42017,9983,582
239,2020-11-04,Bucks,Pennsylvania,42017,10091,582
240,2020-11-05,Bucks,Pennsylvania,42017,10210,583
