X,date,county,state,fips,cases,deaths
1308,2020-03-11,Bucks,Pennsylvania,42017,1,0
1552,2020-03-12,Bucks,Pennsylvania,42017,2,0
1848,2020-03-13,Bucks,Pennsylvania,42017,3,0
2210,2020-03-14,Bucks,Pennsylvania,42017,5,0
2630,2020-03-15,Bucks,Pennsylvania,42017,7,0
3095,2020-03-16,Bucks,Pennsylvania,42017,10,0
3625,2020-03-17,Bucks,Pennsylvania,42017,14,0
4242,2020-03-18,Bucks,Pennsylvania,42017,18,0
4981,2020-03-19,Bucks,Pennsylvania,42017,26,0
5850,2020-03-20,Bucks,Pennsylvania,42017,33,0
6852,2020-03-21,Bucks,Pennsylvania,42017,42,0
7967,2020-03-22,Bucks,Pennsylvania,42017,57,0
9177,2020-03-23,Bucks,Pennsylvania,42017,74,0
10498,2020-03-24,Bucks,Pennsylvania,42017,92,0
11956,2020-03-25,Bucks,Pennsylvania,42017,114,0
13577,2020-03-26,Bucks,Pennsylvania,42017,136,1
15324,2020-03-27,Bucks,Pennsylvania,42017,161,1
17172,2020-03-28,Bucks,Pennsylvania,42017,191,2
19112,2020-03-29,Bucks,Pennsylvania,42017,230,3
21162,2020-03-30,Bucks,Pennsylvania,42017,272,4
23300,2020-03-31,Bucks,Pennsylvania,42017,318,6
25493,2020-04-01,Bucks,Pennsylvania,42017,361,7
27758,2020-04-02,Bucks,Pennsylvania,42017,420,9
30088,2020-04-03,Bucks,Pennsylvania,42017,484,11
32477,2020-04-04,Bucks,Pennsylvania,42017,548,13
34910,2020-04-05,Bucks,Pennsylvania,42017,614,15
37384,2020-04-06,Bucks,Pennsylvania,42017,684,18
39900,2020-04-07,Bucks,Pennsylvania,42017,752,20
42454,2020-04-08,Bucks,Pennsylvania,42017,829,24
45033,2020-04-09,Bucks,Pennsylvania,42017,906,27
47646,2020-04-10,Bucks,Pennsylvania,42017,985,32
50300,2020-04-11,Bucks,Pennsylvania,42017,1064,36
52970,2020-04-12,Bucks,Pennsylvania,42017,1139,40
55653,2020-04-13,Bucks,Pennsylvania,42017,1223,45
58352,2020-04-14,Bucks,Pennsylvania,42017,1313,51
61066,2020-04-15,Bucks,Pennsylvania,42017,1394,57
63791,2020-04-16,Bucks,Pennsylvania,42017,1469,64
66536,2020-04-17,Bucks,Pennsylvania,42017,1547,71
69291,2020-04-18,Bucks,Pennsylvania,42017,1640,78
72055,2020-04-19,Bucks,Pennsylvania,42017,1728,86
74828,2020-04-20,Bucks,Pennsylvania,42017,1819,93
77607,2020-04-21,Bucks,Pennsylvania,42017,1910,102
80394,2020-04-22,Bucks,Pennsylvania,42017,2005,110
83192,2020-04-23,Bucks,Pennsylvania,42017,2102,120
85993,2020-04-24,Bucks,Pennsylvania,42017,2200,130
88804,2020-04-25,Bucks,Pennsylvania,42017,2306,140
91617,2020-04-26,Bucks,Pennsylvania,42017,2405,151
94442,2020-04-27,Bucks,Pennsylvania,42017,2501,161
97278,2020-04-28,Bucks,Pennsylvania,42017,2598,171
100123,2020-04-29,Bucks,Pennsylvania,42017,2701,183
102972,2020-04-30,Bucks,Pennsylvania,42017,2801,195
105831,2020-05-01,Bucks,Pennsylvania,42017,2889,208
108694,2020-05-02,Bucks,Pennsylvania,42017,2983,222
111563,2020-05-03,Bucks,Pennsylvania,42017,3077,235
114440,2020-05-04,Bucks,Pennsylvania,42017,3169,248
117317,2020-05-05,Bucks,Pennsylvania,42017,3258,260
120201,2020-05-06,Bucks,Pennsylvania,42017,3345,272
123100,2020-05-07,Bucks,Pennsylvania,42017,3423,283
126005,2020-05-08,Bucks,Pennsylvania,42017,3500,295
128915,2020-05-09,Bucks,Pennsylvania,42017,3575,307
131825,2020-05-10,Bucks,Pennsylvania,42017,3652,320
134736,2020-05-11,Bucks,Pennsylvania,42017,3724,332
137647,2020-05-12,Bucks,Pennsylvania,42017,3796,341
140565,2020-05-13,Bucks,Pennsylvania,42017,3866,350
143483,2020-05-14,Bucks,Pennsylvania,42017,3934,358
146404,2020-05-15,Bucks,Pennsylvania,42017,4002,366
149332,2020-05-16,Bucks,Pennsylvania,42017,4067,374
152263,2020-05-17,Bucks,Pennsylvania,42017,4129,383
155199,2020-05-18,Bucks,Pennsylvania,42017,4189,391
158140,2020-05-19,Bucks,Pennsylvania,42017,4245,398
161088,2020-05-20,Bucks,Pennsylvania,42017,4298,404
164039,2020-05-21,Bucks,Pennsylvania,42017,4347,409
166996,2020-05-22,Bucks,Pennsylvania,42017,4393,415
169957,2020-05-23,Bucks,Pennsylvania,42017,4437,420
172920,2020-05-24,Bucks,Pennsylvania,42017,4481,426
175885,2020-05-25,Bucks,Pennsylvania,42017,4521,432
178850,2020-05-26,Bucks,Pennsylvania,42017,4559,437
181822,2020-05-27,Bucks,Pennsylvania,42017,4591,443
184800,2020-05-28,Bucks,Pennsylvania,42017,4621,449
187781,2020-05-29,Bucks,Pennsylvania,42017,4649,454
190764,2020-05-30,Bucks,Pennsylvania,42017,4674,458
193752,2020-05-31,Bucks,Pennsylvania,42017,4701,463
196744,2020-06-01,Bucks,Pennsylvania,42017,4727,468
199738,2020-06-02,Bucks,Pennsylvania,42017,4753,473
202735,2020-06-03,Bucks,Pennsylvania,42017,4780,477
205737,2020-06-04,Bucks,Pennsylvania,42017,4807,481
208739,2020-06-05,Bucks,Pennsylvania,42017,4832,484
211746,2020-06-06,Bucks,Pennsylvania,42017,4857,487
214756,2020-06-07,Bucks,Pennsylvania,42017,4881,490
217768,2020-06-08,Bucks,Pennsylvania,42017,4904,492
220783,2020-06-09,Bucks,Pennsylvania,42017,4927,494
223805,2020-06-10,Bucks,Pennsylvania,42017,4950,496
226828,2020-06-11,Bucks,Pennsylvania,42017,4972,498
229853,2020-06-12,Bucks,Pennsylvania,42017,4993,499
232877,2020-06-13,Bucks,Pennsylvania,42017,5012,501
235904,2020-06-14,Bucks,Pennsylvania,42017,5032,503
238932,2020-06-15,Bucks,Pennsylvania,42017,5051,504
241964,2020-06-16,Bucks,Pennsylvania,42017,5070,506
244996,2020-06-17,Bucks,Pennsylvania,42017,5088,507
248030,2020-06-18,Bucks,Pennsylvania,42017,5106,509
251065,2020-06-19,Bucks,Pennsylvania,42017,5123,510
254109,2020-06-20,Bucks,Pennsylvania,42017,5139,511
257155,2020-06-21,Bucks,Pennsylvania,42017,5156,513
260202,2020-06-22,Bucks,Pennsylvania,42017,5174,514
263251,2020-06-23,Bucks,Pennsylvania,42017,5192,516
