,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,13121,smoothed_cli,2020-04-06,2020-09-03,150,0.6778222,0.44186,205.3885,county,fb-survey
0,13121,smoothed_cli,2020-04-07,2020-09-03,149,0.6112576,0.2182548,828.1936,county,fb-survey
0,13121,smoothed_cli,2020-04-08,2020-09-03,148,0.7164473,0.1967859,1417.5998,county,fb-survey
0,13121,smoothed_cli,2020-04-09,2020-09-03,147,0.5929527,0.149794,1928.1435,county,fb-survey
0,13121,smoothed_cli,2020-04-10,2020-09-03,146,0.5437599,0.1344241,2163.1341,county,fb-survey
0,13121,smoothed_cli,2020-04-11,2020-09-03,145,0.5293296,0.1308747,2222.0766,county,fb-survey
0,13121,smoothed_cli,2020-04-12,2020-09-03,144,0.524535,0.1296947,2242.4649,county,fb-survey
0,13121,smoothed_cli,2020-04-13,2020-09-03,143,0.4879629,0.1278053,2214.1503,county,fb-survey
0,13121,smoothed_cli,2020-04-14,2020-09-03,142,0.4545829,0.1376474,1748.1996,county,fb-survey
0,13121,smoothed_cli,2020-04-15,2020-09-03,141,0.2246734,0.0885013,1269.4565,county,fb-survey
0,13121,smoothed_cli,2020-04-16,2020-09-03,140,0.2430321,0.1148836,851.6132,county,fb-survey
0,13121,smoothed_cli,2020-04-17,2020-09-03,139,0.261095,0.1384185,666.8717,county,fb-survey
0,13121,smoothed_cli,2020-04-18,2020-09-03,138,0.2602047,0.1378996,669.0924,county,fb-survey
0,13121,smoothed_cli,2020-04-19,2020-09-03,137,0.2379159,0.1249529,738.2523,county,fb-survey
0,13121,smoothed_cli,2020-04-20,2020-09-03,136,0.2391975,0.128028,650.126,county,fb-survey
0,13121,smoothed_cli,2020-04-21,2020-09-03,135,0.1261386,0.1169126,586.7953,county,fb-survey
0,13121,smoothed_cli,2020-04-22,2020-09-03,134,0.1295117,0.1199404,571.2315,county,fb-survey
0,13121,smoothed_cli,2020-04-23,2020-09-03,133,0.0495173,0.0840531,571.8863,county,fb-survey
0,13121,smoothed_cli,2020-04-24,2020-09-03,132,0.0436918,0.0740442,647.949,county,fb-survey
0,13121,smoothed_cli,2020-04-25,2020-09-03,131,0.0397951,0.0674891,712.7548,county,fb-survey
0,13121,smoothed_cli,2020-04-26,2020-09-03,130,0.2685712,0.1607956,773.2367,county,fb-survey
0,13121,smoothed_cli,2020-04-27,2020-09-03,129,0.238017,0.1536303,802.5086,county,fb-survey
0,13121,smoothed_cli,2020-04-28,2020-09-03,128,0.2603051,0.1482954,859.9986,county,fb-survey
0,13121,smoothed_cli,2020-04-29,2020-09-03,127,0.2528844,0.1440577,885.1225,county,fb-survey
0,13121,smoothed_cli,2020-04-30,2020-09-03,126,0.263527,0.1384334,942.7675,county,fb-survey
0,13121,smoothed_cli,2020-05-01,2020-09-03,125,0.2653192,0.1393653,935.9344,county,fb-survey
0,13121,smoothed_cli,2020-05-02,2020-09-03,124,0.2664049,0.1399348,931.9949,county,fb-survey
0,13121,smoothed_cli,2020-05-03,2020-09-03,123,0.2800963,0.1605401,900.8515,county,fb-survey
0,13121,smoothed_cli,2020-05-04,2020-09-03,122,0.2735135,0.1607882,898.463,county,fb-survey
0,13121,smoothed_cli,2020-05-05,2020-09-03,121,0.2442053,0.1614,871.5778,county,fb-survey
0,13121,smoothed_cli,2020-05-06,2020-09-03,120,0.2902562,0.1687534,862.3537,county,fb-survey
0,13121,smoothed_cli,2020-05-07,2020-09-03,119,0.3586879,0.1943011,834.547,county,fb-survey
0,13121,smoothed_cli,2020-05-08,2020-09-03,118,0.3996676,0.2164312,749.3677,county,fb-survey
0,13121,smoothed_cli,2020-05-09,2020-09-03,117,0.4219679,0.2270929,713.7771,county,fb-survey
0,13121,smoothed_cli,2020-05-10,2020-09-03,116,0.2056514,0.1434922,692.9295,county,fb-survey
0,13121,smoothed_cli,2020-05-11,2020-09-03,115,0.2029388,0.1417432,702.2487,county,fb-survey
0,13121,smoothed_cli,2020-05-12,2020-09-03,114,0.2991287,0.1711485,696.2222,county,fb-survey
0,13121,smoothed_cli,2020-05-13,2020-09-03,113,0.2519875,0.1669283,677.5178,county,fb-survey
0,13121,smoothed_cli,2020-05-14,2020-09-03,112,0.1404623,0.1245218,665.2305,county,fb-survey
0,13121,smoothed_cli,2020-05-15,2020-09-03,111,0.1247206,0.1105685,749.0697,county,fb-survey
0,13121,smoothed_cli,2020-05-16,2020-09-03,110,0.1167221,0.1054064,785.1095,county,fb-survey
0,13121,smoothed_cli,2020-05-17,2020-09-03,109,0.0797888,0.0962749,822.8898,county,fb-survey
0,13121,smoothed_cli,2020-05-18,2020-09-03,108,0.0787378,0.0949612,834.046,county,fb-survey
0,13121,smoothed_cli,2020-05-19,2020-09-03,107,0.1206749,0.1320887,816.931,county,fb-survey
0,13121,smoothed_cli,2020-05-20,2020-09-03,106,0.1104783,0.12094,891.9611,county,fb-survey
0,13121,smoothed_cli,2020-05-21,2020-09-03,105,0.1640463,0.1261991,940.1689,county,fb-survey
0,13121,smoothed_cli,2020-05-22,2020-09-03,104,0.2468157,0.1508048,938.1013,county,fb-survey
0,13121,smoothed_cli,2020-05-23,2020-09-03,103,0.2425818,0.148236,954.2334,county,fb-survey
0,13121,smoothed_cli,2020-05-24,2020-09-03,102,0.3163249,0.165132,965.0848,county,fb-survey
0,13121,smoothed_cli,2020-05-25,2020-09-03,101,0.3661475,0.1722794,966.272,county,fb-survey
0,13121,smoothed_cli,2020-05-26,2020-09-03,100,0.2461196,0.129696,1037.4548,county,fb-survey
0,13121,smoothed_cli,2020-05-27,2020-09-03,99,0.2888156,0.1366793,1033.7047,county,fb-survey
0,13121,smoothed_cli,2020-05-28,2020-09-03,98,0.2776809,0.1320055,1029.1628,county,fb-survey
0,13121,smoothed_cli,2020-05-29,2020-09-03,97,0.2025391,0.1087449,1029.3584,county,fb-survey
0,13121,smoothed_cli,2020-05-30,2020-09-03,96,0.2024159,0.1087199,1030.391,county,fb-survey
0,13121,smoothed_cli,2020-05-31,2020-09-03,95,0.1607371,0.0868546,1042.5529,county,fb-survey
