X,date,county,state,fips,cases,deaths
1488,2020-03-12,Hennepin,Minnesota,27053,4,0
1771,2020-03-13,Hennepin,Minnesota,27053,8,0
2115,2020-03-14,Hennepin,Minnesota,27053,13,0
2519,2020-03-15,Hennepin,Minnesota,27053,18,0
2971,2020-03-16,Hennepin,Minnesota,27053,24,0
3474,2020-03-17,Hennepin,Minnesota,27053,31,0
4057,2020-03-18,Hennepin,Minnesota,27053,39,0
4767,2020-03-19,Hennepin,Minnesota,27053,47,0
5589,2020-03-20,Hennepin,Minnesota,27053,56,0
6558,2020-03-21,Hennepin,Minnesota,27053,65,0
7639,2020-03-22,Hennepin,Minnesota,27053,75,0
8817,2020-03-23,Hennepin,Minnesota,27053,86,0
10112,2020-03-24,Hennepin,Minnesota,27053,97,1
11526,2020-03-25,Hennepin,Minnesota,27053,110,1
13114,2020-03-26,Hennepin,Minnesota,27053,123,1
14831,2020-03-27,Hennepin,Minnesota,27053,137,2
16653,2020-03-28,Hennepin,Minnesota,27053,150,2
18573,2020-03-29,Hennepin,Minnesota,27053,164,3
20594,2020-03-30,Hennepin,Minnesota,27053,177,4
22710,2020-03-31,Hennepin,Minnesota,27053,189,5
24889,2020-04-01,Hennepin,Minnesota,27053,204,6
27135,2020-04-02,Hennepin,Minnesota,27053,219,7
29449,2020-04-03,Hennepin,Minnesota,27053,236,9
31825,2020-04-04,Hennepin,Minnesota,27053,255,11
34250,2020-04-05,Hennepin,Minnesota,27053,275,13
36709,2020-04-06,Hennepin,Minnesota,27053,302,15
39213,2020-04-07,Hennepin,Minnesota,27053,327,17
41760,2020-04-08,Hennepin,Minnesota,27053,353,19
